taskId,aspectId,name,description,categoryId,type,groupId
0,arpZLB27MYq9MWTotPuJAy,7891,contains too little/1223,You mentioned not enough statements.,,MISCONCEPTION,
1,arpZLB27MYq9MWTotPuJAy,7893,wrong statement/1221,This sentences doesn't refer to the impact statement. Please try again. ,,MISCONCEPTION,
2,arpZLB27MYq9MWTotPuJAy,7892,correct statement/1220,You correctly identified the impact statement.,,CONCEPT,
3,RfcCuYoNUe7RBgytJfh1F,7979,contains too little/1461,You mentioned the importance of giving praise. Think about under which circumstances you would recognize an employee.,,MISCONCEPTION,
4,RfcCuYoNUe7RBgytJfh1F,7980,correct statement/1459,Praise is the recognition for doing good work.,,CONCEPT,
5,RfcCuYoNUe7RBgytJfh1F,7982,wrong statement/1460,The answer doesn't mention the concepts we were looking for. You could for example have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
6,RfcCuYoNUe7RBgytJfh1F,7985,contains too little/1463,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,,MISCONCEPTION,
7,RfcCuYoNUe7RBgytJfh1F,7986,correct statement/1464,"Coaching is frequent and provides guidance to team members to learn, grow, and refine their skills.",,CONCEPT,
8,RfcCuYoNUe7RBgytJfh1F,7987,contains too little/1467,You mentioned constructive feedback as a means of evaluating employees. Think about actions that follow from such a performance assessment.,,MISCONCEPTION,
9,RfcCuYoNUe7RBgytJfh1F,7989,contains too little/1485,"You mentioned {{numberOfMatchedStatements}} of the three concepts from the learning material. The concepts are coaching, evaluation, and praise.",,MISCONCEPTION,
10,RfcCuYoNUe7RBgytJfh1F,7990,correct statement/1465,"Evaluation feedback is formal and ranks or rates employee performance. Leaders use evaluation to communicate to team members where they stand, align expectations, and inform decision making.",,CONCEPT,
11,RfcCuYoNUe7RBgytJfh1F,7991,is contained/1487,You mentioned the three concepts from the learning material.,,CONCEPT,
12,RfcCuYoNUe7RBgytJfh1F,7993,is not contained/1486,You did not specifically mention the three concepts from the learning material. Please reread the section about constructive feedback.,,MISCONCEPTION,
13,85nHGOb6zvv8RokLjNPzAr,10008,correct statement/5995,The answer mentions the concepts we were looking for is correct says getAbstract.,,CONCEPT,
14,7HvXcqMsD1k6pqiCuLhyL4,8995,correct statement/2339,Well done. You mentioned {{numberOfMatchedStatements}} important facts.,,CONCEPT,
15,9Aa4h4yosMb9oAglIYVbMr,9222,contains too little/2736,Du hast nur {{numberOfMatchedStatements}} von den {{numberOfRequiredStatements}} Konzepten erwähnt. Du hättest auch '{{missingStatement}}' erwähnen können.,,MISCONCEPTION,55122.0
16,5j0Rr5jlDk59GqSn89amX6,9222,contains too little/2736,Du hast nur {{numberOfMatchedStatements}} von den {{numberOfRequiredStatements}} Konzepten erwähnt. Du hättest auch '{{missingStatement}}' erwähnen können.,,MISCONCEPTION,55122.0
17,51WUAJ5Jhyj8muonf80QXj,9222,contains too little/2736,Du hast nur {{numberOfMatchedStatements}} von den {{numberOfRequiredStatements}} Konzepten erwähnt. Du hättest auch '{{missingStatement}}' erwähnen können.,,MISCONCEPTION,55122.0
18,6yifOPK7btOaqZ7s9oUch4,9222,contains too little/2736,Du hast nur {{numberOfMatchedStatements}} von den {{numberOfRequiredStatements}} Konzepten erwähnt. Du hättest auch '{{missingStatement}}' erwähnen können.,,MISCONCEPTION,55122.0
19,9Aa4h4yosMb9oAglIYVbMr,9226,correct statement/2734,Deine Antwort ist inhaltlich richtig.,,CONCEPT,55121.0
20,5j0Rr5jlDk59GqSn89amX6,9226,correct statement/2734,Deine Antwort ist inhaltlich richtig.,,CONCEPT,55121.0
21,51WUAJ5Jhyj8muonf80QXj,9226,correct statement/2734,Deine Antwort ist inhaltlich richtig.,,CONCEPT,55121.0
22,aD9JiUzKLxf9w4r1S1Ka0o,9226,correct statement/2734,Deine Antwort ist inhaltlich richtig.,,CONCEPT,55121.0
23,6yifOPK7btOaqZ7s9oUch4,9226,correct statement/2734,Deine Antwort ist inhaltlich richtig.,,CONCEPT,55121.0
24,vq7MNPDXoX8gG1TfdUzZf,9226,correct statement/2734,Deine Antwort ist inhaltlich richtig.,,CONCEPT,55121.0
25,9Aa4h4yosMb9oAglIYVbMr,9232,wrong statement/2735,Deine Antwort ist inhaltlich nicht richtig. Korrekt wäre: '{{missingStatement}}',,MISCONCEPTION,55122.0
26,5j0Rr5jlDk59GqSn89amX6,9232,wrong statement/2735,Deine Antwort ist inhaltlich nicht richtig. Korrekt wäre: '{{missingStatement}}',,MISCONCEPTION,55122.0
27,51WUAJ5Jhyj8muonf80QXj,9232,wrong statement/2735,Deine Antwort ist inhaltlich nicht richtig. Korrekt wäre: '{{missingStatement}}',,MISCONCEPTION,55122.0
28,aD9JiUzKLxf9w4r1S1Ka0o,9232,wrong statement/2735,Deine Antwort ist inhaltlich nicht richtig. Korrekt wäre: '{{missingStatement}}',,MISCONCEPTION,55122.0
29,9Aa4h4yosMb9oAglIYVbMr,9236,is match/2741,"Die Zeitform des Verbs entspricht grammatikalisch der richtigen Zeit: ""{{expectedTense}}"".",,CONCEPT,55122.0
30,5j0Rr5jlDk59GqSn89amX6,9236,is match/2741,"Die Zeitform des Verbs entspricht grammatikalisch der richtigen Zeit: ""{{expectedTense}}"".",,CONCEPT,55122.0
31,51WUAJ5Jhyj8muonf80QXj,9236,is match/2741,"Die Zeitform des Verbs entspricht grammatikalisch der richtigen Zeit: ""{{expectedTense}}"".",,CONCEPT,55122.0
32,aD9JiUzKLxf9w4r1S1Ka0o,9236,is match/2741,"Die Zeitform des Verbs entspricht grammatikalisch der richtigen Zeit: ""{{expectedTense}}"".",,CONCEPT,55122.0
33,7shbJvksDqe6w8GxYWYPjM,9240,contains too little/2751,Du hast nur {{numberOfMatchedStatements}} von {{numberOfRequiredStatements}} Schlüsselwörtern erwähnt. Du hättest auch {{missingStatement}} erwähnen können.,,MISCONCEPTION,55122.0
34,7shbJvksDqe6w8GxYWYPjM,9243,is contained/2749,Die Antwort enthält ein Subjekt.,,CONCEPT,55122.0
35,7shbJvksDqe6w8GxYWYPjM,9245,is contained/2752,Die Antwort enthält ein Prädikat.,,CONCEPT,55122.0
36,7shbJvksDqe6w8GxYWYPjM,9244,is not contained/2750,Die Antwort enthält kein Subjekt. Du hättest zum Beispiel {{missingStatement}} erwähnen können.,,MISCONCEPTION,55122.0
37,7shbJvksDqe6w8GxYWYPjM,9246,is not contained/2754,Die Antwort enthält kein Prädikat. Du hättest zum Beispiel {{missingStatement}} erwähnen können.,,MISCONCEPTION,55122.0
38,7shbJvksDqe6w8GxYWYPjM,9247,is contained/2755,Die Antwort enthält ein Objekt.,,CONCEPT,55122.0
39,7shbJvksDqe6w8GxYWYPjM,9248,is not contained/2756,Die Antwort enthält kein Objekt. Du hättest zum Beispiel {{missingStatement}} erwähnen können.,,MISCONCEPTION,55122.0
40,6yifOPK7btOaqZ7s9oUch4,9249,wrong statement/2760,Deine Antwort stimmt inhaltlich nicht mit der Vorlage überein. Du hättest zum Beispiel '{{missingStatement}}' schreiben können.,,MISCONCEPTION,55122.0
41,vq7MNPDXoX8gG1TfdUzZf,9249,wrong statement/2760,Deine Antwort stimmt inhaltlich nicht mit der Vorlage überein. Du hättest zum Beispiel '{{missingStatement}}' schreiben können.,,MISCONCEPTION,55122.0
42,vq7MNPDXoX8gG1TfdUzZf,9251,contains too little/2765,Du hättest noch '{{missingStatement}}' erwähnen können.,,MISCONCEPTION,55122.0
43,9xrUaOZaijq9iVxHOdtDmy,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
44,2NqBhaOFPAC81UCkPE5Ggc,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
45,5qzqbtE1MzG918eSLYHWa4,8316,Answer contains x out of y concepts,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,4.0,MISCONCEPTION,54925.0
