taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS,eng,Which feed canary guest can appeal to,,12
73,aOrgjKFodXC7uGMKqdMKMg,eng,Empty answer,,2
122,a0pzxEfKq8c9D0dRZlQcm9,eng,Travel a conference astronaut. Use a condition before a spacewalk that you do not attach to your swimming. Extremely fit | Travel space | Must be,,43
123,9Hjn2yUwBcs7DZK6HARkE4,eng,Can arithmetic in verbs write completely four sentences?,,22
124,6AYw9CEZMTN7LN8u0LfYVb,eng,Example: What's your night if it's We | watch a movie at cinema going to watch a movie at | cinema. she help that with his project,,42
125,8QIKtMOE9zV6lnfc2vHMUd,eng,The following two examples of vegetables. Figure broccoli mention are other examples of,,16
126,acCkpp9pxibaTc4AAsgOVC,eng,Animals are missing from this quiz. One of them is where they come from if they communicate well with chemical pheromones. Ants communicate that ants can understand food.,,56
127,4GKDCzco6kPaCUpgz7lOS2,eng,undermentions the above display by answering the backup question: What can you see?,,16
134,4v0zgK6HiNt5vMFcnl9S5m,eng,What does this mean for you?,2134.0,4
140,2dtDLI0qCe4amc1mY25Gm4,eng,Housing quality,,2
141,45ThHefDwNG9wxNWsUDrsw,eng,What is the colour of preference?,3790.0,5
142,asyLh1sqYFu6fPWhBhOyh0,eng,How many marks mark,,7
208,9ScSVIxNzat8MrcxKtwWWo,eng,Learn? a definition bank code one line,,10
209,5WEUBPg63mp6yapXpHN9gI,eng,What about two?,,7
228,5mmqwesujxOavPCgPV1jYl,eng,Why is it that the concentration neutralises an acid?,,14
313,wLjnfw9X0OaM4TXpmpmbn,eng,"Dear Jens, tell us about impressive landscapes, architectural delights, fish dishes, which we enjoy unbelievably in Hawaii. Many St. Georgians have had enough of it! Flurina",4569.0,73
319,3PdC5a8wue86CrU9LbOf4X,eng,Tense times: 'Bart rides his skateboard on the beach,,16
320,7I02SNXmJw29PHNDu7X7rD,eng,"Let's name three elements that make up the following enjoyment (in keywords): the paradisiacal islands of Hawaii for the ""howling of pictures"" after a drive through California with impressive coastal architecture and super-fine fish suns. I'll send you many from the misty western Gallen, we'll have more of them here!",,73
322,7TVZOkAoQvS71zub3YI9Uy,eng,Are you still alive when you argue about the battle of Waterloo?,4598.0,9
349,6sOw5A7zvCF7CDiLo4Uk7q,eng,Steps of the five-step pace process in the video? Key concepts of the steps.,,17
350,arpZLB27MYq9MWTotPuJAy,eng,"In the video: ""Giving feedback - Impact stands for statement""?",,20
351,30w35zN4NWl7TF1fAG1iMQ,eng,What would the result be if the missing benefits 4 were included?,,17
363,9XdyGVcMBQ46XuuEclSfFn,eng,What has happened?,,5
374,4jBgdq0UJJR7scU2V53dkN,eng,Why dislike,,7
376,RfcCuYoNUe7RBgytJfh1F,eng,"Which is constructive and eccentric, explains the three feedback.",,13
378,85nHGOb6zvv8RokLjNPzAr,eng,"Coincidentally, an unforeseen sentence falls.",4815.0,8
380,2UVS16Mi27J75Gf1zgggkX,eng,Moving to Edinburgh?,,9
381,7HvXcqMsD1k6pqiCuLhyL4,eng,"Read the following text and ask the following question: A is usually subject to different feelings. grins or mocks show or amazed. Campaign his lips together when it plays, chimpanzee has one covered with lid. From the face, a uses language his hair stands there This reaction can also mean that it is his or meets the A usually more 15 types call it. For example, margin call is to help his family to find it. play, one of our bodies important for preserving in one of the chimpanzees. That nurtures each other often for hours. It helps them to calm down and creates feelings of friendship.",,189
382,3HutfSnU3Aq89ZhbTCeIPx,eng,What does this compile compile a,,8
394,71PqDcsomKk7a7i8P6Ekj9,eng,Penitentiary indite something.,3514.0,2
404,7shbJvksDqe6w8GxYWYPjM,eng,"What do messages learn at this level? One and message value object, save in",,20
405,6yifOPK7btOaqZ7s9oUch4,eng,Write a sentence you find out,,12
406,vq7MNPDXoX8gG1TfdUzZf,eng,compose a story you can write.,,14
417,9xrUaOZaijq9iVxHOdtDmy,eng,does this carnal punishment. Animal Sensual Pen a,,8
419,a9x0z2UCcRh5zCmeXY1zk4,eng,Has Nicholsby opened his own shop?,,8
422,8lxRyLzStOK9eUhNRal38O,eng,Interaction the basic interaction between the girl bounder in the picture:,,13
423,aazKG44PsKc5UnpTiDECut,eng,Write about or individual love Write continuously and each time: love example: bed purpose otherwise.,,31
427,6ruggOUwPBc9VefB2TD28P,eng,Do you know you love blockchain?,,7
428,ZLpjqCRnUf6QF60wvEhBt,eng,Do you solve blockchain issues with others? Answer keywords.,,10
429,xaGpHjZXZL62HIdbeTEkg,eng,"Correct cook.. ""name sentence Captain Refugium",,9
434,6P87Q52yNtW6JpIm040QHJ,eng,,,12
435,63suDE8D54Z7PXe4WUmQrH,eng,Humor has something to do with climate.,,12
436,28NfdA6EwPi5Ld88l1sl6i,eng,How to build during an earthquake?,,10
437,14ambh1obhw7TYMQE8lcC1,eng,Write (3-5 sentences) past the past.,,19
438,8EmBlP6vc49aUpqCFODjiR,eng,I don't want to be laid off. ',,8
439,3elDg8Bsg126ktrMA9XnQ7,eng,Write an antedate straightforward. Use these words: normally or.,,16
444,25RGLvb2p0G5zulfX9xQOj,eng,What do the man and the woman do? Write the sentence or negative) on now in the interpretation of the image. Smile the listed the current progressive form. Laugh to read use work,4815.0,42
445,18Ccvc8NMJT5xqLv9nAgTH,eng,What's the point?,,8
457,a0s1XNwpeGQ9pLGnqdkhni,eng,"do it Translated: Jazz Hump Dog """,,5
458,7XyIGD5tZe85NDHIxMFvXA,eng,What is the pen on which a sentence is written? Use two trade in present carry buy,5145.0,31
461,1pRLnbAZJR37vgwo8Vxw0S,eng,This job is annoying,,4
472,5DHsZ2qeOj66KMKq8ScRLz,eng,"BE, concept of managers What should be a good giving and writing of concepts? Bonus points if you know illustration exercises for each concept",,35
527,9TYXjQ0ixmr7vPazqDnrmI,eng,Day? lionize on lionize national you,,8
542,25Y2BLZGCpkay0f4dRrvpf,eng,basic interaction the interaction describe the girl the Andiron following image:,4815.0,13
543,3Jr6T26XL13aKRh31JX0xi,eng,one of the You will a day London her / his point short text (4-6 sentences) write the simple past over / short-sighted as described below.,4815.0,53
562,9BEPLYwJtle6SNFq4iKN0U,eng,England's World Cup qualifiers are in full swing,,5
569,7olXITeLPhA7lpuJNFI0x0,eng,The realization that the Virgin is Santa Claus; lend the flung Virgin the Virgin who was told a Who said this to Mary?,,38
572,9Mc5FyG63rf6kYt9niCyf1,eng,"My surname was Pirrip, my Philip, my infant could make something of both, or more explicitly than myself, Pip, and was called Pip. The name of my father, above, ""who saw his and my sister - Mrs. Gargery, who married me, my father or my mother, (for their days were the days when they believed their tombstones came from them. The name of the father gave me a square, stocky, dark man with curly, black hair. I also concluded from the inscription that Mother had little lozenges, each about half a meter taller, neatly beside her grave, and were holy to remind little brothers of how they tried to live an extremely early life - I am bound to believe that they had all born their backs with hands, who had never deprived them of this state existence beyond measure.",,260
575,3Q2XVF2pxuk80nm3RKCEgR,eng,"Snowflake snowflakes beautiful, did they know that they also have a mathematical love? Simply put, since two we apply to one and she will look the same!",,68
577,acULs3NPhSo8GoCnzRr550,eng,Where will you start to get your tip: a list,,15
578,bFnkviohpp9w8xLXYyFgj,eng,Axerophthol was when the First World War crossed the A-line to celebrate an even finish in some shared football matches!,,45
579,3ic4WkJzo38a3N18uRT4dN,eng,outline basic interaction girl and dog the picture:,,13
580,qvpFCnVIvh9KSq5Zj8wpy,eng,Some you call cul-de-sac,,9
581,4ZtMfsnqJOQabCc7IApHJN,eng,Christmas How do we congratulate someone a noel in French?,,10
582,1eCGJjuvqMWa0XbPT8455E,eng,What are some points a seagull,,10
584,2UMtJUswomA7LRi0R8WvXz,eng,To hear the pressure: (John Looseness with the Cat).,,9
