taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_RD,eng,What courses that clients book at Connect Academy?,,8
122,a0pzxEfKq8c9D0dRZlQcm9_RD,eng,"Write rule sentence. Example attach your float off before a spacewalk if you don't attach your tools before a spacewalk, fit | to be",,24
123,9Hjn2yUwBcs7DZK6HARkE4_RD,eng,"Can you guess the most languages in Switzerland? Use modal be, to complete",,13
124,6AYw9CEZMTN7LN8u0LfYVb_RD,eng,Complete sentence going What's for tonight at the We're movie at the cinema. | not | him his,,18
125,8QIKtMOE9zV6lnfc2vHMUd_RD,eng,following vegetables. carrot broccoli two examples for vegetables.,,8
126,acCkpp9pxibaTc4AAsgOVC_RD,eng,In quiz the answers missing. Use of question the below what Example : communicate with chemical How do ants communicate? so that other ants is.,,25
127,4GKDCzco6kPaCUpgz7lOS2_RD,eng,the above the following question: can you see the,,9
141,45ThHefDwNG9wxNWsUDrsw_RD,eng,What your favorite color?,3790.0,4
142,asyLh1sqYFu6fPWhBhOyh0_RD,eng,How many does a dog,,5
208,9ScSVIxNzat8MrcxKtwWWo_RD,eng,machine learning? Write a definition in one sentence.,,8
209,5WEUBPg63mp6yapXpHN9gI_RD,eng,What benefits meditation? Name two.,,5
228,5mmqwesujxOavPCgPV1jYl_RD,eng,Why it know neutralize,,4
313,wLjnfw9X0OaM4TXpmpmbn_RD,eng,"Name three elements of text (in for the type ""picture Dear Jens After a California coastal highlights and dishes, we now incredible on the islands Hawaii. I send you many sunrays from West Coast foggy Gallen, we have more than enough of them here! Flurina",4569.0,45
319,3PdC5a8wue86CrU9LbOf4X_RD,eng,"this in a tense ""Bart rides on his to",,9
320,7I02SNXmJw29PHNDu7X7rD_RD,eng,"Name three elements of following text (in comma-separated typical for text postcard"". Kawai, a California impressive landscapes, highlights and super fine we enjoy the incredible on the paradise islands of Hawaii. I send you sunbeams west coast to foggy St. Gallen, we of that here! Flurina",,46
322,7TVZOkAoQvS71zub3YI9Uy_RD,eng,do the Battle of,4598.0,4
349,6sOw5A7zvCF7CDiLo4Uk7q_RD,eng,steps of five step utilized in the video? Name the steps in,,12
350,arpZLB27MYq9MWTotPuJAy_RD,eng,In the statements the person giving feedback to impact statement”? in keywords.,,12
351,30w35zN4NWl7TF1fAG1iMQ_RD,eng,What benefits in this situation if the missing step were Answer keywords.,,12
363,9XdyGVcMBQ46XuuEclSfFn_RD,eng,What you do yesterday?,,4
374,4jBgdq0UJJR7scU2V53dkN_RD,eng,Why do we dislike,,4
376,RfcCuYoNUe7RBgytJfh1F_RD,eng,What is Name and explain the constructive feedback.,,8
378,85nHGOb6zvv8RokLjNPzAr_RD,eng,What is happening here? Write a sentence.,4815.0,7
380,2UVS16Mi27J75Gf1zgggkX_RD,eng,did move to countryside near Edinburgh?,,6
381,7HvXcqMsD1k6pqiCuLhyL4_RD,eng,"answer the below: A uses face to express different It grins or show it is presses its together to impress another When it plays, chimp has smile its top teeth covered. Apart from face, also body language communicate. For its hair on it is That can also mean that it afraid. is aggressive, it usually raises its hits and stares at chimp normally more than 15 different types For example, is special identification help family find it. chimps play, make a similar to our Body contact is very important for preserving harmony of chimpanzees. That is why often groom each other for hours. It them stay calm feelings is the most fact in the opinion?",,115
382,3HutfSnU3Aq89ZhbTCeIPx_RD,eng,does animal say? Write sentence.,,5
404,7shbJvksDqe6w8GxYWYPjM_RD,eng,"words do memorize from the this level? Subject, Predicate Object, write in German:",,13
405,6yifOPK7btOaqZ7s9oUch4_RD,eng,a sentence that this,,4
406,vq7MNPDXoX8gG1TfdUzZf_RD,eng,Write short paragraph words that in this level.,,8
417,9xrUaOZaijq9iVxHOdtDmy_RD,eng,What this say?,,3
