taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT_RS,deu,nennen fur funf argument zhaw,,5
1,5CjgnkyFrAd7kfW2wvuKYi_RS,deu,ersetz markieren bildhaft wendung gleichbedeutend ausdruck tonio daheim zeit vertrodeln bei unten langsam abgewandten geist lehrer schlecht anschreiben stehen fallen not bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater einstmal ganz unterricht landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,1.0,50
2,5y3f8WN1u7F8mwHyB3GjBu_RS,deu,ersetz fett gedruckt ausdruck synonym rechnung schloss manko,2027.0,8
3,5dTVecGZaDU6jyi0XnmgjT_RS,deu,beschreib vermitteln handlungsbereich stichwortartig,125.0,4
4,5lDlwn820256bn1UCaZssm_RS,deu,antwort j es ausbildungsverstandni kernaussag stichwortartig,125.0,6
5,6kpL6UTvol49HRuBCYD8j0_RS,deu,fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil verpflichten kur stadtisch suchtpraventionsstel thema redukt stopp cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio kursleit informieren uber kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess kiffen weiss warum tun aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium ttm befinden karl heinz,2079.0,81
7,1b7GzQQyL5UaVKAMCOlFTc_RS,deu,nennen drei wesentlich kundenbeziehungsmanag aufgabe,,5
8,4w9GhyqYclU6DR2ECZdxo4_RS,deu,p,,1
9,6HKSLRqNL3U5Mhmrj8eafJ_RS,deu,gegenteil finden neu markt neu produkt statt diversifik diversifik bestehend markt bestehend produkt,,13
10,4PCAf43F0vz8Cai9f8VIKl_RS,deu,zahlen schritt positionierungsanalys,,3
11,xfaIMOkIco60F2NvVBLiO_RS,deu,definieren satzen break ev point kurz begriff,3261.0,7
