taskId,language,description,topic_id,word_count
723,8mT3ib2MUR05GEhNmTZgOF,EN,sugu,,1
724,1uABTLp95CK7CBfYLNsodE,EN,hallo au der testumgebung,,4
744,1pRLnbAZJR37vgwo8Vxw0S,EN,task,,1
745,78AejMbXpKmaeaRjbVG9Cd,EN,w fragen,,2
793,4JbZPrJh2Zr9AtGZMC8RXH,EN,test,,1
918,7cEIpv3MJGuautZuq1lC27,EN,test,,1
997,73IGgfCwajkakURxaSb6DE,EN,describ imag,,2
1019,9NLPD1zmbeq7XayTVaQo0k,EN,stem,,1
1119,9PhuGfW9VTH6PWM9HCc71E,EN,sag mir test,,3
1361,8nV6jHixGLC6LxvgnXSZmn,EN,erzahl ein marchen,,3
1386,ztlH9LIkSWa5rPFijXhwn,EN,translat,,1
1683,4q5G3LXQtwh7BgKMND34CC,EN,string,,1
1690,2FJN4Z7EhHz9RJD4EHn3FS,EN,string,,1
1820,1yRz6HzdJge8fKbloYjhcf,EN,yyyi,5437.0,1
1826,6JalF98d7Np9Nf3aaYm7iU,EN,test,,1
1834,7QRvdMOStll9AZURUSHnUt,EN,test,,1
1897,3HXZi1k2sB27XE7nd2Zu4j,EN,http connectsolut taskbas com task rfvydin k jfyt mh edit,,10
2263,8TxA8GK8qOe9IBJN8RrOTA,EN,blabla,,1
2264,65yycZCSuel9irpFcC6In6,EN,gorgonzola,,1
2308,rgI1teCe79i7sbrc7zpc,EN,test,,1
2313,9gCNiAQMo6p5OVmm9xW4Xm,EN,test,,1
2525,4OQ9hm6iZdYaRNrvNtULfd,EN,test test,,2
2586,9IOQmknqlOia8bPNSTQpy5,EN,він народився у швеицаріі,,4
2608,3gDxoLw7Svp9dHli7Syhp6,EN,test test,,2
2812,9doBsrW3uGy7VM1lMjHau2,EN,test,,1
2841,5tfhxRUg5f75UybkkAuSbW,EN,excit factor,,2
2842,7F8zHcEc1od5HEID9QWjmj,EN,risk factor,,2
2843,1Sp2PBqcX5kayrvgKYzV9b,EN,excit factor,,2
2846,6p5QZfhaEm799PhUdsjT3F,EN,risk factor,,2
3083,3v9PKWRTK5QaWkrsZ23K3p,EN,find differ w w,,4
