aspectId,description,type,groupId,categoryId
0,9226,Deine Antwort ist inhaltlich richtig.,CONCEPT,55121.0,
1,9236,"Die Zeitform des Verbs entspricht grammatikalisch der richtigen Zeit: ""{{expectedTense}}"".",CONCEPT,55122.0,
2,9707,Sie haben eine Begründung für Ihre Antwort gegeben.,CONCEPT,,
3,9709,"Sie haben angegeben, ob die Schüler in ihrem Heimatland eine Uniform tragen.",CONCEPT,,
4,9713,Folgende Vorteile haben Sie richtig erwähnt: {{correctStatements}},CONCEPT,,
5,9717,Folgende Nachteile haben Sie richtig erwähnt: {{correctStatements}},CONCEPT,,
6,8980,Die Antwort enthält die gesuchten Stichworte.,CONCEPT,,
7,10145,"Die Verben wurden in der erwarteten Zeitform konjugiert: ""{{expectedTense}}"".",CONCEPT,346729.0,
8,10312,Das Verb stimmt mit der gewünschten {{expectedForm}} überein.,CONCEPT,,
9,10332,Die Antwort entspricht inhaltlich der Übersetzung.,CONCEPT,346732.0,
10,10335,Gute Übersetzung.,CONCEPT,346730.0,
11,10367,Die Antwort enthält die gesuchten Stichworte.,CONCEPT,,
12,10383,Der Käufer muss die Ware bezahlen.,CONCEPT,,
13,10389,"Genau, die Übergabe muss {{correctStatements}} erfolgen.",CONCEPT,,
14,10393,Sie haben die Pflichten korrekt beschrieben.,CONCEPT,,
15,10392,Sie haben die Käuferpartei korrekt beschrieben.,CONCEPT,,
16,10396,Sie haben die Verkäuferpartei korrekt beschrieben.,CONCEPT,,
17,10398,Ihre Antwort ist inhaltlich korrekt.,CONCEPT,,
18,10417,"Sehr gut, dass Sie auf die Beweisbarkeit eingegangen sind.",CONCEPT,,
19,10424,"Genau, wichtig ist, dass die Täuschung mit Absicht erfolgt ist.",CONCEPT,,
20,10427,"Sehr gut, Sie haben die Antwort in einem Wenn-dann-Satz formuliert.",CONCEPT,,
21,11099,"Das Datum zeigt, wann die Postkarte verfasst wurde.",CONCEPT,,
22,11102,Eine Postkarte beginnt mit einer Anrede.,CONCEPT,,
23,11104,Beschreibungen des Wetters finden sich gerne auf Postkarten; manchmal um den Leser neidisch zu machen :-),CONCEPT,,
24,11106,Beschreibungen der Umgebung sollen dem Leser ein klares Bild des Ortes vermitteln.,CONCEPT,,
25,11108,Die Beschreibung der örtlichen Küche soll dem Leser den Ferienort wortwörtlich schmackhaft machen.,CONCEPT,,
