aspectId,description,type,groupId,categoryId
0,9065,You described the picture well.,CONCEPT,,
1,9069,You wrote three good sentences.,CONCEPT,,
2,9077,Your answer translates the meaning of the sentence correctly.,CONCEPT,,
3,9575,The answer mentions the keywords we were looking for.,CONCEPT,,
4,9637,The verbs were conjugated in {{expectedTense}}.,CONCEPT,,
5,9639,The words are in the right order.,CONCEPT,,
6,9685,The answer mentions the keyword we were looking for.,CONCEPT,,
7,9603,You correctly mentioned: {{correctStatements}},CONCEPT,,
8,9644,"Great, you used two of the verbs we were looking for in present progressive. ",CONCEPT,,
9,9655,Well done. You properly used the present progressive.,CONCEPT,,
10,9689,Nice. You used the verbs we were looking for.,CONCEPT,,
11,9937,That is a good answer. Orang Utans have very strong social bonds. ,CONCEPT,,
12,10225,Sie haben die richtigen Konzepte genannt.,CONCEPT,,
13,10231,"Sehr gut, für unveränderte Datenträger müssen keine weiteren Voraussetzungen erfüllt werden.",CONCEPT,,
14,10233,"Sehr gut, für veränderbare Datenträger müssen bestimmte Voraussetzungen erfüllt werden.",CONCEPT,,
15,10235,"Genau, unveränderte Datenträger sind zugelassen.",CONCEPT,,
16,10237,"Genau, veränderbare Datenträger sind nicht bedingungslos zugelassen.",CONCEPT,,
17,10086,"Well done, you properly used the present progressive.",CONCEPT,,
18,10090,Nice. You used the verbs to describe the image properly.,CONCEPT,,
19,10768,Exactly! A leader should {{correctStatements}},CONCEPT,,
20,10770,Very well! As a leader you should {{correctStatements}},CONCEPT,,
21,10772,This is it! A leader should {{correctStatements}},CONCEPT,,
22,10773,You mentioned good examples what a leader should be: {{correctStatements}},CONCEPT,,
23,10776,You mentioned good examples what you should know as a leader: {{correctStatements}},CONCEPT,,
24,10777,You mentioned good examples what a leader should do: {{correctStatements}},CONCEPT,,
25,10778,You mentioned {{numberOfMatchedStatements}} out of the {{numberOfRequiredStatements}} key elements of leadership. You could also have mentioned {{missingStatement}}.,CONCEPT,,
26,10779,"Yes! Follower, leader, communication and situation are the four elements of leadership!",CONCEPT,,
27,9629,"The verbs were conjugated in the expected tense: ""{{expectedTense}}"".",CONCEPT,,
28,9628,"Wow, you addressed all our help questions very well.",CONCEPT,,
29,9633,The subject and verb are congruent.,CONCEPT,,
30,9651,You answered how you felt.,CONCEPT,,
31,9670,You described who you were there with.,CONCEPT,,
32,9677,You answered when you arrived there.,CONCEPT,,
33,9679,You described the weather correctly.,CONCEPT,,
34,9681,You answered why you went there.,CONCEPT,,
35,9683,You answered where you went.,CONCEPT,,
36,11074,Nice! The spelling is correct.,CONCEPT,,
37,11075,"Good, the verbs were conjugated in the expected tense: {{expectedTense}}.",CONCEPT,,
38,11184,Nice! The content of your answer matches the sample solution.,CONCEPT,,
39,11564,Yes! Gabriel is one of the four archangels.,CONCEPT,55121.0,
40,11401,The answer mentions the keywords we were looking for: {{correctStatements}},CONCEPT,55122.0,
41,11669,"Yes, spices such as clovers and star anise are a staple in most countries.",CONCEPT,55122.0,
42,11670,"Adding cinnamon is a must, the combination with oranges is just perfect.",CONCEPT,55122.0,
43,11673,Adding brandy to the mix does indeed spice it up a bit.,CONCEPT,55122.0,
44,11691,Correct! The blacksmith's wife is Pip's sister.,CONCEPT,,
45,11410,"Yes! When an object matches its reflexion in a mirror, it is symmetric to its reflexion!",CONCEPT,55122.0,
46,11412,"Correct! A perfect snowflake is a regular polygon, which is rotationally invariant with the following 6 angles: 60°, 120°, 180°, 240°, 300° and 360°. This is not a coincidence, since this snowflake has 6 equally spaced identical branches!",CONCEPT,55122.0,
47,11536,Toys and games are great gifts for younger people!,CONCEPT,55121.0,
