taskId,description,language,context,tenant_name,word_count
897,9BEPLYwJtle6SNFq4iKN0U,Write a sentence in english,EN,,other_tenant,5
1675,4EiQOjxgyfN9ZDVIpaVKcs,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1677,42FTGgv3AZO5E3ESVyUeRD,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1679,5B33T5IWToW8XcoQ9HGKx2,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1649,2KZSSpb4uGH9w9LbTJiUYd,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1651,9qXYav5cgzw9KgPruvAlX2,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1653,9Hao1kKnzsc9FpbECdTH1Q,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1681,3zbxDUoJVuh8Rptc9NhUqT,When was the battle of Waterloo?,EN,,api-trial-reda-at-upskyld.com,6
1411,8gMM2RMhYDq7fGOLvf43Qf,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1409,5peSXa7DKne6fGU2Go6xuQ,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1413,3v4yM9Ls5rH9cV7qFLr3OW,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1370,fq0rtjwXs79bZKorNNJxs,When was the battle of Waterloo?,EN,,Cornelsen EN,6
1402,6C3hIShVtFc5y9q53aK8HB,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1655,5dykdJ0qry1aM9Jzj6vJf1,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1657,1vWIrL5FL9A7euj54Hn9on,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1405,5qMAkLb47xJ8LmJqOqfkQl,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1401,8jzjALdq9Pk7Pjc1yRfqgc,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1399,3xR2maFYzzK92jtQFpftV9,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1397,1z4E89TgHSz9UGddtnQxBs,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1396,7tGByzBuieXa5neEFykxw9,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1407,9p3ySDQHqFg6c3SqwKxw8Q,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1395,2BcrQMrzGkP7BqrNIaHvmR,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1393,4JjY5lxI6DN7ZZQBea6vYe,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1392,2rATYMv4oi86OVHf70vB81,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1390,9rCKEPSSaOp7G7DlM1pJJX,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1659,6VHL5M14xrm8ulS2Dt2q57,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1661,7kXeZlZGvcT5xXWiDIXYNm,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
739,qVrOCQhZmraLEAc8BIoTm,Sind Datenträger bedingungslos als Aufbewahrungsmedien zugelassen?,EN,,client_DE,6
1663,aUu7LFzt9ES6aopjDa8bQc,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1665,aOz7cmIMjvJaiLDcUAO15i,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1667,34dypfvMvegaCA5dzRqIk1,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1384,870VWoRALxZahUqPFQEgSJ,"Translate ""Ich habe durst."" to english.",EN,,DataEnricher,6
1669,8dNsGca4tLW8qlRQOCQwbJ,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1403,5l7rPyzlok49AGNoIzQLTc,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1671,4iWPszcaVm76QgWdLFd2v1,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1673,2WcOWcyKPOV6hBaVz1TlHX,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1377,4VGrQMsi4Lf6HJR9cpYwXt,"Translate ""He loves me"" to german:",EN,,api-trial-leonore.guillain-at-gmail.com,6
1499,8BrSML1KQOl7Cmm4tEA2lk,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1645,29wN6u6UNCE8fU7ozKYVZN,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1485,2xlWYpCQJIi69NhIgTCIqN,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1483,490Kfcp7jndaqgEl8GtJOR,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1481,6XnDcg23g2F5MDL24seRwW,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1479,8fkpNr7DXvC5XJLbdTEGo8,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1477,39ptbblkEGX75GKgEo1QgM,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1553,a0lWi3fv26l86ruT62DrKo,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1555,89t415dvXIR9VoPvmxpfuZ,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1475,3BryO9JGr7dab6wjrRzPoU,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1473,40GBNa5KiTs7guxsazeQqP,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1471,8MZSZthHxvj9xDZF8uDo0q,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1469,aujtOP7Uy4c7rptw5R9kjM,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1467,2H2XH1bXuKpaoEGKIMbV80,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1487,1uHV2ppc1H3a2jSMLa3R07,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1465,2J9ppfq58SL6GBlx4NlsC2,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1463,6J0dM4IDurz8VMOHbXtZwl,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1461,63uygWbwGTL6DN0sDKyPPl,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1459,7XMHvB04uiy5L90zxyfjoJ,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1457,a27DhsJobHN7B2Weokm9OF,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1455,7b6EMME5VxiaCEFifjPcs1,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1454,9aou4DbXhgR9EIapsw3UH2,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1452,1cNIJ2zqUmEanTrcoMfXnz,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1559,YWzHek8cjq9y1nEAUyVIu,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1561,4vI2ZlFuGSF94BhW6EaFob,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1563,2eg0vqMrmxT6E1fYevATJ5,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
1557,6FADgat8zlj7sf0LXShynl,Schreibe was du hörst auf Englisch.,EN,,vocitrainer,6
