taskId,language,description,topic_id,word_count
0,9oqJmtbKXts6Rr9Szw4OIS,eng,cours client book swiss connect academi,,6
1,aOrgjKFodXC7uGMKqdMKMg,eng,empti respon,,2
2,a0pzxEfKq8c9D0dRZlQcm9,eng,write rule astronaut use condit sentenc exampl attach tool float spacewalk attach tool spacewalk float extrem fit travel space need,,20
3,9Hjn2yUwBcs7DZK6HARkE4,eng,guess frequent speak languag switzerland use modal verb could might write four complet sentenc,,14
4,6AYw9CEZMTN7LN8u0LfYVb,eng,complet sentenc go exampl plan tonight rain watch movi cinema go watch movi cinema help project,,16
5,8QIKtMOE9zV6lnfc2vHMUd,eng,follow exampl veget carrot potato lettuc broccoli name two exampl veget,,11
6,acCkpp9pxibaTc4AAsgOVC,eng,quiz anim commun answer give question miss use one question word list mani exampl ant commun chemic signal call pheromon ant commun ant commun ant understand food,,27
7,4GKDCzco6kPaCUpgz7lOS2,eng,describ advertis answer follow question see pictur,,7
8,4v0zgK6HiNt5vMFcnl9S5m,eng,breakeven mean,2134.0,2
9,2dtDLI0qCe4amc1mY25Gm4,eng,type someth,,2
10,45ThHefDwNG9wxNWsUDrsw,eng,favorit color,3790.0,2
11,asyLh1sqYFu6fPWhBhOyh0,eng,mani leg dog,,3
12,9ScSVIxNzat8MrcxKtwWWo,eng,machin learn write definit one sentenc,,6
13,5WEUBPg63mp6yapXpHN9gI,eng,benefit medit name two,,4
14,5mmqwesujxOavPCgPV1jYl,eng,necessari know concentr order neutral acid,,6
15,wLjnfw9X0OaM4TXpmpmbn,eng,name three element follow text keyword typic text type pictur postcard kawai septemb dear jen drive across california impress coastal landscap architectur highlight delici fish dish enjoy incred natur paradis island hawaii send mani sunray west coast foggi st gallen enough flurina,4569.0,42
16,3PdC5a8wue86CrU9LbOf4X,eng,w rite sentenc past ten bart ride skateboard school,,9
17,7I02SNXmJw29PHNDu7X7rD,eng,name three element follow text comma separ keyword typic text type pictur postcard kawai hello jen drive across california impress coastal landscap architectur highlight super fine fish dish enjoy incred natur paradis island hawaii send mani sunbeam west coast foggi st gallen enough flurina,,44
18,7TVZOkAoQvS71zub3YI9Uy,eng,know battl waterloo,4598.0,3
19,6sOw5A7zvCF7CDiLo4Uk7q,eng,step five step process util video name step keyword,,9
20,arpZLB27MYq9MWTotPuJAy,eng,video statement person give feedback correspond step impact statement answer keyword,,11
21,30w35zN4NWl7TF1fAG1iMQ,eng,benefit would emerg situat miss step includ answer keyword,,9
22,9XdyGVcMBQ46XuuEclSfFn,eng,yesterday,,1
23,4jBgdq0UJJR7scU2V53dkN,eng,often dislik give feedback,,4
24,RfcCuYoNUe7RBgytJfh1F,eng,construct feedback name explain three type construct feedback,,8
25,85nHGOb6zvv8RokLjNPzAr,eng,happen write short sentenc,4815.0,4
26,2UVS16Mi27J75Gf1zgggkX,eng,carolin move countrysid near edinburgh,,5
27,7HvXcqMsD1k6pqiCuLhyL4,eng,read follow text answer question chimpanze use face express differ feel grin sneer show excit afraid press lip togeth want impress anoth chimp play chimp gener open smile top tooth cover apart face chimp also use bodi languag commun exampl hair stand end excit reaction also mean afraid aggress usual rais arm hit ground stare anoth anim chimp normal produc differ type call exampl special identif call help famili find chimp play often make sound similar laughter bodi contact import preserv harmoni group chimpanze chimpanze often groom hour help stay calm creat feel friendship interest fact text opinion,,98
28,3HutfSnU3Aq89ZhbTCeIPx,eng,anim say write sentenc,,4
29,71PqDcsomKk7a7i8P6Ekj9,eng,write someth,3514.0,2
30,7shbJvksDqe6w8GxYWYPjM,eng,word memor level name one subject one predic one object write german,,12
31,6yifOPK7btOaqZ7s9oUch4,eng,write sentenc word learn level,,5
32,vq7MNPDXoX8gG1TfdUzZf,eng,write short stori paragraph word learn level,,7
33,9xrUaOZaijq9iVxHOdtDmy,eng,anim say write sentenc,,4
34,a9x0z2UCcRh5zCmeXY1zk4,eng,howi nicholsbi open shop,,4
35,8lxRyLzStOK9eUhNRal38O,eng,describ interact girl dog follow pictur,,6
36,aazKG44PsKc5UnpTiDECut,eng,write three short sentenc someon el write present continu use follow verb love fear hate exampl love cat,,18
37,6ruggOUwPBc9VefB2TD28P,eng,know blockchain,,2
38,ZLpjqCRnUf6QF60wvEhBt,eng,blockchain topic familiar answer keyword,,5
39,xaGpHjZXZL62HIdbeTEkg,eng,korrigier den satz hello name kaptain cook,,7
40,6P87Q52yNtW6JpIm040QHJ,eng,know climat chang summar max word,,6
41,63suDE8D54Z7PXe4WUmQrH,eng,know climat chang summar max word,,6
42,28NfdA6EwPi5Ld88l1sl6i,eng,one behav build earthquak,,4
43,14ambh1obhw7TYMQE8lcC1,eng,write short text sentenc past simpl use word usual sometim never,,11
44,8EmBlP6vc49aUpqCFODjiR,eng,gib not know two write ein,,6
45,3elDg8Bsg126ktrMA9XnQ7,eng,write sentenc past simpl use one word usual sometim,,9
46,25RGLvb2p0G5zulfX9xQOj,eng,man woman write sentenc posit neg happen pictur use two list verb present progress form drink eat laugh listen read smile wear work,4815.0,23
47,18Ccvc8NMJT5xqLv9nAgTH,eng,anim say write sentenc,,4
48,a0s1XNwpeGQ9pLGnqdkhni,eng,tranlat love dog,,3
49,7XyIGD5tZe85NDHIxMFvXA,eng,peopl write sentenc happen pictur use two list verb present progress form ask buy carri sell,5145.0,16
50,1pRLnbAZJR37vgwo8Vxw0S,eng,task,,1
51,5DHsZ2qeOj66KMKq8ScRLz,eng,know concept leadership good leader know write one concept keyword get bonu point give exampl concept,,16
52,9TYXjQ0ixmr7vPazqDnrmI,eng,celebr swiss nation day,,4
53,25Y2BLZGCpkay0f4dRrvpf,eng,describ interact girl dog follow pictur,4815.0,6
