aspectId,description,type,groupId,categoryId
0,1,To enable them on this domain,CONCEPT,1067.0,
1,2,To enable competences for smoke tests,CONCEPT,48.0,
2,4,Die Antwort wurde in einem Satz gegeben. ,CONCEPT,674.0,
3,17,"Es wurde erkannt, dass die Schafe vorzeitig ins Tal gebracht wurden, um sie vor Großraubtieren wie Wölfen und Bären zu schützen. ",CONCEPT,95.0,
4,18,"Es wurde erkannt, dass in Schweden der Erhalt der traditionellen Rentierhaltung höherrangig ist als der Schutz des Wolfes. ",CONCEPT,73.0,
5,19,"Es wurde erkannt, dass die Frauen für das Recht auf Abtreibung protestiert haben. ",CONCEPT,,
6,20,Die Antwort enthält keine Rechtschreibfehler.,CONCEPT,152.0,
7,21,"Der Antwortsatz enthält alle Strukturelemente (Substantiv, Verb, Artikel usw.).",CONCEPT,111.0,
8,22,"Es wurde erkannt, dass die Frauen zum 1) Schloss 2) Versailles marschiert sind (Nennung beider Punkte Voraussetzung).",CONCEPT,62.0,
9,23,"Neben dem Marsch zum Schloss Versailles wurden zusätzliche Punkte erkannt, wie z.B. dass 1) tausende Frauen 2) die Reduktion der Lebensmittelpreise, 3) die Unterzeichnung der Menschenrechtserklärung oder 4) die Abschaffung der Adelsprivilegien verlangten (alternative Nennung möglich). ",CONCEPT,651.0,
10,24,"Es wurde das Wort ""Almsaison"" erkannt. ",CONCEPT,528.0,
11,25,"Es wurde das Wort ""Schafe"" erkannt. ",CONCEPT,532.0,
12,26,"Es wurde das Wort ""verletzt"" erkannt (oder Synonym). ",CONCEPT,538.0,
13,27,"Es wurde das Wort ""wolfsabweisende"" erkannt. ",CONCEPT,550.0,
14,28,"Es wurde das Wort ""Bundesland"" erkannt (oder Synonym). ",CONCEPT,553.0,
15,29,"Es wurde das Wort ""Wölfe"" erkannt (oder Synonym). ",CONCEPT,555.0,
16,30,"Es wurde das Wort ""Italien"" erkannt. ",CONCEPT,559.0,
17,31,"Es wurde das Wort ""Wolfsrudel"" erkannt (oder Synonym). ",CONCEPT,562.0,
18,32,"Es wurde das Wort ""geschützt"" erkannt (oder Synonym). ",CONCEPT,584.0,
19,33,"Es wurde das Wort ""Schutzzonen"" erkannt. ",CONCEPT,590.0,
20,34,"Es wurde das Wort ""Tourismuswirtschaft"" erkannt (oder Synonym). ",CONCEPT,593.0,
21,35,Die Antwort wurde in einem Wort gegeben. ,CONCEPT,527.0,
22,36,"Es wurde erkannt, dass Frauen eine starke Verhandlungsposition haben, da sie sich um 1) Kinder und 2) ältere, pflegebedürftige Menschen kümmern (alternative Nennung möglich). ",CONCEPT,599.0,
23,37,"Es wurde erkannt, dass sich die Frauen radikalisierten, da friedliche Bemühungen erfolglos waren. ",CONCEPT,565.0,
24,38,Wissensbewahrung,CONCEPT,,
25,39,Wissensbewahrung,CONCEPT,,
26,40,Es wurden die zu schützenden Tiere verwechselt. ,CONCEPT,,
27,41,"Es wurden die drei Errungenschaften 1) Unterzeichnung der Menschenrechtserklärung, 2) Abschaffung der Privilegien des Adels und 3) Verteilung von Lebensmittel erkannt (Nennung aller 3 Punkte Voraussetzung). ",CONCEPT,,
28,43,"Es wurde erkannt, dass nach vielen Jahren friedlicher Versuch die Geduld am Ende war. ",CONCEPT,643.0,
29,44,Ausführliche Anweisungen hinzufügen,CONCEPT,,
30,45,Es wurden die Rollen von Mann und Frau vertauscht. ,CONCEPT,,
31,46,"Es wurde erkannt, dass Frauen einen grossen Einfluss auf die soziale Gesellschaft haben. ",CONCEPT,680.0,
32,47,"Es wurde erkannt, dass sich die Situation von Frauen durch Rebellion verbessert. ",CONCEPT,622.0,
33,49,Es wurden die Tiere verwechselt. ,CONCEPT,,
34,52,Listening Skills,CONCEPT,,
35,53,Writing Skills,CONCEPT,,
36,54,Addition Skills,CONCEPT,,
37,55,Substraction Skills,CONCEPT,,
38,56,tesr,CONCEPT,580.0,
39,57,"Der Lernende beschreibt das Problem, dass es Lücke in der Strategie des Umgangs mit Asylwerbern gibt.",CONCEPT,741.0,
40,58,"Es wurde erkannt, dass Frauen im 1) Reiserecht, 2) Eherecht, 3) bei der Wahl ihrer Kleidung und im 4) Erbrecht benachteiligt sind (Nennung aller 4 Punkte Voraussetzung). ",CONCEPT,772.0,
41,59,"Es wurde erkannt, dass die Frauen die Verteilung von Lebensmitteln verlangt haben. ",CONCEPT,663.0,
42,60,"Es wurde erkannt, dass die Frauen die Unterzeichnung der Menschenrechtserklärung verlangt haben. ",CONCEPT,655.0,
43,61,"Es wurde erkannt, dass die Frauen die Abschaffung der Privilegien des Adels verlangt haben. ",CONCEPT,669.0,
44,63,The ability to write the correct amount of requested information.,CONCEPT,346686.0,3.0
45,64,The learner is able to use spelling strategies correctly.,CONCEPT,795.0,
46,65,"Es wurde erkannt, dass Frauen im Reiserecht benachteiligt sind.",CONCEPT,729.0,
47,66,"Es wurde erkannt, dass Frauen im Eherecht benachteiligt sind.",CONCEPT,717.0,
48,67,"Es wurde erkannt, dass Frauen bei der Wahl ihrer Kleidung benachteiligt sind.",CONCEPT,696.0,
49,68,"Es wurde erkannt, dass Frauen im Erbrecht benachteiligt sind.",CONCEPT,684.0,
50,69,"The answer sentence contains all structural elements (noun, verb, article, etc.).",CONCEPT,63362.0,1.0
51,70,The answer contains no spelling mistakes.,CONCEPT,1094.0,2.0
52,71,The answer was given in one sentence.,CONCEPT,1252.0,3.0
53,72,The answer was given in the requested tense: Present continuous.,CONCEPT,1259.0,1.0
54,73,The answer was given in the requested tense: Present simple.,CONCEPT,,1.0
55,74,In the answer given the verb form matches the subject (in person and number). ,CONCEPT,1263.0,1.0
56,75,The answer is in the correct English variety (British English). ,CONCEPT,,2.0
57,76,The given answer describes the picture.,CONCEPT,1266.0,4.0
58,77,The answer uses the words given in the task description.,CONCEPT,1257.0,3.0
59,80,"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",MISCONCEPTION,1404.0,1.0
60,81,"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",MISCONCEPTION,1493.0,
61,82,Die Antwort wurde in einem Satz gegeben.,CONCEPT,2412.0,3.0
62,83,Die Antwort wurde in der gewünschten Zeitform gegeben: Present Progressive.,CONCEPT,,1.0
63,84,Die Antwort wurde in der gewünschten Zeitform gegeben: Präsens.,CONCEPT,3871.0,1.0
64,85,In der gegebenen Antwort stimmt die Verbform mit dem Subjekt (in Person und Zahl) überein.,CONCEPT,4017.0,1.0
65,86,Die Antwort beschreibt das Bild. ,CONCEPT,,4.0
66,87,Die Antwort verwendet die in der Aufgabenbeschreibung angegebenen Wörter.,CONCEPT,3910.0,3.0
67,88,Die Antwort wurde in maximal 3 Sätzen gegeben. ,CONCEPT,2465.0,3.0
68,91,"Es wurde erkannt, dass der Titel des Gedichts ""Reisen"" ist. ",CONCEPT,2457.0,5.0
69,92,"Es wurde erkannt, dass der Name des Autors Gottfried Benn ist. ",CONCEPT,2433.0,5.0
70,93,The answer given defines the three elements of a good factual text.,CONCEPT,,
71,94,"Es wurde erkannt, dass das Gedicht 1950 entstand. ",CONCEPT,2436.0,5.0
72,95,"Es wurde die Fragestellung, ob man durch Reisen spirituelle Erfüllung finden kann, erkannt. ",CONCEPT,2451.0,5.0
73,96,"Es wird die Deutungsthese ""Bleiben und innere Einkehr füllen innere Leere"" genannt. ",CONCEPT,2443.0,5.0
74,97,"The answer sentence contains all structural elements (noun, verb, article, etc.).",CONCEPT,1274.0,
75,98,The answer contains no spelling mistakes.,CONCEPT,1184.0,
76,99,The answer was given in one sentence.,CONCEPT,,
77,100,The answer was given in the requested tense: Present continuous.,CONCEPT,,
78,101,The answer was given in the requested tense: Present simple.,CONCEPT,,
79,102,In the answer given the verb form matches the subject (in person and number).,CONCEPT,,
80,103,The answer is in the correct English variety (British English).,CONCEPT,,
81,104,The given answer describes the picture.,CONCEPT,1282.0,
82,105,The answer uses the words given in the task description.,CONCEPT,1389.0,
83,106,The answer given includes an object description by using adjectives.,CONCEPT,3834.0,
84,107,The answer given includes an object description by using prepositions. ,CONCEPT,3829.0,
85,108,"Die Antwort wurde in folgendem Format formuliert: In dem Gedicht ""Titel"" von ""Name des Autors ""aus dem Jahr ""Jahreszahl"" fragt das lyrische Ich ""Thema"" & ""Deutungsthese"".",CONCEPT,2462.0,5.0
86,110,The answer mentioned the required weekday.,CONCEPT,1169.0,
87,111,The answer mentioned the required objects.,CONCEPT,1178.0,
88,112,"Als Hauptaspekt des Gedichts wurde erkannt, dass man spirituelle Erfüllung durchs Reisen erfahren kann.",CONCEPT,2468.0,5.0
89,113,"Als sekundärer Aspekt des Gedichts wurde erkannt, dass innere Leere durch Verweilen gefüllt werden kann.",CONCEPT,2476.0,5.0
90,114,"Es wird erkannt, dass im Schlussteil des Interpretationsaufsatzes die Deutungsthese überprüft werden muss. ",CONCEPT,2500.0,5.0
91,115,"Es wird erkannt, dass im Schlussteil des Interpretationsaufsatzes die Deutungsthese modifiziert werden muss. ",CONCEPT,2493.0,5.0
92,116,"Es werden die Kennzeichen der Erlebnislyrik ""Gefühle, Stimmungen, Wahrnehmungen"" erkannt. ",CONCEPT,2485.0,5.0
93,117,"Der Lernende hat erkannt, dass das Gedicht ""Er ist's"" sich auf das Thema Naturlyrik bezieht.",CONCEPT,1079.0,5.0
94,121,"Es wird erkannt, dass die Merkmale Jahreszeit, Landschaft und Blumen für das Thema der Naturlyrik stehen. ",CONCEPT,3754.0,5.0
95,122,"Es wurde erkannt, dass die Frauen mit der Radikalisierung das Wahlrecht gefordert haben. ",CONCEPT,1381.0,
96,123,The answer was given in two sentences. ,CONCEPT,1400.0,
97,124,The learner is able to use spelling strategies correctly.,CONCEPT,370980.0,
98,125,The student can explain what's on the picture using a simple sentence.,CONCEPT,36505.0,
99,126,The answer uses the words given in the task description.,CONCEPT,1081.0,
100,127,The answer uses the words given in the task description.,CONCEPT,1085.0,
101,128,The answer uses the words given in the task description.,CONCEPT,1088.0,
102,129,The answer was given in the requested tense: Present simple.,CONCEPT,1091.0,
103,130,The answer was given in the requested tense: Present simple.,CONCEPT,3796.0,
104,131,The answer was given in the requested tense: Present simple.,CONCEPT,3800.0,
105,132,In the answer given the verb form matches the subject (in person and number).,CONCEPT,1161.0,
106,133,In the answer given the verb form matches the subject (in person and number).,CONCEPT,1165.0,
107,134,In the answer given the verb form matches the subject (in person and number).,CONCEPT,3793.0,
108,135,"Der Lernende versteht, wie wichtig offene und ehrliche Kommunikation ist, wenn er/sie mit anderen zusammenarbeitet.",CONCEPT,3814.0,
109,136,"Der Lernende versteht, wie wichtig Verlässlichkeit bei der Zusammenarbeit ist.",CONCEPT,3812.0,
110,137,"Der Lernende versteht, dass Aufgeschlossenheit und Flexibilität wichtig sind, wenn er/sie mit anderen zusammenarbeitet.",CONCEPT,3804.0,
111,138,"Der Lernende versteht, dass er/sie Respekt und Toleranz gegenüber anderen Meinungen haben muss.",CONCEPT,3807.0,
112,139,"Der Lernende versteht, wie wichtig es ist, eine konstruktive und kooperative Arbeitsatmosphäre zu schaffen.",CONCEPT,3828.0,
113,141,"Der Lernende versteht, wie wichtig es ist, ein gemeinsames Verständnis der Ziele und Aufgaben zu haben.",CONCEPT,3820.0,
114,144,"Der Lernende versteht, dass eine positive und professionelle Einstellung wichtig ist, wenn er/sie mit anderen zusammenarbeitet.",CONCEPT,3823.0,
115,145,The answer given defines the three elements of a good factual text.,CONCEPT,1070.0,
116,146,The answer given defines the three elements of a good factual text.,CONCEPT,3775.0,
117,147,The answer given defines the three elements of a good factual text.,CONCEPT,3780.0,
118,148,The answer given defines the three elements of a good factual text.,CONCEPT,3787.0,
119,149,"Der Lernende hat erkannt, dass das Merkmal Jahreszeit für das Thema der Naturlyrik steht.",CONCEPT,3754.0,5.0
120,150,"Der Lernende hat erkannt, dass das Merkmal Landschaft für das Thema der Naturlyrik steht.",CONCEPT,3754.0,5.0
121,151,"Der Lernende hat erkannt, dass das Merkmal Blumen für das Thema der Naturlyrik steht.",CONCEPT,3754.0,5.0
122,152,"Der Lernende hat erkannt, dass das Merkmal Tod nicht für das Thema der Naturlyrik steht.",CONCEPT,3754.0,5.0
123,153,"Der Lernende hat erkannt, dass das Merkmal Stadt nicht für das Thema der Naturlyrik steht.",CONCEPT,3754.0,5.0
124,154,"Der Lernende hat erkannt, dass das Merkmal Lebenslauf nicht für das Thema der Naturlyrik steht.",CONCEPT,3754.0,5.0
125,155,"Es wurde erkannt, dass das Gedicht ""Er ist's"" sich auf das Thema Naturlyrik bezieht.",CONCEPT,1079.0,5.0
126,156,"Es wurde erkannt, dass das Gedicht ""Er ist's"" sich auf das Thema Naturlyrik bezieht.",CONCEPT,1079.0,5.0
127,157,"Es wurde erkannt, dass das Gedicht ""Er ist's"" sich auf das Thema Naturlyrik bezieht.",CONCEPT,1079.0,5.0
128,158,"Es wurde erkannt, dass die Frauen für das Recht auf Abtreibung protestiert haben.",CONCEPT,59.0,
129,159,"Es wurde erkannt, dass die Frauen für das Recht auf Abtreibung protestiert haben.",CONCEPT,3741.0,
130,160,"Es wurde erkannt, dass die Frauen für das Recht auf Abtreibung protestiert haben.",CONCEPT,3745.0,
