taskId,id,aspectId,sampleSolution,name,description,tenantId,categoryId,type,groupId,metaData
0,81xdUMIFiyC7gTSwml1MTv,882.0,80,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""-""]}]}",Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
1,7fE9sk0x2amalma0takBp5,862.0,80,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""- ""]}]}",Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
2,7CUm7BcYBG79uI8VPMUKCo,738.0,80,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""- ""]}]}",Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
3,6eVh0sUk73laFRNimbk7MC,1112.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
4,avYO5lPPpNR7MVAKdARpVK,1105.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
5,6tsg9mDSnNP9MSZAtBpQ08,1088.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
6,vO9lrQFWnd6rddJnOBDkJ,1097.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
7,97MdgAui4Mk7m6cOU11GNV,52422.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
8,7bJSSnEH7oC9X4OLEOBOHF,52431.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
9,7FFk3hJ8VXl5PxDmcM1yg6,52440.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
10,1mfdXT4GupD5I8EgTdLjnb,52447.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
11,3nyPPFNdnq3aWkfdyyblYZ,52402.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
12,6jck1jG2yALa91FNC2Avae,52411.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
13,3DSHS6PDsDJ6jCx4ZaYAkq,52469.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
14,3h77kJLwUzk9jnm3I5I72t,52481.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
15,acRRmel9dq79Mz98xPSL7U,52492.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
16,5h3g4hte7GG97F5Dc8VSfx,52511.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
17,s8jsymMwfZ7Fn4A59dRSU,118111.0,80,,Satzintegrität: Satzanfang Fehler (do not use),"Du hast den Satzanfang nicht grossgeschrieben. Achte darauf, dass du jeden Satz mit einem grossgeschriebenen Buchstaben beginnst.",95,1.0,MISCONCEPTION,1404.0,
18,81xdUMIFiyC7gTSwml1MTv,883.0,81,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""-""]}]}",Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
19,7fE9sk0x2amalma0takBp5,861.0,81,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""-""]}]}",Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
20,7CUm7BcYBG79uI8VPMUKCo,732.0,81,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""- ""]}]}",Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
21,6eVh0sUk73laFRNimbk7MC,1113.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
22,avYO5lPPpNR7MVAKdARpVK,1106.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
23,6tsg9mDSnNP9MSZAtBpQ08,1089.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
24,vO9lrQFWnd6rddJnOBDkJ,1098.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
25,97MdgAui4Mk7m6cOU11GNV,52423.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
26,7bJSSnEH7oC9X4OLEOBOHF,52432.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
27,7FFk3hJ8VXl5PxDmcM1yg6,52441.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
28,1mfdXT4GupD5I8EgTdLjnb,52448.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
29,3nyPPFNdnq3aWkfdyyblYZ,52403.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
30,6jck1jG2yALa91FNC2Avae,52412.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
31,3DSHS6PDsDJ6jCx4ZaYAkq,52470.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
32,3h77kJLwUzk9jnm3I5I72t,52482.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
33,acRRmel9dq79Mz98xPSL7U,52493.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
34,5h3g4hte7GG97F5Dc8VSfx,52512.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
35,2OCzVPx47hE9q61ls1ggvQ,753.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
36,s8jsymMwfZ7Fn4A59dRSU,118075.0,81,,Rechtschreibung (do not use),"Der Lernende ist in der Lage, Rechtschreibstrategien anzuwenden. ",95,,MISCONCEPTION,1493.0,
37,81xdUMIFiyC7gTSwml1MTv,884.0,82,"{""type"": ""DEFAULT"", ""sampleSolutionGroups"": [{""sampleSolutions"": [""-""]}]}",Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
38,6eVh0sUk73laFRNimbk7MC,1114.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
39,avYO5lPPpNR7MVAKdARpVK,1107.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
40,6tsg9mDSnNP9MSZAtBpQ08,1090.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
41,vO9lrQFWnd6rddJnOBDkJ,1099.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
42,97MdgAui4Mk7m6cOU11GNV,52424.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
43,7bJSSnEH7oC9X4OLEOBOHF,52433.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
44,7FFk3hJ8VXl5PxDmcM1yg6,52442.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
45,1mfdXT4GupD5I8EgTdLjnb,52449.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
46,3nyPPFNdnq3aWkfdyyblYZ,52404.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
47,6jck1jG2yALa91FNC2Avae,52413.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
48,3DSHS6PDsDJ6jCx4ZaYAkq,52471.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
49,3h77kJLwUzk9jnm3I5I72t,52483.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
50,acRRmel9dq79Mz98xPSL7U,52494.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
51,5h3g4hte7GG97F5Dc8VSfx,52513.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
52,2OCzVPx47hE9q61ls1ggvQ,754.0,82,,Antworttyp: Satz,Die Antwort wurde in einem Satz gegeben.,95,3.0,CONCEPT,2412.0,
53,81xdUMIFiyC7gTSwml1MTv,888.0,116,,4.1 Kennzeichen Erlebnislyrik,"Es werden die Kennzeichen der Erlebnislyrik ""Gefühle, Stimmungen, Wahrnehmungen"" erkannt. ",95,5.0,CONCEPT,2485.0,
54,81xdUMIFiyC7gTSwml1MTv,63518.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
55,7fE9sk0x2amalma0takBp5,63519.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
56,7CUm7BcYBG79uI8VPMUKCo,63517.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
57,6eVh0sUk73laFRNimbk7MC,63520.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
58,avYO5lPPpNR7MVAKdARpVK,63521.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
59,vO9lrQFWnd6rddJnOBDkJ,63522.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
60,97MdgAui4Mk7m6cOU11GNV,63525.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
61,7bJSSnEH7oC9X4OLEOBOHF,63526.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
62,7FFk3hJ8VXl5PxDmcM1yg6,63527.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
63,1mfdXT4GupD5I8EgTdLjnb,63528.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
64,3nyPPFNdnq3aWkfdyyblYZ,63523.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
65,6jck1jG2yALa91FNC2Avae,63524.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
66,2OCzVPx47hE9q61ls1ggvQ,118074.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
67,s8jsymMwfZ7Fn4A59dRSU,118112.0,14160,,Satzintegrität: Satzanfang Fehler,Der Lernende hat den Satzanfang nicht grossgeschrieben. ,95,1.0,MISCONCEPTION,,
68,81xdUMIFiyC7gTSwml1MTv,63531.0,14172,,Satzintegrität: Kommasetzung Fehler,Der Lernende hat einen Fehler bei der Kommasetzung gemacht.,95,1.0,MISCONCEPTION,,
69,7fE9sk0x2amalma0takBp5,63532.0,14172,,Satzintegrität: Kommasetzung Fehler,Der Lernende hat einen Fehler bei der Kommasetzung gemacht.,95,1.0,MISCONCEPTION,,
70,7CUm7BcYBG79uI8VPMUKCo,63530.0,14172,,Satzintegrität: Kommasetzung Fehler,Der Lernende hat einen Fehler bei der Kommasetzung gemacht.,95,1.0,MISCONCEPTION,,
71,6eVh0sUk73laFRNimbk7MC,63533.0,14172,,Satzintegrität: Kommasetzung Fehler,Der Lernende hat einen Fehler bei der Kommasetzung gemacht.,95,1.0,MISCONCEPTION,,
72,avYO5lPPpNR7MVAKdARpVK,63535.0,14172,,Satzintegrität: Kommasetzung Fehler,Der Lernende hat einen Fehler bei der Kommasetzung gemacht.,95,1.0,MISCONCEPTION,,
73,vO9lrQFWnd6rddJnOBDkJ,63534.0,14172,,Satzintegrität: Kommasetzung Fehler,Der Lernende hat einen Fehler bei der Kommasetzung gemacht.,95,1.0,MISCONCEPTION,,
