aspectId,description,type,groupId,categoryId
0,10002,Please write one full sentence.,MISCONCEPTION,,
1,10010,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} keywords. You could also have mentioned {{missingStatement}}.,MISCONCEPTION,,
2,10069,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} concepts. You could also have mentioned '{{missingStatement}}'.,MISCONCEPTION,,
3,10097,The answer does not contain any of the searched keywords. You could for example have mentioned {{missingStatement}}.,MISCONCEPTION,,
4,10148,The learner used a swear word.,MISCONCEPTION,54923.0,
5,10173,The learner provided an offtopic answer.,MISCONCEPTION,54981.0,
6,10245,Don't give up so easily!,MISCONCEPTION,,
7,10293,The answer doesn't mention the concepts we were looking for. You could for example have mentioned '{{missingStatement}}'.,MISCONCEPTION,,
8,10313,The words are in the right order.,CONCEPT,,
9,10316,The words are not in the right order for a declarative sentence. The expected order is: subject -> verb -> object.,MISCONCEPTION,,
10,10319,"The words are not in the right order for an imperative sentence. The conjugated verb in the imperative should come before the subject, object, and other verbs.",MISCONCEPTION,,
11,10322,"The words are not in the right order for an interrogative sentence. The expected order is: auxiliary verb -> subject -> verb, or verb -> subject.",MISCONCEPTION,,
12,10325,Some verbs are not in the right order.,MISCONCEPTION,,
13,10328,The words are not in the right order.,MISCONCEPTION,,
14,10354,Sie haben nur {{numberOfMatchedStatements}} von den {{numberOfRequiredStatements}} Konzepten erwähnt. Sie hätten auch '{{missingStatement}}' erwähnen können.,MISCONCEPTION,,
15,10367,Die Antwort enthält die gesuchten Stichworte.,CONCEPT,,
16,10398,Ihre Antwort ist inhaltlich korrekt.,CONCEPT,,
17,10403,Sie haben nur {{numberOfMatchedStatements}} von {{numberOfRequiredStatements}} Schlüsselwörtern erwähnt. Sie hätten auch {{missingStatement}} erwähnen können.,MISCONCEPTION,,
18,10418,Die Antwort enthält keine der gesuchten Stichworte. Sie hätten zum Beispiel {{missingStatement}} erwähnen können.,MISCONCEPTION,,
19,10448,Benutzen Sie das Verb 'verlangen'.,MISCONCEPTION,,
20,108592,,MISCONCEPTION,,
21,11221,The subject and verb are congruent.,CONCEPT,,
22,11401,The answer mentions the keywords we were looking for: {{correctStatements}},CONCEPT,55122.0,
23,114811,"The answer contains that ""All I want for Christmas is you"" is the most listened-to Christmas song. ",CONCEPT,76607.0,4.0
24,114812,"The answer does not contain that ""All I want for Christmas is you"" is the most listened-to Christmas song. ",MISCONCEPTION,76607.0,4.0
25,11680,The answer does not contain any of the searched keywords. You could for example have mentioned {{missingStatement}}.,MISCONCEPTION,,
26,11699,The verb form doesn't match with the subject.,MISCONCEPTION,,
27,11701,"Hmm, the verbs were not conjugated in the expected tense: {{expectedTense}}. Try again!
",MISCONCEPTION,,
28,11703,"Hmm, it seems like you used an invalid tense.",MISCONCEPTION,,
29,11721,Please write one sentence.,MISCONCEPTION,,
30,11726,There is a missing article.,MISCONCEPTION,,
31,12191,You did not provide an answer.,MISCONCEPTION,,
32,12194,Tu n'as mentionné que {{numberOfMatchedStatements}} des {{numberOfRequiredStatements}} mots-clés. Tu aurais également pu mentionner {{missingStatement}}.,MISCONCEPTION,,
33,12208,You made a typo.,MISCONCEPTION,,
34,12322,"Yes, these are cute puppies indeed! Aw, aren't they super cute?😍",CONCEPT,,
35,12334,You could also mention all the decorations!,MISCONCEPTION,,
36,12338,You could also say something about the background!,MISCONCEPTION,,
37,124,The learner is able to use spelling strategies correctly.,CONCEPT,55114.0,
38,12438,Sie haben nur {{numberOfMatchedStatements}} von den {{numberOfRequiredStatements}} Konzepten erwähnt. Sie hätten auch '{{missingStatement}}' erwähnen können.,MISCONCEPTION,55249.0,
39,12460,Sie haben nur {{numberOfMatchedStatements}} von {{numberOfRequiredStatements}} Schlüsselwörtern erwähnt. Sie hätten auch {{missingStatement}} erwähnen können.,MISCONCEPTION,55249.0,
40,12472,Die Antwort enthält die gesuchten Stichworte: {{correctStatements}},CONCEPT,55249.0,
41,12479,"Genau! Sie haben das Hauptkonzept verstanden.
",CONCEPT,55249.0,
42,12486,"Versuchen Sie präziser auf die einzelnen verfahrenstechnischen Punkte einzugehen. Was ist das Ziel des Prozesses?
",MISCONCEPTION,55249.0,
43,12498,"Die Antwort erwähnt nicht die Konzepte, nach denen wir gesucht haben. Sie hätten zum Beispiel '{{missingStatement}}' erwähnen können.",MISCONCEPTION,55249.0,
44,125,The student can explain what's on the picture using a simple sentence.,CONCEPT,36505.0,
45,12714,The words are in the right order.,CONCEPT,,
46,12716,The words are not in the right order for a declarative sentence. The expected order is: subject -> verb -> object.,MISCONCEPTION,,
47,12718,The words are not in the right order for an imperative sentence. The verb in the imperative should come before the object and other verbs.,MISCONCEPTION,,
48,12720,"The words are not in the right order for an interrogative sentence. The expected order is: auxiliary verb -> subject -> verb, or verb -> subject.",MISCONCEPTION,,
49,12722,Some verbs are not in the right order.,MISCONCEPTION,,
50,12724,The words are not in the right order.,MISCONCEPTION,,
51,12726,You didn't write '{{missingStatement}}'.,MISCONCEPTION,,
52,12728,The answer mentions the keywords we were looking for.,CONCEPT,,
53,12731,The answer does not contain any of the searched keywords. You could for example have mentioned {{missingStatement}}.,MISCONCEPTION,,
54,12737,Your answer doesn't fully match the words given in the task. Try again.,MISCONCEPTION,,
55,12739,The words are in the wrong order.,MISCONCEPTION,,
56,12742,"Please use {{expectedDialect}} in ""Open World"".",MISCONCEPTION,,
57,12743,Your answer doesn't seem to be in {{expectedLanguage}}.,MISCONCEPTION,,
58,12745,You mixed up D and DT.,MISCONCEPTION,,
59,12747,There is an elision mistake.,MISCONCEPTION,,
60,12749,You mixed up E and AE.,MISCONCEPTION,,
61,12751,You mixed up F and PH.,MISCONCEPTION,,
62,12754,You mixed up something with the letter H.,MISCONCEPTION,,
63,12756,You mixed up I and IE.,MISCONCEPTION,,
64,12758,You mixed up K and CK.,MISCONCEPTION,,
65,12760,You used a pleonasm.,MISCONCEPTION,,
66,12761,Something went wrong when trying to find spelling mistakes.,MISCONCEPTION,,
67,12764,You mixed up ß and SS.,MISCONCEPTION,,
68,12766,You mixed up ß and S.,MISCONCEPTION,,
69,12768,You mixed up Z and TZ.,MISCONCEPTION,,
70,12770,You only mentioned {{numberOfMatchedStatements}} out of {{numberOfRequiredStatements}} keywords. You could also have mentioned {{missingStatement}}.,MISCONCEPTION,,
71,12774,Busted! That's not a nice word. May we ask you to answer the question now? :-),MISCONCEPTION,,
72,12776,"Got ya! Good try, but please answer the question. :-)",MISCONCEPTION,,
73,1374,The ability to convert text from one language to another.,CONCEPT,55118.0,
74,1375,The ability to use the right input format.,CONCEPT,,
75,1376,The ability to correctly match the verb to the subject.,CONCEPT,55112.0,
76,1377,The ability to answer in the right language.,CONCEPT,55115.0,
77,1380,The ability to formulate the answer in the correct tense.,CONCEPT,,
78,1415,The ability to convert text from one language to another.,CONCEPT,36657.0,
79,1416,The ability to use the right input format.,CONCEPT,15630.0,
80,1417,The ability to correctly match the verb to the subject.,CONCEPT,38488.0,
81,1418,The ability to answer in the right language.,CONCEPT,,
82,1419,Can correctly spell written text.,CONCEPT,16178.0,
83,1489,The ability to use the right input format.,CONCEPT,36094.0,
84,1490,The ability to correctly match the verb to the subject.,CONCEPT,36107.0,
85,1491,The ability to answer in the right language.,CONCEPT,,
86,1492,Can correctly spell written text.,CONCEPT,36125.0,
87,1498,The ability to convert text from one language to another.,CONCEPT,36344.0,
88,15250,Can correctly spell written text.,MISCONCEPTION,2508.0,
89,15285,Can correctly spell written text.,MISCONCEPTION,2508.0,
90,1531,The ability to convert text from one language to another.,CONCEPT,36373.0,
91,1532,The ability to use the right input format.,CONCEPT,36380.0,
92,15321,Can correctly spell written text.,CONCEPT,2508.0,
93,1533,The ability to correctly match the verb to the subject.,CONCEPT,36384.0,
94,1534,The ability to answer in the right language.,CONCEPT,,
95,1535,Can correctly spell written text.,CONCEPT,36390.0,
96,15357,Can correctly spell written text.,MISCONCEPTION,2508.0,
97,15393,Can correctly spell written text.,MISCONCEPTION,2508.0,
98,15429,Can correctly spell written text.,MISCONCEPTION,2508.0,
99,15465,Can correctly spell written text.,MISCONCEPTION,2508.0,
100,15501,Can correctly spell written text.,MISCONCEPTION,2508.0,
101,1551,The student knows the word dinner.,CONCEPT,45501.0,
102,1552,The student knows the word alcohol.,CONCEPT,45549.0,
103,1553,The student knows the word apple.,CONCEPT,45610.0,
104,15537,Can correctly spell written text.,MISCONCEPTION,2508.0,
105,1554,The student knows the word banana.,CONCEPT,45670.0,
106,1555,The student knows the word tree.,CONCEPT,45706.0,
107,1556,The student knows the word beer.,CONCEPT,45754.0,
108,1557,The student knows the word bread.,CONCEPT,45787.0,
109,15573,Can correctly spell written text.,MISCONCEPTION,2508.0,
110,1558,The student knows the word chemistry.,CONCEPT,47374.0,
111,1559,The student knows the word diet.,CONCEPT,45835.0,
112,1560,The student knows the word egg.,CONCEPT,45894.0,
113,15609,Can correctly spell written text.,MISCONCEPTION,2508.0,
114,1563,The student knows the word meat.,CONCEPT,45964.0,
115,1564,The student knows the word breakfast.,CONCEPT,46024.0,
116,15644,Can correctly spell written text.,MISCONCEPTION,2508.0,
117,1565,The student knows the word vegetables.,CONCEPT,46048.0,
