taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_BT,eng,Which courses can customers book with Swiss Connect Academy?,,9
122,a0pzxEfKq8c9D0dRZlQcm9_BT,eng,"Write a rule for astronauts. Use a conditional set. Example: attach your tools before a spacewalk, if you don't attach your tools before a spacewalk, they float away.",,28
123,9Hjn2yUwBcs7DZK6HARkE4_BT,eng,"Can you guess the most commonly spoken languages in Switzerland? Use modal verbs (could be, could be) to write four complete sentences.",,22
124,6AYw9CEZMTN7LN8u0LfYVb_BT,eng,Complete the sentence with a visit. Example: What is your plan for tonight when it rains? We | see a movie in the cinema We see a movie in the cinema. she | not help | him | with his project,,41
125,8QIKtMOE9zV6lnfc2vHMUd_BT,eng,Below are examples of vegetables. Carrot salad broccoli Let's mention two more examples of vegetables.,,15
126,acCkpp9pxibaTc4AAsgOVC_BT,eng,"In this quiz about communication with animals, all the answers are given, but the questions are missing. Use one of the question words from the list below, what why where, if how many examples: ants communicate with chemical signals, called pheromones. How do ants communicate? Ants communicate so that other ants can understand where food is.",,56
127,4GKDCzco6kPaCUpgz7lOS2_BT,eng,Describe the above advertisement by answering the following question: What do you see in the picture?,,16
141,45ThHefDwNG9wxNWsUDrsw_BT,eng,What is your favourite colour?,3790.0,5
142,asyLh1sqYFu6fPWhBhOyh0_BT,eng,How many legs does a dog have?,,7
208,9ScSVIxNzat8MrcxKtwWWo_BT,eng,What is machine learning? Write a definition in a sentence.,,10
209,5WEUBPg63mp6yapXpHN9gI_BT,eng,What are the benefits of meditation? Name two.,,8
228,5mmqwesujxOavPCgPV1jYl_BT,eng,Why is it necessary to know the concentration in order to neutralize an acid?,,14
313,wLjnfw9X0OaM4TXpmpmbn_BT,eng,"Kawai, 22. September 2018 Dear Jens After a drive through California with impressive coastal landscapes, architectural highlights and delicious fish dishes, we now enjoy the incredible nature on the paradisiacal islands of Hawaii. I send you many rays of sunshine from the west coast to misty St. Gallen, we have more than enough of that here! Flurina",4569.0,57
319,3PdC5a8wue86CrU9LbOf4X_BT,eng,"W e quote this sentence in a past tense: ""Bart goes to school on a skateboard.""",,16
320,7I02SNXmJw29PHNDu7X7rD_BT,eng,"Kawai, 22.09.2018 Hello Jens After a trip through California with impressive coastal landscapes, architectural highlights and super-fine fish dishes, we are now enjoying the incredible nature on the paradisiacal islands of Hawaii. I am sending you many rays of sunshine from the west coast to misty St. Gallen, we have more than enough of that here! Flurina",,57
322,7TVZOkAoQvS71zub3YI9Uy_BT,eng,What do you know about the Battle of Waterloo?,4598.0,9
349,6sOw5A7zvCF7CDiLo4Uk7q_BT,eng,What steps in the five-step process were used in the video? Name the steps in keywords.,,16
350,arpZLB27MYq9MWTotPuJAy_BT,eng,"Which statements of the person giving feedback corresponded to the video ""Step 3 - Impact Statement""? Answer in key words.",,20
351,30w35zN4NWl7TF1fAG1iMQ_BT,eng,What would be the advantages in this situation if the missing step 4 were included? Answer in keywords.,,18
363,9XdyGVcMBQ46XuuEclSfFn_BT,eng,What did you do yesterday?,,5
374,4jBgdq0UJJR7scU2V53dkN_BT,eng,Why are we often reluctant to give feedback?,,8
376,RfcCuYoNUe7RBgytJfh1F_BT,eng,What is constructive feedback? Name and explain the three types of constructive feedback.,,13
378,85nHGOb6zvv8RokLjNPzAr_BT,eng,What is happening here? Write a short sentence.,4815.0,8
380,2UVS16Mi27J75Gf1zgggkX_BT,eng,When did Caroline move to the countryside near Edinburgh?,,9
381,7HvXcqMsD1k6pqiCuLhyL4_BT,eng,"Read the following text and answer the following question: A chimpanzee uses his face to express different feelings. He grins or scoffes to show that he is excited or anxious. He clenches his lips when he wants to impress another chimpanzee. When he plays, a chimpanzee usually has an open smile with his upper teeth covered. In addition to his face, a chimpanzee also communicates with body language. For example, his hair is up in the air when he is excited. This reaction can also mean that he is afraid. If he is aggressive, he usually raises his arms or hits the ground and stares at another animal. A chimpanzee usually produces more than 15 different types of calls. For example, there is a special identification call that helps his family find him. When chimpanzees play, they often make a sound similar to our laughter. Body contact is very important to maintain harmony in a group of chimpanzees.",,158
382,3HutfSnU3Aq89ZhbTCeIPx_BT,eng,What does this animal say? Write a sentence.,,8
404,7shbJvksDqe6w8GxYWYPjM_BT,eng,"Which words do you remember from this level? Name a topic, a predicate and an object, write in English:",,19
405,6yifOPK7btOaqZ7s9oUch4_BT,eng,Write a sentence with the words you have learned at this level.,,12
406,vq7MNPDXoX8gG1TfdUzZf_BT,eng,Write a paragraph with the words you have learned at this level.,,12
417,9xrUaOZaijq9iVxHOdtDmy_BT,eng,What does this animal say? Write a sentence.,,8
419,a9x0z2UCcRh5zCmeXY1zk4_BT,eng,When did Howie Nicholsby open his own store?,,8
422,8lxRyLzStOK9eUhNRal38O_BT,eng,Describe the interaction between the girl and the dog in the following image:,,13
423,aazKG44PsKc5UnpTiDECut_BT,eng,Write three short sentences about yourself or someone else. Continue to write in the present tense and use each of the following verbs once: love - fear - hate Example: I love cats.,,33
427,6ruggOUwPBc9VefB2TD28P_BT,eng,What do you know about blockchain?,,6
428,ZLpjqCRnUf6QF60wvEhBt_BT,eng,What blockchain topics are you familiar with? Answer in keywords.,,10
429,xaGpHjZXZL62HIdbeTEkg_BT,eng,"Correct the phrase ""Hello, my name is Captain Cook.""",,9
