taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_RS,eng,What Academy? the courses that clients can book at Swiss Connect are,,12
122,a0pzxEfKq8c9D0dRZlQcm9_RS,eng,"Write a rule for astronauts. your a conditional sentence. Example : attach Use tools | float off | before a spacewalk if you don't attach your tools before a spacewalk, they float off. extremely fit | travel into space | need to be",,43
123,9Hjn2yUwBcs7DZK6HARkE4_RS,eng,"sentences. you guess the most frequently spoken languages in Switzerland? Use modal verbs (could be, might be) to write four complete Can",,22
124,6AYw9CEZMTN7LN8u0LfYVb_RS,eng,Complete the sentence with going to. Example: What's your plan | tonight if it's raining? We | watch a movie at the cinema We're going to watch a movie at the cinema. she for not help | him | with his project,,42
125,8QIKtMOE9zV6lnfc2vHMUd_RS,eng,The following are examples of vegetables. carrot two lettuce broccoli Name potato more examples for vegetables.,,16
126,acCkpp9pxibaTc4AAsgOVC_RS,eng,"In this quiz about animal communication, all the answers are given, but the questions are missing. Use one of the question words from the list what below why where when how many Example : Ants communicate with chemical signals called pheromones. How do ants communicate? Ants communicate so that other ants can understand where food is.",,56
127,4GKDCzco6kPaCUpgz7lOS2_RS,eng,Describe the above advertisement by answering the following question: What can you see in the picture?,,16
141,45ThHefDwNG9wxNWsUDrsw_RS,eng,your is What favorite color?,3790.0,5
142,asyLh1sqYFu6fPWhBhOyh0_RS,eng,How a legs does many dog have?,,7
208,9ScSVIxNzat8MrcxKtwWWo_RS,eng,Write is machine learning? What a definition in one sentence.,,10
209,5WEUBPg63mp6yapXpHN9gI_RS,eng,meditation? are benefits of What Name two.,,7
228,5mmqwesujxOavPCgPV1jYl_RS,eng,Why is it necessary to an the concentration in order to neutralize know acid?,,14
313,wLjnfw9X0OaM4TXpmpmbn_RS,eng,"Name islands elements of the following text (in keywords), which are typical for the text type ""picture postcard"". Kawai, September 22, 2018 Dear Jens After a drive across California with impressive coastal landscapes, architectural highlights and delicious fish dishes, we now enjoy the incredible nature on the paradise three of Hawaii. I send you many sunrays from the West Coast to foggy St. Gallen, we have more than enough of them here! Flurina",4569.0,73
319,3PdC5a8wue86CrU9LbOf4X_RS,eng,"W rite this sentence school."" a past tense : ""Bart rides on his skateboard to in",,16
320,7I02SNXmJw29PHNDu7X7rD_RS,eng,"Name three elements of the following text (in comma-separated keywords), which are typical for nature text type ""picture postcard"". Kawai, 22.09.2018 Hello Jens After a drive across California with impressive coastal landscapes, architectural highlights and super fine fish dishes, we now enjoy the incredible the on the paradise islands of Hawaii. I send you many sunbeams from the west coast to foggy St. Gallen, we have more than enough of that here! Flurina",,73
