taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_SR,eng,What are the feed that guest can book at Swiss Connect Academy?,,12
122,a0pzxEfKq8c9D0dRZlQcm9_SR,eng,"Write a rule for astronauts. Use a conditional sentence. Example : sequester your tools | float off | before a spacewalk if you don't sequester your tools before a spacewalk, they float off. extremely fit | travel into quad | need to be",,43
123,9Hjn2yUwBcs7DZK6HARkE4_SR,eng,"buns you guess the most frequently address languages in Switzerland? Use modal verbs (could be, might be) to write four complete sentences.",,22
124,6AYw9CEZMTN7LN8u0LfYVb_SR,eng,Complete the prison term with going to. Example: What's your plan for tonight if it's raining? We | watch a movie at the film We're going to watch a movie at the cinema. she | not help | him | with his project,,43
125,8QIKtMOE9zV6lnfc2vHMUd_SR,eng,The following are examples of vegetables. cultivated carrot potato lettuce broccoli mention two more examples for vegetables.,,17
126,acCkpp9pxibaTc4AAsgOVC_SR,eng,"In this quiz about animal communication, all the answers are given, but the questions are missing. Use one of the question words from the list below what why where when how many good example : Ants put across with chemical signals called pheromones. How do ants communicate? Ants put across so that other ants can understand where food is.",,59
127,4GKDCzco6kPaCUpgz7lOS2_SR,eng,delineate the ad above by answering the following question: What can you see in the picture?,,16
141,45ThHefDwNG9wxNWsUDrsw_SR,eng,What is your deary color?,3790.0,5
142,asyLh1sqYFu6fPWhBhOyh0_SR,eng,How many leg does a frump have?,,7
208,9ScSVIxNzat8MrcxKtwWWo_SR,eng,What is machine learning? pen a definition in unmatchable sentence.,,10
209,5WEUBPg63mp6yapXpHN9gI_SR,eng,What are welfare of meditation? identify two.,,7
228,5mmqwesujxOavPCgPV1jYl_SR,eng,wherefore is it necessary to know the concentration in monastic order to neutralize an acid?,,15
