taskId,tenant,language,title,description,context,topic,hints,solutionSteps,replacements,resource,sampleSolutions,stepifier,word_count
15827,81xdUMIFiyC7gTSwml1MTv,Cornelsen DE,DE,Archive | 4.1 Erlebnislyrik | Kennzeichen,Was ist ein Kennzeichen der Erlebnislyrik? Antworten Sie in einem Satz.,,"{'id': 5350, 'name': 'Essay 3', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,11
15828,7fE9sk0x2amalma0takBp5,Cornelsen DE,DE,Archive | 3.3 Schlussteil Interpretationsaufsatz,Welches Vorgehen planen Sie für den Schlussteil des Interpretationsaufsatzes? Nennen Sie die wichtigsten Schritte.,,"{'id': 5349, 'name': 'Essay 1', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,14
15829,7CUm7BcYBG79uI8VPMUKCo,Cornelsen DE,DE,Archive | 3.2 Gedicht | Inhaltliche Aspekte,Auf welchen inhaltlichen Aspekt hin würden Sie das Gedicht interpretieren? Schreiben Sie maximal 3 Sätze.,,"{'id': 5349, 'name': 'Essay 1', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,15
15869,6eVh0sUk73laFRNimbk7MC,Cornelsen DE,DE,DaF | Relativpronomen ,Mache aus den zwei Sätzen einen Relativsatz.Ich arbeite gern mit dem Laptop. Den Laptop habe ich letzte Woche bekommen.,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],"['Ich arbeite gern mit dem Laptop, den ich letzte Woche bekommen habe.']",,,[''],KEYWORD,19
15870,avYO5lPPpNR7MVAKdARpVK,Cornelsen DE,DE,DaF | Plusquamperfekt ,Was war zuerst? Schreibe einen Satz mit nachdem im Plusquamperfekt.eine neue Wohnung finden – die Helfer bestellen – nachdem,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],"['Nachdem ich eine neue Wohnung gefunden hatte, habe ich die Helfer bestellt.&nbsp;']",,,[''],KEYWORD,19
15871,6tsg9mDSnNP9MSZAtBpQ08,Cornelsen DE,DE,DaF | Passiv Präsens II,Schreibe den Satz im Passiv Präsens.Der Termin – intensiv vorbereiten – vom Kollegen.,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Der Termin wird vom Kollegen intensiv vorbereitet.'],,,[''],KEYWORD,13
15872,vO9lrQFWnd6rddJnOBDkJ,Cornelsen DE,DE,DaF | Passiv Präsens ,Ergänze im Passiv Präsens.packen: Die Koffer,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Die Koffer werden gepackt.'],,,[''],KEYWORD,6
16124,nqu0vtfgjH8ly72XMcGSF,Cornelsen EN,DE,(API TEST),When was the battle of Waterloo?,,,[],['The battle of Waterloo was in 1815.'],,,[''],SENTENCE,6
16565,97MdgAui4Mk7m6cOU11GNV,Cornelsen DE,DE,DaF | Passiv Präsens - Flugzeug fliegen,Ergänze im Passiv Präsens.fliegen: Das Flugzeug,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Das Flugzeug wird geflogen.'],,,[''],KEYWORD,6
16566,7bJSSnEH7oC9X4OLEOBOHF,Cornelsen DE,DE,DaF | Passiv Präsens - Restaurant empfehlen,Ergänze im Passiv Präsens.empfehlen: Das Restaurant,,"{'id': 5357, 'name': 'DaF', 'description': '', 'displayedOnDashboard': False}",[],['Das Restaurant wird empfohlen.'],,,[''],KEYWORD,6
