taskId,language,description,topic_id,word_count
723,8mT3ib2MUR05GEhNmTZgOF,EN,sugus 12345,,2
724,1uABTLp95CK7CBfYLNsodE,EN,Hallo aus der Testumgebung,,4
744,1pRLnbAZJR37vgwo8Vxw0S,EN,This is a task,,4
745,78AejMbXpKmaeaRjbVG9Cd,EN,W-Fragen,,1
793,4JbZPrJh2Zr9AtGZMC8RXH,EN,test,,1
918,7cEIpv3MJGuautZuq1lC27,EN,test,,1
997,73IGgfCwajkakURxaSb6DE,EN,Describe the image,,3
1019,9NLPD1zmbeq7XayTVaQo0k,EN,[This is the stem.],,4
1119,9PhuGfW9VTH6PWM9HCc71E,EN,"Sag mir ""Test""",,3
1361,8nV6jHixGLC6LxvgnXSZmn,EN,Erzähle ein Märchen.,,3
1386,ztlH9LIkSWa5rPFijXhwn,EN,Translate,,1
1683,4q5G3LXQtwh7BgKMND34CC,EN,string,,1
1690,2FJN4Z7EhHz9RJD4EHn3FS,EN,string,,1
1820,1yRz6HzdJge8fKbloYjhcf,EN,yyyy,5437.0,1
1826,6JalF98d7Np9Nf3aaYm7iU,EN,Test,,1
1834,7QRvdMOStll9AZURUSHnUt,EN,Test,,1
1897,3HXZi1k2sB27XE7nd2Zu4j,EN,https://connectsolutions.taskbase.com/task/51RfVYDIN2k6JFYt1Mh3IT/edit,,1
2263,8TxA8GK8qOe9IBJN8RrOTA,EN,blabla,,1
2264,65yycZCSuel9irpFcC6In6,EN,Gorgonzola,,1
2308,rgI1teCe79i7sbrc7zpc,EN,test,,1
2313,9gCNiAQMo6p5OVmm9xW4Xm,EN,test,,1
2525,4OQ9hm6iZdYaRNrvNtULfd,EN,test test,,2
2586,9IOQmknqlOia8bPNSTQpy5,EN,Він народився у Швейцарії.,,4
2608,3gDxoLw7Svp9dHli7Syhp6,EN,test test,,2
2812,9doBsrW3uGy7VM1lMjHau2,EN,Test,,1
2841,5tfhxRUg5f75UybkkAuSbW,EN,Excitement factor:,,2
2842,7F8zHcEc1od5HEID9QWjmj,EN,Risk factor:,,2
2843,1Sp2PBqcX5kayrvgKYzV9b,EN,Excitement factor:,,2
2846,6p5QZfhaEm799PhUdsjT3F,EN,Risk factor:,,2
3083,3v9PKWRTK5QaWkrsZ23K3p,EN,Find the difference. (8w-3)-(7w),,4
