taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT,deu,nennen funf argument fur zhaw,,5
1,5CjgnkyFrAd7kfW2wvuKYi,deu,ersetzen markant malerisch wendung synonymen ausdruck tonio zeit haus verschwenden langsam abneigen unterricht lehrer schlecht schreiben wurd fallen not boden vater kaufmann bremen verargern zeugniss jedoch fur tonio mutter vornamen consuelo heißen dam stadt unterschi vater einst bod landkart holen gleich thoma mann tonio kroger leicht verandern,1.0,47
2,5y3f8WN1u7F8mwHyB3GjBu,deu,ersetzen fett aufdruck synonym rechnung enden mangel,2027.0,7
3,5dTVecGZaDU6jyi0XnmgjT,deu,beschreiben handlungsbereich mediat kurz pragnant,125.0,5
4,5lDlwn820256bn1UCaZssm,deu,kernbotschaft j s ausbildungsverstandniss antwort schlusselwort,125.0,6
5,6kpL6UTvol49HRuBCYD8j0,deu,fallvignett karl heinz jahr alt leben eltern grosser stadt schweiz zweiter lehrjahr maler berufsschul belieben arbeitsplatz fleißig lehrl schatzen karl heinz wurd mehrmal bei trink polizei erwischen richterlich anordnung verpflichten kur stadtisch suchtpraventionsstel thema reduzierung einstellung cannabiskonsum kur alleingang abschließen ausgangspunkt karl heinz erscheinen punktlich erster termin herr konsilio kursleit informieren uber kur karl heinz hort aufmerksam schließen ab interess tun wissen warum trinke aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund ablegen mehr frage karl heinz buhn,2079.0,79
7,1b7GzQQyL5UaVKAMCOlFTc,deu,nennen drei hauptaufgab kundenbeziehungsmanag,,4
8,4w9GhyqYclU6DR2ECZdxo4,deu,p,,1
9,6HKSLRqNL3U5Mhmrj8eafJ,deu,diversifizierung finden neu markt neu produkt statt gegenteil diversifizierung bestehend markt bestehend produkt,,13
10,4PCAf43F0vz8Cai9f8VIKl,deu,schritt positionsanalys aufzahl,,3
11,xfaIMOkIco60F2NvVBLiO,deu,definieren begriff break ev point kurz satze,3261.0,7
12,4Mg9yzLtSfm7bFud4CGYn2,deu,arbeiten buro sportartikelversand famili frau susann arbeiten teilzeit servicekraft cafeteria alt pflegeheim ehepaar kunz eltern max tom lea drei kind gehen schule verhalten alltag herr kunz fahren auto arbeit firmengebaud nutzen aufzug buro dritter stock aufzug betrieb gehen treppenschritt pust pausieren gering ausdau stort mehr jahr spielen fur fußbal zweiter liga seit mannschaft verlassen treiben sport mehr wissen herr kunz risiko bewegungsmangel aufzahl arbeitsplatz lesen anzeig fur sportartikel positiv folge regelmaßig korperlich betatigung umziehen ausgangsposit herr kunz zumindest woch schwer diabet erkranken,2079.0,82
13,3x1MfA2egc2aDydR7uUsp6,deu,bea fotografieren freizeit tier veroffentlichen foto homepag bea tun sicherstellen foto urheberrechtlich schutzen erlautern antwort,3195.0,15
14,3boh9riWbYw5vj5P3G0lJD,deu,bea begeistert aufsatzen schuler stolz stellen gut arbeit namensnennung homepag veroffentlichung anonym fragen weder betroffen kind eltern richter bea vorgehen rechtlich sicht,3195.0,22
15,anujPX52fQR6x3248F2rHV,deu,rolf finden internet bild oben genannt creativ common label kennzeichnen drei bedingung dürfen bild verwenden,3466.0,15
16,837aEbasa688e557uvxTar,deu,einfuhrung exkurs zeigen rolf schulern klassenlag aufgezeichnen fernsehsendung goldwasch napf bitt beurteilen rechtlich sicht,3195.0,14
17,3oWzcZ9w53u7LC1lmB6Zzz,deu,rucksprach eltern veroffentlichen lehrerin bea offentlich klassenhompag portratfoto schuler sowi der vornamen,3465.0,12
18,1US4mJ2ZPSW6YhwGn5sr8k,deu,uhr paus ferien rolf schulerband groß auftritt paus geben konzert gesamt gymnasium begeistert passant programm stehen coverversionen bekannt rock popsong schritt rolf unternehmen rechtlich problem vermeid antwort kurz satz pro schritt,3195.0,31
19,38DVRUtUzmK80JIIPEQFK5,deu,rolf student verwend prasentation auslandisch foto internet powerpoint prasentation gestalt bedingung erlauben antwort kurz satz pro bedingung,3195.0,17
20,5XeRfbWOsAB8uOpsoObxdm,deu,bea workshop igel jahr teil verlagsprogramm lehrmittelverlag verkaufen warum bea bild workshop oben gezeigt creativ common lizenz finden ersetzen antwort kurz satz,3466.0,22
