taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS,eng,feed guest edgar connect,,4
73,aOrgjKFodXC7uGMKqdMKMg,eng,empti answer,,2
122,a0pzxEfKq8c9D0dRZlQcm9,eng,journey convent astronaut use attach condit spacewalk attach swim extrem fit travel space need,,14
123,9Hjn2yUwBcs7DZK6HARkE4,eng,reckon speech verb complet write four sentenc,,7
124,6AYw9CEZMTN7LN8u0LfYVb,eng,condemn sentenc exampl night watch movi cinema go watch movi cinema help project,,13
125,8QIKtMOE9zV6lnfc2vHMUd,eng,follow two exampl exampl veget illustr broccoli mention exampl,,9
126,acCkpp9pxibaTc4AAsgOVC,eng,quiz anim miss one good put across chemic signal pheromon ant put across ant understand food,,16
127,4GKDCzco6kPaCUpgz7lOS2,eng,ad answer ensur question underment see,,6
134,4v0zgK6HiNt5vMFcnl9S5m,eng,,2134.0,0
140,2dtDLI0qCe4amc1mY25Gm4,eng,case qualiti someth,,3
141,45ThHefDwNG9wxNWsUDrsw,eng,favour favor prefer color,3790.0,4
142,asyLh1sqYFu6fPWhBhOyh0,eng,track mani tag,,3
208,9ScSVIxNzat8MrcxKtwWWo,eng,learn definit bank line one line,,6
209,5WEUBPg63mp6yapXpHN9gI,eng,two list lean,,3
228,5mmqwesujxOavPCgPV1jYl,eng,essenc concentr neutral acid,,4
313,wLjnfw9X0OaM4TXpmpmbn,eng,diagnos three follow keyword typic type kawai sept text dear jen across tell impress landscap architectur delici fish dish enjoy incre hawaii mani st enough flurina,4569.0,26
319,3PdC5a8wue86CrU9LbOf4X,eng,w rite time ten bart ride hing multipl skateboard,,9
320,7I02SNXmJw29PHNDu7X7rD,eng,name three element follow relish keyword pictur howdi drive across california typewrit impress coastal architectur super fine fish sunbeam paradis island hawaii send mani west foggi gallen,,27
322,7TVZOkAoQvS71zub3YI9Uy,eng,live subsist contend struggl waterloo,4598.0,5
349,6sOw5A7zvCF7CDiLo4Uk7q,eng,step five util step pace process video key step keyword,,10
350,arpZLB27MYq9MWTotPuJAy,eng,video give feedback impact stand statement serv ternari,,8
351,30w35zN4NWl7TF1fAG1iMQ,eng,benefit would emerg lack use includ answer post keyword,,9
