taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_RI,eng,cour tie link client book swiss connect academi,,8
122,a0pzxEfKq8c9D0dRZlQcm9_RI,eng,write rule astronaut use condit sentenc exampl attach tool go float spacewalk attach tool live spacewalk float extrem fit travel space need,,22
123,9Hjn2yUwBcs7DZK6HARkE4_RI,eng,guess frequent speak terminolog oral commun languag switzerland use modal verb could might write four complet sentenc,,17
124,6AYw9CEZMTN7LN8u0LfYVb_RI,eng,complet sentenc go exampl plan tonight rain watch movi conk cinema go watch movi cinema night help project,,18
125,8QIKtMOE9zV6lnfc2vHMUd_RI,eng,follow exampl veget carrot potato lettuc broccoli name keep two exampl daucu carota sativa veget,,15
126,acCkpp9pxibaTc4AAsgOVC_RI,eng,quiz anim commun answer give question miss use one question word list mani exampl ant commun transmit chemic signal call pheromon ant commun ant commun ant signal understand food,,29
127,4GKDCzco6kPaCUpgz7lOS2_RI,eng,describ advertis answer follow question advert see key pictur,,9
141,45ThHefDwNG9wxNWsUDrsw_RI,eng,prefer good love favorit color,3790.0,5
142,asyLh1sqYFu6fPWhBhOyh0_RI,eng,mani leg hotdog leg dog,,5
208,9ScSVIxNzat8MrcxKtwWWo_RI,eng,unrival automobil machin learn write definit one sentenc,,8
209,5WEUBPg63mp6yapXpHN9gI_RI,eng,key benefit medit name two,,5
228,5mmqwesujxOavPCgPV1jYl_RI,eng,necessari rate know concentr order neutral lie acid,,8
313,wLjnfw9X0OaM4TXpmpmbn_RI,eng,name three element follow text keyword typic text type pictur postcard kawai septemb dear jen drive across california impress coastal landscap architectur highlight delici good fish dish enjoy incred natur paradis island hawaii send mani sunray west coast foggi st gallen enough septemb flurina,4569.0,44
319,3PdC5a8wue86CrU9LbOf4X_RI,eng,w rite retir sentenc past ten bart ride religi rite skateboard school,,12
320,7I02SNXmJw29PHNDu7X7rD_RI,eng,name three element follow text comma separ keyword typic text distinct type pictur postcard kawai hello jen drive across california impress coastal landscap architectur highlight distinguish super fine fish dish enjoy incred natur paradis island hawaii send mani sunbeam west coast foggi st gallen enough flurina,,46
322,7TVZOkAoQvS71zub3YI9Uy_RI,eng,know bed fuck battl waterloo,4598.0,5
349,6sOw5A7zvCF7CDiLo4Uk7q_RI,eng,step five step nomin process util appli video name step keyword,,11
350,arpZLB27MYq9MWTotPuJAy_RI,eng,video statement person give feedback correspond serv step impact statement mortal answer keyword,,13
351,30w35zN4NWl7TF1fAG1iMQ_RI,eng,benefit would tetrad offic emerg situat miss step includ answer keyword,,11
363,9XdyGVcMBQ46XuuEclSfFn_RI,eng,yesterday,,1
374,4jBgdq0UJJR7scU2V53dkN_RI,eng,disapprov disfavour often dislik give feedback,,6
376,RfcCuYoNUe7RBgytJfh1F_RI,eng,type construct feedback name trey explain three type construct feedback,,10
378,85nHGOb6zvv8RokLjNPzAr_RI,eng,happen save spell write short sentenc,4815.0,6
380,2UVS16Mi27J75Gf1zgggkX_RI,eng,carolin move carolean countrysid near edinburgh,,6
381,7HvXcqMsD1k6pqiCuLhyL4_RI,eng,read follow text answer usa question chimpanze use face express differ feel grin sneer show excit afraid press lip togeth want impress anoth chimp play chimp gener open smile top tooth cover apart face chimp also use bodi languag commun exampl hair stand end excit reaction limit also mean afraid aggress usual rais arm hit ground stare anoth anim chimp normal produc differ type call exampl special identif call help famili find chimp play often make sound similar laughter bodi contact import preserv harmoni group chimpanze chimpanze often groom hour help stay calm creat feel friendship interest fact text opinion,,100
382,3HutfSnU3Aq89ZhbTCeIPx_RI,eng,creatur anim say write fauna sentenc,,6
404,7shbJvksDqe6w8GxYWYPjM_RI,eng,word memor verb phrase level spell name one subject one predic one object write german,,15
405,6yifOPK7btOaqZ7s9oUch4_RI,eng,write sentenc judgment convict watchword word learn level,,8
406,vq7MNPDXoX8gG1TfdUzZf_RI,eng,countersign write knowledg short stori paragraph word learn level,,9
417,9xrUaOZaijq9iVxHOdtDmy_RI,eng,publish fleshli anim say write sentenc,,6
419,a9x0z2UCcRh5zCmeXY1zk4_RI,eng,afford howi nicholsbi open outdoor shop,,6
422,8lxRyLzStOK9eUhNRal38O_RI,eng,describ interact girl wienerwurst draw dog follow pictur,,8
423,aazKG44PsKc5UnpTiDECut_RI,eng,write three short sentenc forget someon make love el write present continu use follow verb love fear hate exampl love cat,,21
427,6ruggOUwPBc9VefB2TD28P_RI,eng,know screw blockchain,,3
428,ZLpjqCRnUf6QF60wvEhBt_RI,eng,conver blockchain familiar topic familiar answer keyword,,7
429,xaGpHjZXZL62HIdbeTEkg_RI,eng,korrigier hideaway hideout den satz hello name kaptain cook,,9
434,6P87Q52yNtW6JpIm040QHJ_RI,eng,xxx know climat chang summar max word,,7
435,63suDE8D54Z7PXe4WUmQrH_RI,eng,know know climat chang cognis summar max word,,8
436,28NfdA6EwPi5Ld88l1sl6i_RI,eng,one behav edific build comport earthquak,,6
437,14ambh1obhw7TYMQE8lcC1_RI,eng,write past ten scant short text sentenc past simpl use word usual sometim never,,14
