taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_SR,eng,feed guest book swiss connect academi,,6
122,a0pzxEfKq8c9D0dRZlQcm9_SR,eng,write rule astronaut use condit sentenc exampl sequest tool float spacewalk sequ tool spacewalk float extrem fit travel quad need,,20
123,9Hjn2yUwBcs7DZK6HARkE4_SR,eng,bun guess frequent address languag switzerland use modal verb could might write four complet sentenc,,15
124,6AYw9CEZMTN7LN8u0LfYVb_SR,eng,complet prison term go exampl plan tonight rain watch movi film go watch movi cinema help project,,17
125,8QIKtMOE9zV6lnfc2vHMUd_SR,eng,follow exampl veget cultiv carrot potato lettuc broccoli mention two exampl veget,,12
126,acCkpp9pxibaTc4AAsgOVC_SR,eng,quiz anim commun answer give question miss use one question word list mani good exampl ant put across chemic signal call pheromon ant commun ant put across ant understand food,,30
127,4GKDCzco6kPaCUpgz7lOS2_SR,eng,delin ad answer follow question see pictur,,7
141,45ThHefDwNG9wxNWsUDrsw_SR,eng,deari color,3790.0,2
142,asyLh1sqYFu6fPWhBhOyh0_SR,eng,mani leg frump,,3
208,9ScSVIxNzat8MrcxKtwWWo_SR,eng,machin learn pen definit unmatch sentenc,,6
209,5WEUBPg63mp6yapXpHN9gI_SR,eng,welfar medit identifi two,,4
228,5mmqwesujxOavPCgPV1jYl_SR,eng,wherefor necessari know concentr monast order neutral acid,,8
313,wLjnfw9X0OaM4TXpmpmbn_SR,eng,epithet three element follow text keyword typic text type pictur postcard kawai septemb dear jen drive across california impress coastal landscap architectur highlight delici fish dish enjoy incred natur paradis island hawaii send mani sunray west coast foggi st gallen plenti flurina,4569.0,42
319,3PdC5a8wue86CrU9LbOf4X_SR,eng,w rite sentenc past ten tens bart ride skateboard school,,10
320,7I02SNXmJw29PHNDu7X7rD_SR,eng,name three element follow text comma separ keyword typic text type pictur postcard kawai hello jen drive across california impress coastal landscap architectur highlight super fine fish dish enjoy incred natur paradis island hawaii post mani sunbeam western unit state coast foggi st gallen enough flurina,,46
322,7TVZOkAoQvS71zub3YI9Uy_SR,eng,roll hay combat waterloo,4598.0,4
349,6sOw5A7zvCF7CDiLo4Uk7q_SR,eng,step five step process util video key step keyword,,9
350,arpZLB27MYq9MWTotPuJAy_SR,eng,inch video statement person give feedback correspond step touch statement answer keyword,,12
351,30w35zN4NWl7TF1fAG1iMQ_SR,eng,benefit would emerg situat miss step includ result keyword,,9
363,9XdyGVcMBQ46XuuEclSfFn_SR,eng,yesterday,,1
374,4jBgdq0UJJR7scU2V53dkN_SR,eng,oft disfavor give feedback,,4
376,RfcCuYoNUe7RBgytJfh1F_SR,eng,construct feedback key explain ternion type construct feedback,,8
378,85nHGOb6zvv8RokLjNPzAr_SR,eng,happen compos unforesight sentenc,4815.0,4
380,2UVS16Mi27J75Gf1zgggkX_SR,eng,carolean move countrysid nearli edinburgh,,5
381,7HvXcqMsD1k6pqiCuLhyL4_SR,eng,read follow text answer question chimpanze use face express differ feel grin sneer show excit afraid campaign lip togeth want impress anoth chimp play chimp gener open smile top tooth cover apart face chimp also use bodi languag commun exampl hair stand end excit reaction also mean afraid aggress usual rais arm hit ground stare anoth anim chimp normal produc differ type call exampl special identif margin call help famili find chimp play often make sound similar laughter bodi contact import preserv harmoni group chimpanze chimpanze often groom hour help stay calm creat feel friendship interest fact text opinion,,99
382,3HutfSnU3Aq89ZhbTCeIPx_SR,eng,fauna say compos sentenc,,4
404,7shbJvksDqe6w8GxYWYPjM_SR,eng,news memor level name one subject one predic one object drop line german,,13
405,6yifOPK7btOaqZ7s9oUch4_SR,eng,drop line sentenc word studi level,,6
406,vq7MNPDXoX8gG1TfdUzZf_SR,eng,write shortstop stori paragraph countersign learn level,,7
417,9xrUaOZaijq9iVxHOdtDmy_SR,eng,carnal say compos sentenc,,4
419,a9x0z2UCcRh5zCmeXY1zk4_SR,eng,howi nicholsbi open shop,,4
422,8lxRyLzStOK9eUhNRal38O_SR,eng,describ fundament interact littl girl dog follow pictur,,8
423,aazKG44PsKc5UnpTiDECut_SR,eng,write three short sentenc someon el write present continu use follow verb love fear hate exampl love cat,,18
427,6ruggOUwPBc9VefB2TD28P_SR,eng,get lay blockchain,,3
428,ZLpjqCRnUf6QF60wvEhBt_SR,eng,blockchain theme familiar spirit answer keyword,,6
429,xaGpHjZXZL62HIdbeTEkg_SR,eng,korrigier hideout satz hello appoint kaptain cook,,7
