taskId,language,description,context,tenant_id,tenant_name,topic_name,topic_description,word_count,preprocess_desc,preprocess_context
14917,9oqJmtbKXts6Rr9Szw4OIS,eng,What are the courses that clients can book at Swiss Connect Academy?,,18.0,connectsolutions_en,,,12,cours client book swiss connect academi,
14973,a0pzxEfKq8c9D0dRZlQcm9,eng,"Write a rule for astronauts. Use a conditional sentence. Example : attach your tools | float off | before a spacewalk if you don't attach your tools before a spacewalk, they float off. extremely fit | travel into space | need to be",,7.0,sandbox,,,43,write rule astronaut use condit sentenc exampl attach tool float spacewalk attach tool spacewalk float extrem fit travel space need,
14974,9Hjn2yUwBcs7DZK6HARkE4,eng,"Can you guess the most frequently spoken languages in Switzerland? Use modal verbs (could be, might be) to write four complete sentences.",,7.0,sandbox,,,22,guess frequent speak languag switzerland use modal verb could might write four complet sentenc,
14975,6AYw9CEZMTN7LN8u0LfYVb,eng,Complete the sentence with going to. Example: What's your plan for tonight if it's raining? We | watch a movie at the cinema We're going to watch a movie at the cinema. she | not help | him | with his project,,7.0,sandbox,,,42,complet sentenc go exampl plan tonight rain watch movi cinema go watch movi cinema help project,
14976,8QIKtMOE9zV6lnfc2vHMUd,eng,The following are examples of vegetables. carrot potato lettuce broccoli Name two more examples for vegetables.,,7.0,sandbox,,,16,follow exampl veget carrot potato lettuc broccoli name two exampl veget,
14977,acCkpp9pxibaTc4AAsgOVC,eng,"In this quiz about animal communication, all the answers are given, but the questions are missing. Use one of the question words from the list below what why where when how many Example : Ants communicate with chemical signals called pheromones. How do ants communicate? Ants communicate so that other ants can understand where food is.",,7.0,sandbox,,,56,quiz anim commun answer give question miss use one question word list mani exampl ant commun chemic signal call pheromon ant commun ant commun ant understand food,
14978,4GKDCzco6kPaCUpgz7lOS2,eng,Describe the advertisement above by answering the following question: What can you see in the picture?,,7.0,sandbox,,,16,describ advertis answer follow question see pictur,
15000,45ThHefDwNG9wxNWsUDrsw,eng,What is your favorite color?,,18.0,connectsolutions_en,Testing the system,,5,favorit color,
15001,asyLh1sqYFu6fPWhBhOyh0,eng,How many legs does a dog have?,,18.0,connectsolutions_en,,,7,mani leg dog,
15078,9ScSVIxNzat8MrcxKtwWWo,eng,What is machine learning? Write a definition in one sentence.,,35.0,Coursera,,,10,machin learn write definit one sentenc,
15079,5WEUBPg63mp6yapXpHN9gI,eng,What are benefits of meditation? Name two.,,35.0,Coursera,,,7,benefit medit name two,
15099,5mmqwesujxOavPCgPV1jYl,eng,Why is it necessary to know the concentration in order to neutralize an acid?,,37.0,labster,,,14,necessari know concentr order neutral acid,
15186,wLjnfw9X0OaM4TXpmpmbn,eng,"Name three elements of the following text (in keywords), which are typical for the text type ""picture postcard"". Kawai, September 22, 2018 Dear Jens After a drive across California with impressive coastal landscapes, architectural highlights and delicious fish dishes, we now enjoy the incredible nature on the paradise islands of Hawaii. I send you many sunrays from the West Coast to foggy St. Gallen, we have more than enough of them here! Flurina",,39.0,Example,Type of texts,A student can recognize features of different types of texts.,73,name three element follow text keyword typic text type pictur postcard kawai septemb dear jen drive across california impress coastal landscap architectur highlight delici fish dish enjoy incred natur paradis island hawaii send mani sunray west coast foggi st gallen enough flurina,
15195,3PdC5a8wue86CrU9LbOf4X,eng,"W rite this sentence in a past tense : ""Bart rides on his skateboard to school.""",,18.0,connectsolutions_en,,,16,w rite sentenc past ten bart ride skateboard school,
15196,7I02SNXmJw29PHNDu7X7rD,eng,"Name three elements of the following text (in comma-separated keywords), which are typical for the text type ""picture postcard"". Kawai, 22.09.2018 Hello Jens After a drive across California with impressive coastal landscapes, architectural highlights and super fine fish dishes, we now enjoy the incredible nature on the paradise islands of Hawaii. I send you many sunbeams from the west coast to foggy St. Gallen, we have more than enough of that here! Flurina",,7.0,sandbox,,,73,name three element follow text comma separ keyword typic text type pictur postcard kawai hello jen drive across california impress coastal landscap architectur highlight super fine fish dish enjoy incred natur paradis island hawaii send mani sunbeam west coast foggi st gallen enough flurina,
15198,7TVZOkAoQvS71zub3YI9Uy,eng,What do you know about the Battle of Waterloo?,,8.0,demo,English,,9,know battl waterloo,
