taskId,language,description,topic_id,word_count
779,3zHah3WHaBL69lxjz0xPdA,deu,"Translate ""Ich habe gestern Abend ferngesehen."" to English.",,8
780,7dgOqVF3wM07eiRRzsTEYV,deu,"Translate ""Er hat ein Abendessen bestellt."" to English.",,8
781,9yd745wscDf9ERA8P2pfhW,deu,"Translate ""Ich hatte nichts zum Abendessen."" to English.",,8
782,6ZsjZ1Fpkk76aNTpKZucfx,deu,"Translate ""Ich will kein Abendessen."" to English.",,7
783,22BFD78ilPM8TchKxPNRFF,deu,"Translate ""Tom macht gerade Abendessen."" to English.",,7
784,50vh0FAZ3TDaHo84QdFocv,deu,"Translate ""Das Leben ist voller Abenteuer."" to English.",,8
785,a8fhbpOctnB81BMgXtazcU,deu,"Translate ""Ich konnte nicht ablehnen."" to English.",,7
786,20A4Hx4UDtf8CLvEdGBbCn,deu,"Translate ""Das machst du doch mit Absicht!"" to English.",,9
787,7DSzCegF1Gz9C7jXDbf0ae,deu,"Translate ""Das war sicher nicht mit Absicht."" to English.",,9
788,SsFyvivPiXa3xCGUqNzhy,deu,"Translate ""Er hatte die Absicht, sie zu heiraten."" to English.",,10
789,4iiM8cAHjYH75flvADkcFR,deu,"Translate ""Hast du das mit Absicht getan?"" to English.",,9
790,4WQPpjZzXl05Tdu6W5xxVt,deu,"Translate ""Ich habe nicht die Absicht, mich zu entschuldigen."" to English.",,11
791,7FH3sCf1EL78jEz8orF9ab,deu,"Translate ""Meine Frau wollte ein Kind adoptieren."" to English.",,9
792,4YROUyqd8jj7fi3DT8SnHu,deu,"Translate ""Der Affe fiel vom Baum."" to English.",,8
793,8IRZQCLrsBh9uuBth2dbc3,deu,"Translate ""Mein Affe ist fortgelaufen."" to English.",,7
794,f5FBKIiyFd7QCzbq4GgKP,deu,"Translate ""Das war ein Albtraum."" to English.",,7
795,50hyowIp3hd7pHJnrWGCla,deu,"Translate ""Er zeigte mir sein Album."" to English.",,8
796,a2EFy1quyXd6bb286NW5Qb,deu,"Translate ""Es ist mir nicht erlaubt, Alkohol zu trinken."" to English.",,11
797,6K4ImkCIaj08kpmj1XbVws,deu,"Translate ""Haben Sie Getränke ohne Alkohol?"" to English.",,8
798,8ZITtwQdx9G9AKb7jyIPS3,deu,"Translate ""Ich kann keinen Alkohol trinken."" to English.",,8
799,9Wm7IWwrNhRayy5g2gj6rA,deu,"Translate ""Ich trinke keinen Alkohol."" to English.",,7
800,17aU9nWh0eLag81mXI2h3O,deu,"Translate ""Sie war dem Alkohol nicht abgeneigt."" to English.",,9
801,8PqBcI1KZWl8Mtq0B8FxL4,nds,"Translate ""Ich habe bis zum Alter von 6 in Osaka gelebt."" to English.",,13
802,aAkIziPCaJX7lPIBr9JQwY,deu,"Translate ""Sie hat im Alter von 25 geheiratet."" to English.",,10
803,3zGud8VQ8yNaycnVTBNazJ,deu,"Translate ""Welches Alter hat Ihr Sohn?"" to English.",,8
804,acmZVlmedq577WAV5BInIC,eng,"Translate ""Was ist die Alternative?"" to English.",,7
805,1oTr9NmVjOc7V9UGrEs4ah,deu,"Translate ""Jane scheint sich auf der Party zu amüsieren."" to English.",,11
806,6hmk7XLEG7361cQCL6t3Wb,deu,"Translate ""Darf ich dir jetzt etwas zu trinken anbieten?"" to English.",,11
807,7EkwqUuuM7L71QhYSquY9C,deu,"Translate ""Das wird sich nicht ändern."" to English.",,8
808,3lriGJFEm9W8W71JHWyfDX,deu,"Translate ""Die Zeiten ändern sich."" to English.",,7
809,5flo6UARSgZ8n2lBBqtBn1,deu,"Translate ""Tom muss seine Einstellung ändern."" to English.",,8
810,2whKClfmekVaHLvKfAiPVa,deu,"Translate ""Vielleicht ändern sich die Preise."" to English.",,8
811,aKyigEtilsvaz9cxURMjNY,deu,"Translate ""Es war dumm von dir, sein Angebot anzunehmen."" to English.",,11
812,51vgitPthWZ7rU5CTzq5VV,deu,"Translate ""Ich akzeptiere das Angebot."" to English.",,7
813,22UHAQsTne57THcsK0NPCi,deu,"Translate ""Ich werde dein Angebot annehmen."" to English.",,8
814,9MpZ9PyNope91FHJ6hDVrI,deu,"Translate ""Ich werde dein Angebot annehmen."" to English.",,8
815,2tXp4qsxJtY5AN7ivJqsVE,deu,"Translate ""Deine Antwort ist falsch."" to English.",,7
816,5QMm78gBppxaJVq91HE6i5,deu,"Translate ""Du hast die Antwort gefunden."" to English.",,8
817,aS38m2r9A37aEFQXHdmakv,deu,"Translate ""Hast du eine Antwort von Tom erhalten?"" to English.",,10
818,1zeg3zMm9df7GMEk4S1mUH,deu,"Translate ""Kennen Sie die Antwort?"" to English.",,7
819,aCD2v49jXCD7FKmZex0H8I,deu,"Translate ""Deine Antworten waren bis auf eine richtig."" to English.",,10
820,6QkSj5tcnin7Hqbix7qbxW,deu,"Translate ""Muss ich auf die Frage antworten?"" to English.",,9
821,2r2SYFcYe9N6mNTHUlcK8f,deu,"Translate ""Ich brauche keinen Anwalt."" to English.",,7
822,8KAr1JaOTRu8nGNYfn9Vww,deu,"Translate ""Der Apfel ist noch nicht reif."" to English.",,9
823,2PqNTcM5pSPav1Hou9ZWcW,deu,"Translate ""Ich esse gerade einen Apfel."" to English.",,8
824,WCz20kHwET8k3MVbqppy6,deu,"Translate ""Ist das ein Apfel?"" to English.",,7
825,BQF0srBMWT7Gzo7BZ2uzK,deu,"Translate ""Unter dem Schreibtisch liegt ein Apfel."" to English.",,9
826,63LwneDO7eg8AK3biY87MO,deu,"Translate ""Wie schmeckt der Apfel?"" to English.",,7
827,a9LEBCdqQ1T7bSqECtwYJb,deu,"Translate ""Er erledigt seine Arbeit."" to English.",,7
828,7eAdNIMwTdZ8bNDzMdsKNi,deu,"Translate ""Er ist mit seiner Arbeit zufrieden."" to English.",,9
829,66WZeewVaQUapMbr4L8zqc,deu,"Translate ""Ich bin von der Arbeit sehr müde."" to English.",,10
830,94XarI5tWg871T4PHzFaq0,deu,"Translate ""Ich habe Arbeit für dich."" to English.",,8
831,7QYKkjMFgIs6pLnqer8efv,deu,"Translate ""Ich muss die Arbeit bis vier Uhr abgeschlossen haben."" to English.",,12
832,48PYN7qDGQA88NvuCHTt7f,deu,"Translate ""Ich setze meine Arbeit fort."" to English.",,8
833,55935gEnVks6d5pwpkPcfP,deu,"Translate ""Tom fährt mit dem Auto zur Arbeit."" to English.",,10
834,62XXodCNboB9Cyi11h9FbL,deu,"Translate ""Tom hat schon eine Arbeit gefunden."" to English.",,9
835,g2dXexhLZjaE28QsnLCfW,deu,"Translate ""Unsere Arbeit hört nie auf."" to English.",,8
836,797sy1iQXSt8BJYZq96yLR,deu,"Translate ""Arbeiten Sie mit Tom zusammen?"" to English.",,8
837,4dylAImdwEVa6pPjZkhMUo,deu,"Translate ""Ein Mensch muss arbeiten."" to English.",,7
838,63YBIHhkCW38OC9yqetsjl,deu,"Translate ""Er will nicht in einer Fabrik arbeiten."" to English.",,10
839,4YrjGF9DmAX6HVSsVxBnST,deu,"Translate ""Ich gab vor zu arbeiten."" to English.",,8
840,7NnuagJq9QP9YdCJJbnutO,deu,"Translate ""Ich war am Arbeiten."" to English.",,7
841,azUng1lvtHdaD9eXmHM7uQ,deu,"Translate ""Ich brauche nur einen Arbeiter."" to English.",,8
842,1GVHJpYzrqt9ya6Zp92WoT,nds,"Translate ""Sie sind wirklich ein fleißiger Arbeiter."" to English.",,9
843,pwS6KHkC5ya2O14CH4bSX,deu,"Translate ""Das ist der Computer, auf dem er seine Artikel schreibt."" to English.",,13
844,3EjA3fuWrzb9aKIdPjGK2z,deu,"Translate ""Der Artikel war in französischer Sprache verfasst."" to English.",,10
845,Gd2rwRvZBJ8xQakCjGMDl,deu,"Translate ""Haben Sie diesen Artikel gelesen?"" to English.",,8
846,9FKxB1Z1sa689zUnfxMo3B,deu,"Translate ""Habt ihr diesen Artikel gelesen?"" to English.",,8
847,2VtkZeTFX3L9FLJIwep6bI,deu,"Translate ""Ich kann diesen Artikel nicht ins Arabische übersetzen."" to English.",,11
848,3whOtWugTQD9PEYssWCra7,deu,"Translate ""Ich beschloss, Arzt zu werden."" to English.",,8
849,863cPdHAwxM6jrpWi7Kx5h,deu,"Translate ""Wo ist der Arzt?"" to English.",,7
850,8yDGFEId9zC9J5b6jWEiXY,deu,"Translate ""Diese Aufgabe ist zu viel für ihn."" to English.",,10
851,79cfNQucdqR9l6Lm4XhKpQ,deu,"Translate ""Ich konnte die Aufgabe leicht lösen."" to English.",,9
852,738Cr1GCEP49iUi8HnYTQ3,deu,"Translate ""Ich will nicht aufgeben."" to English.",,7
853,2pXzMgU5xZH9y5Mlr1tFS4,nds,"Translate ""Die Zeitung hat eine große Auflage."" to English.",,9
854,7XOLcCX9H5W8l8aETO1gGX,deu,"Translate ""Es gibt keine Fehler in deinem Aufsatz."" to English.",,10
855,62HICEhR1sK6bT8gDgzzkI,deu,"Translate ""Der alte Mann ist auf einem Auge blind."" to English.",,11
856,1dxt2rW5BSQ8iLFIvlsExo,deu,"Translate ""Ich habe Sand im Auge."" to English.",,8
857,aJsqPyUd9InaAF4SOj0z0B,deu,"Translate ""Was das Auge nicht sieht, bekümmert das Herz nicht."" to English.",,12
