taskId,aspectId
0,2z7BrRib1zJ6KE4gVWmz6U_BT,8980
1,xzal4tLN8F8Fj8Wu1XM50_BT,9787
2,7Xx3NrODBh69k4BwlIa1jb_BT,8980
3,4hMWK3Mhj5haBKImBjmN0f_BT,12472
4,4hMWK3Mhj5haBKImBjmN0f_BT,12479
5,3yYlsxQhH0J7pxKErqFl0l_BT,12472
6,afIm0RTT4KK6XTC3ya0g1T_BT,20
7,afIm0RTT4KK6XTC3ya0g1T_BT,12986
8,4T0hwZUZQEJ5VsGnDhcE5J_BT,124
9,4T0hwZUZQEJ5VsGnDhcE5J_BT,15321
10,1Eoip711J8H71DVAO8BtMI_BT,21
11,1Eoip711J8H71DVAO8BtMI_BT,20
12,1Eoip711J8H71DVAO8BtMI_BT,4
13,1Eoip711J8H71DVAO8BtMI_BT,44
14,1Eoip711J8H71DVAO8BtMI_BT,12935
15,1Eoip711J8H71DVAO8BtMI_BT,12986
16,3rYsJTZ4C6R7DcaE4A48GM_BT,4
17,3rYsJTZ4C6R7DcaE4A48GM_BT,20
18,3rYsJTZ4C6R7DcaE4A48GM_BT,21
19,3rYsJTZ4C6R7DcaE4A48GM_BT,44
20,3rYsJTZ4C6R7DcaE4A48GM_BT,12935
21,3rYsJTZ4C6R7DcaE4A48GM_BT,12986
22,81xdUMIFiyC7gTSwml1MTv_BT,82
23,81xdUMIFiyC7gTSwml1MTv_BT,14185
24,81xdUMIFiyC7gTSwml1MTv_BT,14303
25,7fE9sk0x2amalma0takBp5_BT,14185
26,7fE9sk0x2amalma0takBp5_BT,14303
27,7CUm7BcYBG79uI8VPMUKCo_BT,14185
28,7CUm7BcYBG79uI8VPMUKCo_BT,14303
29,5gih6z8lRbv5ZAPRSSpPBB_BT,174
30,6eVh0sUk73laFRNimbk7MC_BT,82
31,6eVh0sUk73laFRNimbk7MC_BT,84
32,6eVh0sUk73laFRNimbk7MC_BT,85
33,6eVh0sUk73laFRNimbk7MC_BT,14185
34,6eVh0sUk73laFRNimbk7MC_BT,14303
35,6eVh0sUk73laFRNimbk7MC_BT,16585
36,avYO5lPPpNR7MVAKdARpVK_BT,82
37,avYO5lPPpNR7MVAKdARpVK_BT,87
38,avYO5lPPpNR7MVAKdARpVK_BT,85
39,avYO5lPPpNR7MVAKdARpVK_BT,14185
40,avYO5lPPpNR7MVAKdARpVK_BT,14303
41,avYO5lPPpNR7MVAKdARpVK_BT,16624
42,avYO5lPPpNR7MVAKdARpVK_BT,16731
43,6tsg9mDSnNP9MSZAtBpQ08_BT,82
44,6tsg9mDSnNP9MSZAtBpQ08_BT,84
45,6tsg9mDSnNP9MSZAtBpQ08_BT,87
46,6tsg9mDSnNP9MSZAtBpQ08_BT,163
47,6tsg9mDSnNP9MSZAtBpQ08_BT,85
48,6tsg9mDSnNP9MSZAtBpQ08_BT,16550
49,6tsg9mDSnNP9MSZAtBpQ08_BT,16585
50,6tsg9mDSnNP9MSZAtBpQ08_BT,16624
51,vO9lrQFWnd6rddJnOBDkJ_BT,82
52,vO9lrQFWnd6rddJnOBDkJ_BT,84
53,vO9lrQFWnd6rddJnOBDkJ_BT,85
54,vO9lrQFWnd6rddJnOBDkJ_BT,163
55,vO9lrQFWnd6rddJnOBDkJ_BT,87
56,vO9lrQFWnd6rddJnOBDkJ_BT,14185
57,vO9lrQFWnd6rddJnOBDkJ_BT,14303
58,vO9lrQFWnd6rddJnOBDkJ_BT,16624
59,vO9lrQFWnd6rddJnOBDkJ_BT,16731
60,4zcsaIGJPKc5XQ9cX2N0vo_BT,1489
61,4zcsaIGJPKc5XQ9cX2N0vo_BT,1490
62,4zcsaIGJPKc5XQ9cX2N0vo_BT,1491
63,4zcsaIGJPKc5XQ9cX2N0vo_BT,1492
64,4zcsaIGJPKc5XQ9cX2N0vo_BT,49047
65,XZZNGpJJoP9NfrRPSfR8w_BT,1498
66,XZZNGpJJoP9NfrRPSfR8w_BT,1489
67,XZZNGpJJoP9NfrRPSfR8w_BT,1490
68,XZZNGpJJoP9NfrRPSfR8w_BT,1491
69,XZZNGpJJoP9NfrRPSfR8w_BT,1492
70,XZZNGpJJoP9NfrRPSfR8w_BT,49014
71,XZZNGpJJoP9NfrRPSfR8w_BT,49047
72,XZZNGpJJoP9NfrRPSfR8w_BT,49253
73,9fRq8FcU04z6cylMYhxZpp_BT,1498
74,9fRq8FcU04z6cylMYhxZpp_BT,1489
75,9fRq8FcU04z6cylMYhxZpp_BT,1490
76,9fRq8FcU04z6cylMYhxZpp_BT,1491
