taskId,aspectId
18,2z7BrRib1zJ6KE4gVWmz6U_RI,8980
81,xzal4tLN8F8Fj8Wu1XM50_RI,9787
92,7Xx3NrODBh69k4BwlIa1jb_RI,8980
120,4hMWK3Mhj5haBKImBjmN0f_RI,12472
121,4hMWK3Mhj5haBKImBjmN0f_RI,12479
132,3yYlsxQhH0J7pxKErqFl0l_RI,12472
135,afIm0RTT4KK6XTC3ya0g1T_RI,20
142,afIm0RTT4KK6XTC3ya0g1T_RI,12986
200,4T0hwZUZQEJ5VsGnDhcE5J_RI,124
203,4T0hwZUZQEJ5VsGnDhcE5J_RI,15321
257,1Eoip711J8H71DVAO8BtMI_RI,21
259,1Eoip711J8H71DVAO8BtMI_RI,20
260,1Eoip711J8H71DVAO8BtMI_RI,4
261,1Eoip711J8H71DVAO8BtMI_RI,44
269,1Eoip711J8H71DVAO8BtMI_RI,12935
275,1Eoip711J8H71DVAO8BtMI_RI,12986
307,3rYsJTZ4C6R7DcaE4A48GM_RI,4
308,3rYsJTZ4C6R7DcaE4A48GM_RI,20
309,3rYsJTZ4C6R7DcaE4A48GM_RI,21
311,3rYsJTZ4C6R7DcaE4A48GM_RI,44
320,3rYsJTZ4C6R7DcaE4A48GM_RI,12935
327,3rYsJTZ4C6R7DcaE4A48GM_RI,12986
361,81xdUMIFiyC7gTSwml1MTv_RI,82
365,81xdUMIFiyC7gTSwml1MTv_RI,14185
372,81xdUMIFiyC7gTSwml1MTv_RI,14303
417,7fE9sk0x2amalma0takBp5_RI,14185
424,7fE9sk0x2amalma0takBp5_RI,14303
473,7CUm7BcYBG79uI8VPMUKCo_RI,14185
480,7CUm7BcYBG79uI8VPMUKCo_RI,14303
543,5gih6z8lRbv5ZAPRSSpPBB_RI,174
595,6eVh0sUk73laFRNimbk7MC_RI,82
596,6eVh0sUk73laFRNimbk7MC_RI,84
599,6eVh0sUk73laFRNimbk7MC_RI,85
602,6eVh0sUk73laFRNimbk7MC_RI,14185
609,6eVh0sUk73laFRNimbk7MC_RI,14303
642,6eVh0sUk73laFRNimbk7MC_RI,16585
651,avYO5lPPpNR7MVAKdARpVK_RI,82
652,avYO5lPPpNR7MVAKdARpVK_RI,87
654,avYO5lPPpNR7MVAKdARpVK_RI,85
658,avYO5lPPpNR7MVAKdARpVK_RI,14185
665,avYO5lPPpNR7MVAKdARpVK_RI,14303
699,avYO5lPPpNR7MVAKdARpVK_RI,16624
705,avYO5lPPpNR7MVAKdARpVK_RI,16731
710,6tsg9mDSnNP9MSZAtBpQ08_RI,82
711,6tsg9mDSnNP9MSZAtBpQ08_RI,84
712,6tsg9mDSnNP9MSZAtBpQ08_RI,87
713,6tsg9mDSnNP9MSZAtBpQ08_RI,163
714,6tsg9mDSnNP9MSZAtBpQ08_RI,85
716,6tsg9mDSnNP9MSZAtBpQ08_RI,16550
719,6tsg9mDSnNP9MSZAtBpQ08_RI,16585
722,6tsg9mDSnNP9MSZAtBpQ08_RI,16624
728,vO9lrQFWnd6rddJnOBDkJ_RI,82
729,vO9lrQFWnd6rddJnOBDkJ_RI,84
730,vO9lrQFWnd6rddJnOBDkJ_RI,85
731,vO9lrQFWnd6rddJnOBDkJ_RI,163
732,vO9lrQFWnd6rddJnOBDkJ_RI,87
735,vO9lrQFWnd6rddJnOBDkJ_RI,14185
742,vO9lrQFWnd6rddJnOBDkJ_RI,14303
779,vO9lrQFWnd6rddJnOBDkJ_RI,16624
784,vO9lrQFWnd6rddJnOBDkJ_RI,16731
787,4zcsaIGJPKc5XQ9cX2N0vo_RI,1489
788,4zcsaIGJPKc5XQ9cX2N0vo_RI,1490
789,4zcsaIGJPKc5XQ9cX2N0vo_RI,1491
790,4zcsaIGJPKc5XQ9cX2N0vo_RI,1492
799,4zcsaIGJPKc5XQ9cX2N0vo_RI,49047
833,XZZNGpJJoP9NfrRPSfR8w_RI,1498
834,XZZNGpJJoP9NfrRPSfR8w_RI,1489
835,XZZNGpJJoP9NfrRPSfR8w_RI,1490
836,XZZNGpJJoP9NfrRPSfR8w_RI,1491
837,XZZNGpJJoP9NfrRPSfR8w_RI,1492
840,XZZNGpJJoP9NfrRPSfR8w_RI,49014
846,XZZNGpJJoP9NfrRPSfR8w_RI,49047
878,XZZNGpJJoP9NfrRPSfR8w_RI,49253
881,9fRq8FcU04z6cylMYhxZpp_RI,1498
882,9fRq8FcU04z6cylMYhxZpp_RI,1489
883,9fRq8FcU04z6cylMYhxZpp_RI,1490
884,9fRq8FcU04z6cylMYhxZpp_RI,1491
885,9fRq8FcU04z6cylMYhxZpp_RI,1492
888,9fRq8FcU04z6cylMYhxZpp_RI,49014
894,9fRq8FcU04z6cylMYhxZpp_RI,49047
927,9fRq8FcU04z6cylMYhxZpp_RI,49253
930,6tKWn39JVqC6nMBv9vQoGD_RI,1498
931,6tKWn39JVqC6nMBv9vQoGD_RI,1489
932,6tKWn39JVqC6nMBv9vQoGD_RI,1490
933,6tKWn39JVqC6nMBv9vQoGD_RI,1491
934,6tKWn39JVqC6nMBv9vQoGD_RI,1492
937,6tKWn39JVqC6nMBv9vQoGD_RI,49014
943,6tKWn39JVqC6nMBv9vQoGD_RI,49047
976,6tKWn39JVqC6nMBv9vQoGD_RI,49253
981,97MdgAui4Mk7m6cOU11GNV_RI,82
982,97MdgAui4Mk7m6cOU11GNV_RI,84
983,97MdgAui4Mk7m6cOU11GNV_RI,85
984,97MdgAui4Mk7m6cOU11GNV_RI,87
985,97MdgAui4Mk7m6cOU11GNV_RI,163
986,97MdgAui4Mk7m6cOU11GNV_RI,6736
990,97MdgAui4Mk7m6cOU11GNV_RI,14185
997,97MdgAui4Mk7m6cOU11GNV_RI,14303
1029,97MdgAui4Mk7m6cOU11GNV_RI,16550
1032,97MdgAui4Mk7m6cOU11GNV_RI,16585
1037,97MdgAui4Mk7m6cOU11GNV_RI,16664
1042,97MdgAui4Mk7m6cOU11GNV_RI,16749
1044,97MdgAui4Mk7m6cOU11GNV_RI,66630
1049,7bJSSnEH7oC9X4OLEOBOHF_RI,82
1050,7bJSSnEH7oC9X4OLEOBOHF_RI,84
1051,7bJSSnEH7oC9X4OLEOBOHF_RI,85
1052,7bJSSnEH7oC9X4OLEOBOHF_RI,87
1053,7bJSSnEH7oC9X4OLEOBOHF_RI,163
1054,7bJSSnEH7oC9X4OLEOBOHF_RI,6736
1058,7bJSSnEH7oC9X4OLEOBOHF_RI,14185
1065,7bJSSnEH7oC9X4OLEOBOHF_RI,14303
1097,7bJSSnEH7oC9X4OLEOBOHF_RI,16550
1100,7bJSSnEH7oC9X4OLEOBOHF_RI,16585
1105,7bJSSnEH7oC9X4OLEOBOHF_RI,16664
1109,7bJSSnEH7oC9X4OLEOBOHF_RI,16749
1111,7bJSSnEH7oC9X4OLEOBOHF_RI,66630
1116,7FFk3hJ8VXl5PxDmcM1yg6_RI,82
1117,7FFk3hJ8VXl5PxDmcM1yg6_RI,84
1118,7FFk3hJ8VXl5PxDmcM1yg6_RI,85
1119,7FFk3hJ8VXl5PxDmcM1yg6_RI,87
1120,7FFk3hJ8VXl5PxDmcM1yg6_RI,163
1121,7FFk3hJ8VXl5PxDmcM1yg6_RI,6736
1125,7FFk3hJ8VXl5PxDmcM1yg6_RI,14185
1132,7FFk3hJ8VXl5PxDmcM1yg6_RI,14303
1164,7FFk3hJ8VXl5PxDmcM1yg6_RI,16550
1167,7FFk3hJ8VXl5PxDmcM1yg6_RI,16585
1172,7FFk3hJ8VXl5PxDmcM1yg6_RI,16664
