aspectId,description,type,groupId,categoryId
0,8980,Die Antwort enthält die gesuchten Stichworte.,CONCEPT,,
1,9787,"In der Antwort werden die Konzepte genannt, nach denen wir gesucht haben.",CONCEPT,,
2,12472,Die Antwort enthält die gesuchten Stichworte: {{correctStatements}},CONCEPT,55249.0,
3,12479,"Genau! Sie haben das Hauptkonzept verstanden.
",CONCEPT,55249.0,
4,20,Die Antwort enthält keine Rechtschreibfehler.,CONCEPT,152.0,
5,12986,Die Antwort enthält keine Rechtschreibfehler.,CONCEPT,152.0,
6,124,The learner is able to use spelling strategies correctly.,CONCEPT,55114.0,
7,15321,Can correctly spell written text.,CONCEPT,2508.0,
8,21,"Der Antwortsatz enthält alle Strukturelemente (Substantiv, Verb, Artikel usw.).",CONCEPT,111.0,
9,4,Die Antwort wurde in einem Satz gegeben. ,CONCEPT,674.0,
10,44,Ausführliche Anweisungen hinzufügen,CONCEPT,,
11,12935,"Der Antwortsatz enthält alle Strukturelemente (Substantiv, Verb, Artikel usw.).",CONCEPT,111.0,
12,82,Die Antwort wurde in einem Satz gegeben.,CONCEPT,2412.0,3.0
13,14185,"Die lernende Person ist in der Lage, einen korrekten Satz zu schreiben.",CONCEPT,,
14,14303,"Die lernende Person ist in der Lage, Rechtschreibstrategien korrekt anzuwenden.",CONCEPT,,
15,174,"Die lernende Person ist in der Lage, Rechtschreibstrategien korrekt anzuwenden.",CONCEPT,55146.0,2.0
16,84,Die Antwort wurde in der gewünschten Zeitform gegeben: Präsens.,CONCEPT,3871.0,1.0
17,85,In der gegebenen Antwort stimmt die Verbform mit dem Subjekt (in Person und Zahl) überein.,CONCEPT,4017.0,1.0
18,16585,Die Antwort wurde in der gewünschten Zeitform gegeben: Präsens.,CONCEPT,3871.0,
19,87,Die Antwort verwendet die in der Aufgabenbeschreibung angegebenen Wörter.,CONCEPT,3910.0,3.0
20,16624,Die Antwort verwendet die in der Aufgabenbeschreibung angegebenen Wörter.,CONCEPT,3910.0,
21,16731,In der gegebenen Antwort stimmt die Verbform mit dem Subjekt (in Person und Zahl) überein.,CONCEPT,4017.0,
22,163,Die Antwort wurde im geforderten Genus Verbi formuliert: Passiv,CONCEPT,3835.0,1.0
23,16550,Die Antwort wurde im geforderten Genus Verbi formuliert: Passiv,CONCEPT,3835.0,
24,1489,The ability to use the right input format.,CONCEPT,36094.0,
25,1490,The ability to correctly match the verb to the subject.,CONCEPT,36107.0,
26,1491,The ability to answer in the right language.,CONCEPT,,
27,1492,Can correctly spell written text.,CONCEPT,36125.0,
28,49047,Can correctly spell written text.,CONCEPT,36125.0,
29,1498,The ability to convert text from one language to another.,CONCEPT,36344.0,
30,49014,The ability to correctly match the verb to the subject.,CONCEPT,36107.0,
31,49253,The ability to convert text from one language to another.,CONCEPT,36344.0,
32,6736,Die Antwort wurde in der gewünschten Form gegeben: Partizip 2,CONCEPT,53248.0,3.0
33,16664,Die Antwort verwendet die in der Aufgabenbeschreibung angegebenen Wörter.,CONCEPT,3910.0,
34,16749,In der gegebenen Antwort stimmt die Verbform mit dem Subjekt (in Person und Zahl) überein.,CONCEPT,4017.0,
35,66630,Die Antwort wurde in der gewünschten Form gegeben: Partizip 2,CONCEPT,53248.0,
36,7359,"Der Antwortsatz enthält alle Strukturelemente (Substantiv, Verb, Artikel usw.).",CONCEPT,54616.0,
37,7360,Es wurden keine Rechtschreibfehler gemacht.,CONCEPT,54439.0,
38,67563,Es wurden keine Rechtschreibfehler gemacht.,CONCEPT,54439.0,
39,67735,"Der Antwortsatz enthält alle Strukturelemente (Substantiv, Verb, Artikel usw.).",CONCEPT,54616.0,
40,94,"Es wurde erkannt, dass das Gedicht 1950 entstand. ",CONCEPT,2436.0,5.0
41,15190,"Es wurde erkannt, dass das Gedicht 1950 entstand. ",CONCEPT,2436.0,
42,7438,,CONCEPT,,
43,110000,"Die lernende Person ist in der Lage, den Inhalt korrekt anzuwenden.",CONCEPT,54898.0,
44,68964,"Die lernende Person ist in der Lage, einen korrekten Satz zu schreiben. ",CONCEPT,55149.0,1.0
45,110011,Die/Der Lernende hat das vorgegebene Verb verwendet.,CONCEPT,63058.0,3.0
46,69525,Der Lernende hat das korrekte Verb verwendet.,CONCEPT,,
47,110004,"Der Lernende ist in der Lage, das Modalverb richtig zu konjugieren.",CONCEPT,54995.0,1.0
48,92070,"Der/Die Lernende hat das Verständnis, dass der Dampfdruck der Flüssigkeit gleich dem Umgebungsdruck ist. Daher fällt der Siedepunkt mit fallendem Umgebungsdruck, da der Siedepunkt direkt mit dem Dampfdruck der Flüssigkeit zusammenhängt.",CONCEPT,55175.0,5.0
49,92494,"Der/Die Lernende hat verstanden, dass es bei bei der Verringerung des Siedepunkts einer Flüssigkeit um das Senken des Umgebungsdruck geht.",CONCEPT,55243.0,5.0
50,184384,Die/Der Lernende gibt keine leere Antwort ab.,CONCEPT,76340.0,3.0
51,184389,Die/Der Lernende hat keine Rechtschreib- oder Grammatikfehler gemacht.,CONCEPT,76253.0,7.0
52,184394,Die/Der Lernende verwendet angemessene Sprache.,CONCEPT,135883.0,3.0
53,184392,Die/Der Lernende gibt eine Antwort aus ganzen Wörtern ab.,CONCEPT,135881.0,3.0
54,184390,Die/Der Lernende gibt eine zum Thema relevante Antwort.,CONCEPT,135879.0,3.0
55,184429,Die/Der Lernende erklärt in der Antwort.,CONCEPT,135947.0,3.0
56,184395,Die/Der Lernende begründet in der Antwort.,CONCEPT,135885.0,3.0
57,198021,Die/Der Lernende nennt in der Antwort.,CONCEPT,147697.0,3.0
58,198287,"Die/Der Lernende kann das Teilchenmodell verwenden, um verschiedene Konzepte zu erklären.",CONCEPT,147921.0,8.0
59,184549,Die/Der Lernende beurteilt in der Antwort.,CONCEPT,136052.0,3.0
60,198533,Die/Der Lernende kann die individuellen Bedürfnisse und Anforderungen verschiedener Personen analysieren,CONCEPT,148128.0,8.0
61,198537,Die/Der Lernende kann die Kosten-Nutzen-Aspekte verschiedener Fahrzeugtypen analysieren.,CONCEPT,148134.0,8.0
62,198541,Die/Der Lernende versteht die Umweltauswirkungen verschiedener Antriebsarten.,CONCEPT,148139.0,8.0
63,198648,Die/Der Lernende vervollstaendigt einen Satz in der Antwort.,CONCEPT,148230.0,3.0
64,198353,Die/Der Lernende antwortet in einer Aufzählung.,CONCEPT,147977.0,3.0
65,199038,Die/Der Lernende kann Geschwindigkeiten umrechnen.,CONCEPT,148547.0,8.0
66,214521,Die/Der Lernende kann durch mathematisches Berechnen eine Lösung finden,CONCEPT,158856.0,3.0
67,208858,Die/Der Lernende kann einen Lösungsweg aufzeigen,CONCEPT,158755.0,3.0
68,199018,Die/Der Lernende kennt verschiedene Bewegungsarten,CONCEPT,148531.0,8.0
69,193514,Die/Der Lernende beschreibt in der Antwort.,CONCEPT,144222.0,3.0
70,199535,Die/Der Lernende versteht das Konzept des elektrischen Widerstands.,CONCEPT,148935.0,8.0
71,184531,Die/Der Lernende erläutert in der Antwort.,CONCEPT,136040.0,3.0
72,184374,"Die/Der Lernende versteht, dass Magnete aus geordneten Elementarmagneten bestehen.",CONCEPT,135865.0,8.0
73,184376,"Die/Der Lernende versteht, dass Zerteilungen des Magneten die grundlegende magnetische Eigenschaft nicht beeinflussen.",CONCEPT,135867.0,8.0
74,184378,"Die/Der Lernende versteht, dass ein Magnet mit nur einem Nordpol oder nur einem Südpol nicht existieren kann, da die magnetische Polarität immer in Paaren auftritt.",CONCEPT,135868.0,8.0
75,198017,Die/Der Lernende kann das Konzept der additiven Farbmischung verstehen.,CONCEPT,147692.0,8.0
76,184919,"Die/Der Lernende versteht, dass der Kontakt mit elektrischen Systemen einen geschlossenen Stromkreis bilden kann.",CONCEPT,136341.0,8.0
77,184537,Die/Der Lernende notiert die Antwort.,CONCEPT,136043.0,3.0
78,198928,Die/Der Lernende kennt die Merkmale eines Hebels.,CONCEPT,148457.0,8.0
79,199366,"Die/Der Lernende kann erklären, was eine Aussage über die Beschleunigungswerte eines Fahrzeugs bedeutet.",CONCEPT,148799.0,8.0
80,188271,"Die/Der Lernende ist in der Lage, Elektrogeräte wie Glühlampen und Föhne aufzuzählen.",CONCEPT,139705.0,8.0
81,193310,Die/Der Lernende nennt drei Geräte in der Antwort.,CONCEPT,143980.0,3.0
82,203870,Die/Der Lernende verwendet angemessene Sprache.,CONCEPT,151846.0,3.0
83,203872,Die/Der Lernende gibt eine zum Thema relevante Antwort.,CONCEPT,151847.0,3.0
84,203874,Die/Der Lernende gibt keine leere Antwort ab.,CONCEPT,151848.0,3.0
85,203876,Die/Der Lernende gibt eine Antwort aus ganzen Wörtern ab.,CONCEPT,151849.0,3.0
86,215871,"Die/Der Lernende versteht, wie die Kontrolle des Körpers durch die getrennten Hirnhemisphären erfolgt.",CONCEPT,159789.0,8.0
87,198605,Die/Der Lernende kennt die Unterschiede zwischen festen und losen Rollen,CONCEPT,148195.0,8.0
88,199598,"Die/Der Lernende versteht, kann die Formel R = U x I richtig anwenden.",CONCEPT,155163.0,8.0
89,199090,"Die/Der Lernende erkennt die Gefahren, die durch das Fehleinschätzen von Geschwindigkeiten im Straßenverkehr entstehen können",CONCEPT,148586.0,8.0
90,186297,Die/Der Lernende gibt keine leere Antwort ab.,CONCEPT,138054.0,3.0
91,189788,Die/Der Lernende verwendet angemessene Sprache.,CONCEPT,141046.0,3.0
92,189782,Die/Der Lernende gibt eine Antwort aus ganzen Wörtern ab.,CONCEPT,141038.0,3.0
93,189780,Die/Der Lernende gibt eine zum Thema relevante Antwort.,CONCEPT,141035.0,3.0
94,189796,Die/Der Lernende begründet in der Antwort.,CONCEPT,141053.0,3.0
95,190194,Die/Der Lernende erklärt in der Antwort.,CONCEPT,141490.0,3.0
96,224122,Die/Der Lernende gibt keine leere Antwort ab.,CONCEPT,164422.0,675.0
97,224123,Die/Der Lernende verwendet angemessene Sprache.,CONCEPT,164423.0,677.0
98,224125,Die/Der Lernende gibt eine Antwort aus ganzen Wörtern ab.,CONCEPT,164424.0,676.0
99,224127,Die/Der Lernende gibt eine zum Thema relevante Antwort.,CONCEPT,164425.0,3.0
100,276966,Die/Der Lernende gibt keine leere Antwort ab.,CONCEPT,234443.0,3.0
101,276968,Die/Der Lernende verwendet angemessene Sprache.,CONCEPT,234444.0,3.0
102,276970,Die/Der Lernende gibt eine Antwort aus ganzen Wörtern ab.,CONCEPT,234445.0,3.0
103,276972,Die/Der Lernende wendet die Regeln der Rechtschreibung an.,CONCEPT,234446.0,7.0
104,265155,The learner does not give an empty answer.,CONCEPT,212335.0,3.0
105,265157,The learner provides a valid mathematical expression.,CONCEPT,212336.0,756.0
106,265173,The learner applies variables correctly.,CONCEPT,212364.0,756.0
107,265175,The learner simplifies according to the rules.,CONCEPT,212365.0,756.0
108,265161,The learner correctly takes into account the signs.,CONCEPT,212338.0,756.0
109,277067,Das Verb im Indikativ im Hauptsatz ist an das Subjekt angeglichen.,CONCEPT,234650.0,16.0
110,224682,Die Antwort entspricht der Aufgabenstellung.,CONCEPT,165207.0,8.0
111,223149,Die Struktur der Antwort stimmt mit der Musterlösung überein.,CONCEPT,70635.0,15.0
112,111251,Die/Der Lernende kann das Objekt des Aktivsatzes in das Subjekt eines Passivsatzes umformen.,CONCEPT,73522.0,11.0
113,111406,Die/Der Lernende kann das Hilfsverb „werden“ in die richtige Form setzen.,CONCEPT,73618.0,11.0
114,114929,Die/Der Lernende kann das Hilfsverb „sein“ ins Präsens setzen.,CONCEPT,76832.0,10.0
115,224672,Die Antwort hat einen Inhalt.,CONCEPT,165111.0,3.0
116,224652,Die Antwort ist im Rahmen der Aufgabenstellung.,CONCEPT,70826.0,13.0
117,224680,Die Antwort enthält keine Rechtschreibfehler.,CONCEPT,55135.0,7.0
118,224683,Die/Der Lernende hat keine Satzintegritätsfehler gemacht.,CONCEPT,76757.0,7.0
119,109986,Die/Der Lernende kann Modalverben ins Präsens setzen.,CONCEPT,72550.0,10.0
120,113590,Die/Der Lernende kann das Partizip II schwacher Verben bilden.,CONCEPT,74980.0,11.0
121,110913,Die/Der Lernende kann das Hilfsverb „werden“ im Passiv ins Präsens setzen.,CONCEPT,73422.0,10.0
122,111401,"Die/Der Lernende kann das Hilfsverb ""werden"" im Passiv ins Präteritum setzen.",CONCEPT,73616.0,10.0
123,109994,Die/Der Lernende kann das Hilfsverb „werden“ im Passiv in den Infinitiv setzen.,CONCEPT,72554.0,11.0
124,111415,Die/Der Lernende kann Modalverben ins Präteritum setzen.,CONCEPT,73637.0,10.0
125,92482,"Der/Die Lernende hat verstanden, dass die Flüssigkeit beim Verdampfen vom Flüssigen in den Gasförmigen/Dampfförmigen Zustand wechselt.",CONCEPT,55240.0,5.0
