index,taskId,language,description,context,topic_id,word_count
0,660,9Aa4h4yosMb9oAglIYVbMr,DE,Translate into German: Він народився у Швейцарії.,,,7
1,719,2T3rZTRBlAv94jV8YNcbgq,DE,"Brief an eine Zeitung Schreiben Sie eine Reaktion auf diesen Artikel an die Zeitung (ungefähr 180 Wörter). Sagen Sie, - warum Sie schreiben - ob Schüler in Ihrem Heimatland eine Schuluniform tragen - welche Vorteile oder Nachteile das Tragen einer Schuluniform Ihrer Meinung nach hat. | remark: Schulkleidung statt Markenwahn Schüler in Uniform? Bayerns Ministerpräsident, die Bundesbildungsministerin und die Bundesjustizministerin sprachen sich für die Schuluniform aus. Die Bildungsministerin sagte gestern dazu, dass das Tragen einer Schuluniform zu begrüßen ist, wenn einheitliche Schulkleidung zur Identifizierung mit der Schule beiträgt und Symbol einer Gemeinschaft aller Schüler ist. ""Falls Schulkleidung darüber hinaus dem verbreiteten Markenwahn entgegenwirkt, umso besser.""",,,105
2,720,2z7BrRib1zJ6KE4gVWmz6U,DE,"Bericht Sie haben eine Radiosendung zum Thema Heiraten in Deutschland gehört. Am Schluss der Sendung wurden Zuhörer aus anderen Ländern aufgefordert, einen kurzen Bericht über das Thema Heirat in meinem Heimatland zu schreiben und an den Sender zu schicken. In der nächsten Sendung wird über die interessantesten Zuschriften berichtet. Schreiben Sie einen Bericht über das genannte Thema (etwa 200 Wörter).",,,60
3,740,a0s1XNwpeGQ9pLGnqdkhni,DE,"Tranlate: ""I love my dog""",,,5
4,765,8LIIlBLXmue7RO4U5ou7gb,DE,Fassen Sie diese Pflichten anhand der Grafik in einem Satz zusammen.,,4576.0,11
5,766,26pzeDwUv0t8MVuLVj5JmB,DE,"Es kann vorkommen, dass eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche Angaben zum Kaufgegenstand macht oder wesentliche Informationen verschweigt. In diesem Fall kann die getäuschte Partei vom Vertrag zurücktreten.
Fassen Sie diese Regel mit einem Wenn-dann-Satz so kurz wie möglich zusammen:",,4576.0,47
6,809,8DqIXljQuGe9xQIEqI7WFp,DE,"Nenne möglichst viele Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kawai, 22.09.2018 Hallo Jens Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,,63
7,845,xzal4tLN8F8Fj8Wu1XM50,DE,"Die Festivalveranstalter verlagern den Anlass in eine grössere Halle ausserhalb der Stadt, die zwar ein bisschen teurer, jedoch doppelt so gross ist. Schildern Sie in Stichworten die Auswirkungen dieser Entscheidung auf folgende Anspruchsgruppen: Stadt",,4576.0,34
8,1033,4hMWK3Mhj5haBKImBjmN0f,DE,"In der Kolonne KO3 wird das Gemisch bei Atmosphärendruck getrennt. Beschreiben Sie allgemein den Vorgang, der während des Verfahrens in der Kolonne KO3 abläuft. Antworten Sie in einem Satz.",,,29
9,1034,3yYlsxQhH0J7pxKErqFl0l,DE,Die Behälter der Teilanlage müssen im Wechsel periodisch regeneriert werden. Beschreiben Sie den Regenerationsvorgang. Antworten Sie in einem Satz.,,,19
10,1105,afIm0RTT4KK6XTC3ya0g1T,DE,"Nenne die drei Errungenschaften, die durch den Zug der Marktweiber erreicht wurden.",,5289.0,12
11,1113,1Eoip711J8H71DVAO8BtMI,DE,"Erkläre in eigenen Worten, warum rund 1.500 Schafe vorzeitig ins Tal gebracht wurden.",,5290.0,13
12,1114,3rYsJTZ4C6R7DcaE4A48GM,DE,"Beschreibe in eigenen Worten, warum die EU akzeptiert, dass es in Schweden wolfsfreie Zonen durch Bejagung von Wölfen gibt.",,5290.0,19
13,1116,81xdUMIFiyC7gTSwml1MTv,DE,Was ist ein Kennzeichen der Erlebnislyrik? Antworten Sie in einem Satz.,,5350.0,11
14,1117,7fE9sk0x2amalma0takBp5,DE,Welches Vorgehen planen Sie für den Schlussteil des Interpretationsaufsatzes? Nennen Sie die wichtigsten Schritte.,,5349.0,14
15,1124,790yfzUMFlJ8eXYT7OtUHW,DE,Schreiben Sie den Satz im Passiv Präsens. Der Termin – intensiv vorbereiten – vom Kollegen.,,,15
16,1129,5gih6z8lRbv5ZAPRSSpPBB,DE,"Nenne fünf Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kauai , 22.09.2018 Hallo Jens Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,,63
17,1132,6eVh0sUk73laFRNimbk7MC,DE,Mache aus den zwei Sätzen einen Relativsatz. Ich arbeite gern mit dem Laptop. Den Laptop habe ich letzte Woche bekommen.,,5357.0,20
18,1133,avYO5lPPpNR7MVAKdARpVK,DE,Was war zuerst? Schreibe einen Satz mit nachdem im Plusquamperfekt. eine neue Wohnung finden – die Helfer bestellen – nachdem,,5357.0,20
19,1134,6tsg9mDSnNP9MSZAtBpQ08,DE,Schreibe den Satz im Passiv Präsens. Der Termin – intensiv vorbereiten – vom Kollegen.,,5357.0,14
20,1135,vO9lrQFWnd6rddJnOBDkJ,DE,Ergänze im Passiv Präsens. packen: Die Koffer,,5357.0,7
21,1374,4zcsaIGJPKc5XQ9cX2N0vo,DE,"Translate ""He loves me"" to german",,,6
22,1375,XZZNGpJJoP9NfrRPSfR8w,DE,"Translate ""He loves me"" to german:",,,6
23,1378,9fRq8FcU04z6cylMYhxZpp,DE,"Translate ""He loves me"" to german:",,,6
24,1379,6tKWn39JVqC6nMBv9vQoGD,DE,"Translate ""He loves me"" to german:",,,6
25,1809,7bJSSnEH7oC9X4OLEOBOHF,DE,Ergänze im Passiv Präsens. empfehlen: Das Restaurant,,5357.0,7
26,1810,7FFk3hJ8VXl5PxDmcM1yg6,DE,Schreiben sie den Satz im Passiv Präsens. In den meisten Haushalten trennt man Abfall.,,5357.0,14
27,1811,1mfdXT4GupD5I8EgTdLjnb,DE,Schreiben sie den Satz im Passiv Präsens. In Bayern trinkt man viel Bier.,,5357.0,13
28,1812,3nyPPFNdnq3aWkfdyyblYZ,DE,War wird hier gemacht? Schreiben Sie im Passiv Präsens: der Kaffee - servieren,,5357.0,13
29,1813,6jck1jG2yALa91FNC2Avae,DE,War wird hier gemacht? Schreiben Sie im Passiv Präsens: der Ordner - abholen,,5357.0,13
30,1814,3DSHS6PDsDJ6jCx4ZaYAkq,DE,Ordnen Sie den Satz und schreiben Sie im Passiv Präsens. in Koffer und Taschen - Die Kleidung - wird - eingepackt,,5357.0,21
31,1815,3h77kJLwUzk9jnm3I5I72t,DE,Ordnen Sie den Satz und schreiben Sie im Passiv Präsens. wird - abgestellt - Der Kühlschrank,,5357.0,16
32,1816,acRRmel9dq79Mz98xPSL7U,DE,Wer macht was? Schreiben Sie den Satz dann im Passiv Präsens. oft untersuchen: die Ärztin - das Kind,,5357.0,18
33,1817,5h3g4hte7GG97F5Dc8VSfx,DE,Wer macht was? Schreiben Sie den Satz dann im Passiv Präsens. empfehlen: die Ärztin - das Medikament,,5357.0,17
34,2056,WQpEgyLgi089ljEf8PuJw,DE,"Walter (28) ist Buchhalter Debitoren bei der Generaldirektion SBB in Bern. Nennen Sie einige Aufgaben sowie mögliche Kompetenzen und Verantwortung seiner Stelle. ----- Taskbase Kommentar: Bei der folgenden Aufgabe handelt es sich um eine offene Aufgabe. Für die Aufgabe war keine Musterlösung hinterlegt. Taskbase hat die Aufgabe im besten Wissen, mit den vorhandenen Informationen aufgesetzt. Da keine Musterlösung vorhanden war ist es möglich, dass manche Antworten gemäss der Einschätzung von hep fehlen. Bei einer Zusammenarbeit würden diese didaktischen Diskussionen passieren. Der Feedbacktext soll dem Lernenden einen Hinweis geben, was eine korrekte Antwort sein könnte. Der Feedbacktext enthält keine Musterlösung.",,,99
35,2057,aqFM7iL1gxE8Nl9d5EwMZ7,DE,"Wie nennt man diese Variante der Organisation? ----- Taskbase Kommentar: Bei dieser Aufgabe handelt es sich um eine Cloze Aufgabe, die mit einem Wort beantwortet werden kann. Für die Aufgabe war eine Musterlösung vorhanden, anhand welcher die Aufgabe aufgesetzt wurde. Das Feedback gibt dem Lernenden einen Hinweis auf die richtige Lösung, enthält die Musterlösung aber nicht.",,,56
36,2058,5CFVvAUF1ql5IyB56TENAa,DE,"Warum wurde wohl diese Organisation gewählt? ----- Taskbase Kommentar: Bei dieser Aufgabe handelt es sich um eine offene Aufgabe. Für die Aufgabe war eine Musterlösung vorhanden, anhand welcher die Aufgabe aufgesetzt wurde. Das Feedback gibt dem Lernenden einen Hinweis auf die richtige Lösung, enthält die Musterlösung aber nicht. Als Feedback ist ebenfalls hinterlegt, wenn der Lernende Grammatik- oder Rechtschreibfehler macht. Dies liegt allerdings in der Hoheit von hep und kann individuell auf eure didaktischen Anforderungen angepasst werden.",,,77
37,2059,3OSeZ6O83us8GUTd4pseaY,DE,"Wie sind die Abteilungen organisiert? ----- Taskbase Kommentar: Bei dieser Aufgabe handelt es sich um eine offene Aufgabe. Für die Aufgabe war eine Musterlösung vorhanden, anhand welcher die Aufgabe aufgesetzt wurde. Das Feedback gibt dem Lernenden einen Hinweis auf die richtige Lösung, enthält die Musterlösung aber nicht. Als Feedback ist ebenfalls hinterlegt, wenn der Lernende Grammatik- oder Rechtschreibfehler macht. Dies liegt allerdings in der Hoheit von hep und kann individuell auf eure didaktischen Anforderungen angepasst werden.",,,76
38,2111,1bE5K6vfUmkaLCVEop9wJM,DE,"Formuliere deine Antwort mithilfe mehrerer Stichwörter. Nenne mindestens ZWEI Dimensionen/Lebensbereiche einer Person, die ein „Tyrann, Täter“ beeinträchtigen kann.",,5425.0,18
39,2182,s8jsymMwfZ7Fn4A59dRSU,DE,"Beschreibe deinen Hund. Erwähne hierbei die Rasse, die Farbe, die Größe, das Alter und was dir sonst noch einfällt.",,,19
40,2184,4zCCSDzZTms68NuZVvcVct,DE,Schreiben den Satz im Präteritum. Gestern - erzählen - ich - eine Geschichte.,,,13
41,2195,2JIQtvavj715NCtZBhwpKb,DE,"Beschreibe in einem bis zwei Sätzen, welche Probleme im Umgang mit den Flüchtlingen deutlich werden.",,,15
42,2200,7Pv0gEhr6Xc8mgGlUvktVK,DE,Bilde den Satz im Konjunktiv 2. Florian - gerne ein neues Auto haben.,,,13
43,2213,SOMP2AgEC08C9MNNjovKJ,DE,"Formuliere einen Satz im Konjunktiv II, unter Verwendung der vorgegebenen Elemente. Du - mir heute Abend helfen können.",,,18
44,2214,aY3j1u00B739hp4ZmHLVHe,DE,"Formuliere einen Satz im Konjunktiv II, unter Verwendung der vorgegebenen Elemente. Brianna - gerne mehr Geld haben",,,17
45,2239,527EsNbu7Mva1FIzFhT8ad,DE,Warum radikalisierten sich Teile der britischen Frauenbewegung? Beschreibe in eigenen Worten.,,5289.0,11
46,2250,4Rg8Yp2yGgf7aV1xzYfiVy,DE,"Erkläre die Bildhaftigkeit des markierten Ausdrucks: Da Tonio daheim seine Zeit vertrödelte, beim Unterricht langsamen undabgewandten Geistes war und bei den Lehrern schlecht angeschrieben stand, fielen seine Noten ins Bodenlose , was seinen Vater, einen Kaufmann aus Bremen, sehr erzürnte. Der Mutter Tonios jedoch, die Consuelo mit Vornamen hieß und überhaupt so anders war als die übrigen Damen der Stadt, weil der Vater sie sich einstmals von ganz unten auf der Landkarte heraufgeholt hatte, waren die Zeugnisse einerlei… Thomas Mann: Tonio Kröger (leicht verändert)",,,84
47,2296,LiHAY4BB975PIk5fa7IuJ,DE,Schreibe den Satz Passiv Präsens. das Paket - sollen - bringen,,,11
48,2298,aYH2E7OnEXD6ZkBuRluem2,DE,Schreibe den Satz mit dem passenden Reflexivpronomen. ich - sich entspannen - im Wellness-Center,,,14
49,2402,7ZeBN122qi97fFI8wxKhDd,DE,Schreibe den Satz im Konjunktiv 2. Ich - gerne mit dir tanzen.,,,12
50,2533,86AW3SNqRiO8Kn6W4JHuHb,DE,"Formuliere deine Antwort mithilfe von zwei Stichwörtern. Die Ausübung der Rolle einer Führungskraft setzt zwei wesentliche Voraussetzungen voraus: Macht innerhalb des Unternehmens und Autorität. Wenn berufliche Kenntnisse, Fähigkeiten und Fertigkeiten als eine Form von Autorität bezeichnet werden, die mit Fachwissen gleichzusetzen ist, spricht man von:",,5378.0,45
51,2572,5SPLVjXcUlz6HVqntC2YVA,DE,Die Rektifikation in der Kolonne KO3 soll im Vakuum betrieben werden. Warum werden Rektifikationskolonnen allgemein im Vakuum betrieben? Antworten Sie in einem Satz.,,,23
52,2628,3d4uY78HXId8zpfktm3vyP,DE,"Formuliere deine Antwort in einem Satz. Ist es immer ratsam, einen Konflikt zu lösen?",,5425.0,14
53,2630,16l2jy1UQvB6cMkClaq9VU,DE,Formuliere deine Antwort in einem Satz. Was bedeutet „verarbeiteter Konflikt“?,,5418.0,10
54,2631,6nW7AFyDqxS68XRunWrRaf,DE,Formuliere deine Antwort in einem kurzen Satz. Ein Konflikt zu erleben kann auch Vorteile haben. Nenne ein Beispiel für einen Vorteil oder Nutzen.,,5426.0,23
55,2634,8HXvPKB56Jr9sO0idXAGKu,DE,Formuliere deine Antwort mit einem oder mehreren Stichwörtern. Konflikte sind meist störend und kosten viel Energie. Sie können aber auch positive Aspekte mit sich bringen. Welche sind das? Nenne ein Beispiel.,,5418.0,31
56,2635,GpkD9MREia5zJ5bYjgvQ,DE,"Formuliere deine Antwort mithilfe weniger Stichworte. Je länger man mit der Lösung des Konflikts wartet, desto wahrscheinlicher ist es, dass er sich auflöst. Erkläre in wenigen Worten oder einem Satz, warum diese Aussage FALSCH ist.",,5421.0,35
