taskId,language,description,topic_id,word_count
0,9Aa4h4yosMb9oAglIYVbMr,DE,ubersetze deutsch wurd schweiz gebären,,5
1,2T3rZTRBlAv94jV8YNcbgq,DE,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum schreiben schuler heimatland schuluniform tragen vorteil nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen fur schuluniform bildungsministerin sagen gestern tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken umso gut,,56
2,2z7BrRib1zJ6KE4gVWmz6U,DE,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor landern auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,,34
3,a0s1XNwpeGQ9pLGnqdkhni,DE,ubersetzen lieb hund,,3
4,5XfzyS7dJ487uL4NZfz8fZ,DE,erganz mindester zwei weiter anspruchsgruppen,,5
5,8LIIlBLXmue7RO4U5ou7gb,DE,fasse pflicht anhand grafik satz zusammen,4576.0,6
6,26pzeDwUv0t8MVuLVj5JmB,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch angabe kaufgegenstand machen wesentlich information verschweigen fall tauschen partei vertrag zurucktreten fassen regel satz kurz moglich zusammen,4576.0,24
7,8DqIXljQuGe9xQIEqI7WFp,DE,nenn moglichst viel merkmal nachfolgend text fur textsort ansichtskart typisch kawai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,39
8,1aFSUitL2a75WVYA7sYmbV,DE,alexandra kompetenzprofil fur einstellung neu kundenbetreu unternehmen erstell frage konnen stellen aufgabe stell beschreiben find zwei beispiel fur frage,5195.0,19
9,1vX3fcgVtpy9k6WSWsiwVY,DE,haben aufgab neu projekt entwickeln z b onboard programm fur person neu unternehmen kommen erst schritt antwort stichworten,5199.0,18
10,1Yw06EpFLlx8w5vSpuyw7z,DE,nenn drei gesetz erstellung arbeitsvertrag beachten mussen,5193.0,7
