taskId,language,description,topic_id,word_count
0,9Aa4h4yosMb9oAglIYVbMr,DE,translat into german він народився у швеицаріі,,7
1,2T3rZTRBlAv94jV8YNcbgq,DE,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum schreiben schuler heimatland schuluniform tragen vorteil nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen fur schuluniform bildungsministerin sagen gestern tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken umso gut,,56
2,2z7BrRib1zJ6KE4gVWmz6U,DE,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor landern auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,,34
3,a0s1XNwpeGQ9pLGnqdkhni,DE,tranlat i love my dog,,5
4,5XfzyS7dJ487uL4NZfz8fZ,DE,erganz mindester zwei weiter anspruchsgruppen,,5
5,8LIIlBLXmue7RO4U5ou7gb,DE,fasse pflicht anhand grafik satz zusammen,4576.0,6
6,26pzeDwUv0t8MVuLVj5JmB,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch angabe kaufgegenstand machen wesentlich information verschweigen fall tauschen partei vertrag zurucktreten fassen regel satz kurz moglich zusammen,4576.0,24
7,8DqIXljQuGe9xQIEqI7WFp,DE,nenn moglichst viel merkmal nachfolgend text fur textsort ansichtskart typisch kawai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,39
8,1aFSUitL2a75WVYA7sYmbV,DE,alexandra kompetenzprofil fur einstellung neu kundenbetreu unternehmen erstell frage konnen stellen aufgabe stell beschreiben find zwei beispiel fur frage,5195.0,19
9,1vX3fcgVtpy9k6WSWsiwVY,DE,haben aufgab neu projekt entwickeln z b onboard programm fur person neu unternehmen kommen erst schritt antwort stichworten,5199.0,18
10,1Yw06EpFLlx8w5vSpuyw7z,DE,nenn drei gesetz erstellung arbeitsvertrag beachten mussen,5193.0,7
11,3ijyNlG3msT8hVz0AagklM,DE,beantwort frage stichworte maßnahm ergreifen komplex frage recht streitfal angehen,5197.0,10
12,3Lhb5g6fDr86NzURJcyyDz,DE,benenn stichworter tatigkeitsbereich hr bereich,5188.0,5
13,4ASVotj6O8TaDrfNW86wN8,DE,beschreib anhand stichworter konnen gemaß erg theori einfuhrung home offic fur jemand stark kontaktbedurfni bedeuten,5198.0,15
14,4wgx29MQGCG7nsLZGOLVkb,DE,unternehmen algrifor mocht internetplattform verbessern elektronisch rekrutierung ermoglich professionell programmier beauftragen nenn stichwortartig wichtig punkt gestaltung e recruit achten,5195.0,19
15,5qXSNUFhNmN5VidLfA9m4w,DE,alexandra schauen bewerbungsdossi gut fallen bemerken zeit inaktivitat erklart formal kriterium fur bewertung bewerbungsdossi erfullt beantwort frage weniger stichworte,5195.0,19
16,5X9l77w0fZN6MyxYnD3KVB,DE,nenn stichwort nebenpflicht angestellter,5197.0,4
17,6E4bDMNlDGW9xdMQL87atr,DE,gib antwort satz alexandra personalverantwortlich ursprunglich familiengefuhrt immer wachsend unternehmen aufgabe lohnabrechnung nehmen immer mehr zeit anspruch wurdest raten,5191.0,19
18,6XcMHDeahgw8YXFQ1agv4E,DE,firma algrifor klein marketingteam zwei mitarbeiterinn fur neu kampagn jedoch extern firma beauftragen beschreib weniger wort vorgehen heißen,5189.0,18
19,71YaOZ4cMBG9fw8cYMNsDJ,DE,benenn mithilf stichwort letzen handlung einstellungsverfahren,5195.0,6
20,7nGyv3xP47X6la5j0r1b39,DE,worauf solltest achter entscheidest konstrukt beurteilungsgesprach fahren antwort stichwort schritt,5199.0,10
21,7VbRfWDTJl46dcViAZD3lS,DE,nenn mithilf stichwort faktor außerhalb unternehmen einfluss gehalt arbeitnehm,5198.0,9
22,7xH7JyWDbZU6Ofct6alsxs,DE,nenn aktiv faktor arbeitsmarken,5190.0,4
23,89hYlgmdvx87BM7GIPQH21,DE,beantwort frage satz person arbeitgeb verlangen meinen vorstellungsgesprach rassistisch diskriminieren wurd,5197.0,11
24,8IQnwDrs33i7VyEGnPt2bY,DE,arbeitgeb einfach arbeitszeugni ausstellen mitarbeit wegen schwer fehler beispielsweis diebstahl trennen begrund antwort vollstandigen satz,5201.0,15
25,8YLtWAOsHh0aJV8qM7bn1G,DE,beantwort fragen drei stichworte drei vorteil arbeitgeb gesprach abschi fuhrt arbeitnehm arbeitsverhaltni beenden,5201.0,13
26,ANZ8YXBvnt6WL3RWiHgr8,DE,gib antwort frage zielbezogen frage konn vorstellungsgesprach wahrend probezeit stellen,5194.0,10
27,zczFAcjzwi7H7kkKNjG66,DE,beschreib satz massnehmen personalmanag anwend problem schweizer demografi entgegenwirken,5190.0,9
28,xzal4tLN8F8Fj8Wu1XM50,DE,festivalveranstalt verlagern anlass grosser hall ausserhalb stadt bisschen teuer jedoch doppelt gross schildern stichwort auswirkung entscheidung folgend anspruchsgruppen stadt,4576.0,19
29,9XEvTav4ZvOafZsCcN8wuJ,DE,lehrbetrieb verandern können ware schilder anspruchsgruppen entscheidung profitieren werden,,9
30,91nrbKAfXUJ8DH6RGSjvs7,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag fall vorhanden,5008.0,27
31,5xslDLNV5dB8l7n3DsdzAq,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt nachteil vorschlag fall vorhanden,,26
32,1pPszQK2X1b97Eat8NAdGf,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag fall vorhanden,,27
33,67O6lTzBuHz7WIvFT9QIZJ,DE,а перша літера абетки,,4
34,1xgHkdji4n27IrsqwdFmhp,DE,а перша літера абетки,,4
35,aANiFOmnISr6tHKrt45EPg,DE,а перша літера абетки,,4
36,uWvEWUyna09NtbP0RMp63,DE,markieren ausdruck metaph wirkung folgend beispiel red bull verleihen flugel werbeslogan,,11
37,2VX1HHa4SZp9Cs6Suof4ho,DE,beschreib hund bild,,3
38,7Xx3NrODBh69k4BwlIa1jb,DE,beschreiben folgend grafik,,3
39,4hMWK3Mhj5haBKImBjmN0f,DE,kolonn ko gemisch atmospharendruck trennen beschreiben allgemein vorgang wahrend verfahren kolonn ko ablauft antwort satz,,15
40,3yYlsxQhH0J7pxKErqFl0l,DE,behalt teilanlag mussen wechsel periodisch regenerieren beschreiben regenerationsvorgang antwort satz,,10
41,afIm0RTT4KK6XTC3ya0g1T,DE,nenn drei errungenschaft zug marktweib erreichen werden,5289.0,7
42,4T0hwZUZQEJ5VsGnDhcE5J,DE,wichtig zusammenarbeitest,,2
43,1Eoip711J8H71DVAO8BtMI,DE,erklar eigen wort warum rund schafe vorzeitig tal bringen werden,5290.0,10
44,3rYsJTZ4C6R7DcaE4A48GM,DE,beschreib eigen wort warum eu akzeptieren schweden wolfsfrei zon bejagung wolfen geben,5290.0,12
45,81xdUMIFiyC7gTSwml1MTv,DE,kennzeichen erlebnislyrik antwort satz,5350.0,4
46,7fE9sk0x2amalma0takBp5,DE,vorgehen planen fur schlussteil interpretationsaufsatz nennen wichtig schritt,5349.0,8
47,7CUm7BcYBG79uI8VPMUKCo,DE,inhaltlich aspekt werden dichen interpretieren schreiben maxim satz,5349.0,8
48,77ie2UMlNNealZTBPJN3An,DE,перекладіть речення а перша літера абетки,,6
49,790yfzUMFlJ8eXYT7OtUHW,DE,schreiben satz passiv prasen termin intensiv vorbereit kollege,,8
50,5gih6z8lRbv5ZAPRSSpPBB,DE,nenn funf merkmal nachfolgend text fur textsort ansichtskart typisch kauai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,38
51,6eVh0sUk73laFRNimbk7MC,DE,mach zwei satzen relativsatz arbeit gern laptop laptop letzen woch bekommen,5357.0,11
52,avYO5lPPpNR7MVAKdARpVK,DE,zuerst schreib satz nachdem plusquamperfekt neu wohnung finden helfer bestellen nachdem,5357.0,11
53,6tsg9mDSnNP9MSZAtBpQ08,DE,schreib satz passiv prasen termin intensiv vorbereit kollege,5357.0,8
54,vO9lrQFWnd6rddJnOBDkJ,DE,erganz passiv prasen packe koffer,5357.0,5
55,nqu0vtfgjH8ly72XMcGSF,DE,when the battl of waterloo,,5
56,4zcsaIGJPKc5XQ9cX2N0vo,DE,translat he love -- to german,,6
57,XZZNGpJJoP9NfrRPSfR8w,DE,translat he love -- to german,,6
58,9fRq8FcU04z6cylMYhxZpp,DE,translat he love -- to german,,6
59,6tKWn39JVqC6nMBv9vQoGD,DE,translat he love -- to german,,6
60,97MdgAui4Mk7m6cOU11GNV,DE,erganz passiv prasen fliegen flugzeug,5357.0,5
61,7bJSSnEH7oC9X4OLEOBOHF,DE,erganz passiv prasen empfehlen restaur,5357.0,5
62,7FFk3hJ8VXl5PxDmcM1yg6,DE,schreiben satz passiv prasen meister haushalt trennen abfal,5357.0,8
63,1mfdXT4GupD5I8EgTdLjnb,DE,schreiben satz passiv prasen bayern trinkt bier,5357.0,7
