taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_RD,DE,translat german він у швеицаріі,,5
719,2T3rZTRBlAv94jV8YNcbgq_RD,DE,brief zeitung schreiben artikel ungefahr schreiben schuluniform vorteil nachteil tragen remark schulkleidung statt schul uniform sprechen bildungsministerin schuluniform einheitlich identifizierung schuler darub hinau markenwahn entgegenwirken umso gut,,27
720,2z7BrRib1zJ6KE4gVWmz6U_RD,DE,radiosendung thema heiraen deutschland gehort schluss zuhor bericht uber thema heimatland schreiben send sendung interessantesen schreiben bericht uber nennen,,19
740,a0s1XNwpeGQ9pLGnqdkhni_RD,DE,my,,1
762,5XfzyS7dJ487uL4NZfz8fZ_RD,DE,erganzen zwei anspruchsgruppe,,3
765,8LIIlBLXmue7RO4U5ou7gb_RD,DE,anhand zusammen,4576.0,2
766,26pzeDwUv0t8MVuLVj5JmB_RD,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch kaufgegenstand information verschweigen fall tauschen vertrag kurz moglich zusammen,4576.0,16
809,8DqIXljQuGe9xQIEqI7WFp_RD,DE,moglichst merkmal nachfolgend text textsort ansichtskart kawai hallo jen fahrt eindrucklich architektonisch highlight super fein fischgericht unglaublich natur hawaii viel westkust neblig st gallen mehr genug,,26
825,1aFSUitL2a75WVYA7sYmbV_RD,DE,alexandra kompetenzprofil neu unternehmen erstell frage stellen stell beschreiben find zwei,5195.0,11
826,1vX3fcgVtpy9k6WSWsiwVY_RD,DE,neu projekt entwickeln z fur neu kommen erst schritt antwort,5199.0,10
827,1Yw06EpFLlx8w5vSpuyw7z_RD,DE,drei erstellung mussen,5193.0,3
828,3ijyNlG3msT8hVz0AagklM_RD,DE,frage stichworte ergreifen komplex frage recht streitfal,5197.0,7
829,3Lhb5g6fDr86NzURJcyyDz_RD,DE,benenn stichworter tatigkeitsbereich hr bereich,5188.0,5
830,4ASVotj6O8TaDrfNW86wN8_RD,DE,beschreib gemaß erg theori einfuhrung home offic jemand kontaktbedurfni,5198.0,9
831,4wgx29MQGCG7nsLZGOLVkb_RD,DE,unternehmen mocht internetplattform verbessern elektronisch rekrutierung professionell programmier nenn gestaltung e recruit achten,5195.0,13
832,5qXSNUFhNmN5VidLfA9m4w_RD,DE,bewerbungsdossi gut fallen bemerken zeit erklart formal fur bewerbungsdossi erfullt beantwort frage weniger stichworte,5195.0,14
833,5X9l77w0fZN6MyxYnD3KVB_RD,DE,stichworte angestellter,5197.0,2
834,6E4bDMNlDGW9xdMQL87atr_RD,DE,gib ursprunglich familiengefuhrt immer wachsend unternehmen nehmen zeit wurdest raten,5191.0,10
835,6XcMHDeahgw8YXFQ1agv4E_RD,DE,algrifor marketingteam zwei mitarbeiterinn jedoch beauftragen beschreib weniger wort vorgehen,5189.0,10
836,71YaOZ4cMBG9fw8cYMNsDJ_RD,DE,benenn handlung,5195.0,2
837,7nGyv3xP47X6la5j0r1b39_RD,DE,worauf entscheidest beurteilungsgesprach antwort stichworten,5199.0,5
838,7VbRfWDTJl46dcViAZD3lS_RD,DE,stichwort faktor außerhalb einfluss gehalt arbeitnehm,5198.0,6
839,7xH7JyWDbZU6Ofct6alsxs_RD,DE,aktiv faktor,5190.0,2
840,89hYlgmdvx87BM7GIPQH21_RD,DE,beantwort satz arbeitgeb verlangen meinen rassistisch,5197.0,6
841,8IQnwDrs33i7VyEGnPt2bY_RD,DE,ausstellen wegen fehl beispielsweis diebstahl trennen begrund antwort satz,5201.0,9
842,8YLtWAOsHh0aJV8qM7bn1G_RD,DE,beantwort drei arbeitgeb gesprach abschi fuhrt,5201.0,6
843,ANZ8YXBvnt6WL3RWiHgr8_RD,DE,antwort frage frage konn vorstellungsgesprach,5194.0,5
844,zczFAcjzwi7H7kkKNjG66_RD,DE,massnehmen anwend problem demografi entgegenwirken,5190.0,5
845,xzal4tLN8F8Fj8Wu1XM50_RD,DE,festivalveranstalt verlagern anlass grosser bisschen jedoch gross auswirkung entscheidung anspruchsgruppen stadt,4576.0,11
867,9XEvTav4ZvOafZsCcN8wuJ_RD,DE,lehrbetrieb verandern ware profitieren werden,,5
912,91nrbKAfXUJ8DH6RGSjvs7_RD,DE,brainstormen gemeinsam moglich jutta praxi produzieren lassen per wurfsendung viertel bitt aspekt vorhanden,5008.0,13
914,5xslDLNV5dB8l7n3DsdzAq_RD,DE,brainstormen gemeinsam kolleginn jutta können uber lassen per haushalt viertel nachteil fall vorhanden,,13
915,1pPszQK2X1b97Eat8NAdGf_RD,DE,brainstormen moglich antwort vorschlag jutta können uber praxi produzieren wurfsendung haushalt verteilen beschreiben positiv aspekt vorschlag fall,,17
925,67O6lTzBuHz7WIvFT9QIZJ_RD,DE,а перша літера абетки,,4
926,1xgHkdji4n27IrsqwdFmhp_RD,DE,перша абетки,,2
928,aANiFOmnISr6tHKrt45EPg_RD,DE,а перша,,2
959,uWvEWUyna09NtbP0RMp63_RD,DE,wirkung folgend beispiel red flugel werbeslogan,,6
960,2VX1HHa4SZp9Cs6Suof4ho_RD,DE,bild,,1
963,7Xx3NrODBh69k4BwlIa1jb_RD,DE,beschreiben grafik,,2
1033,4hMWK3Mhj5haBKImBjmN0f_RD,DE,gemisch trennen beschreiben wahrend verfahren kolonn ko antwort,,8
1034,3yYlsxQhH0J7pxKErqFl0l_RD,DE,behalt regenerieren antwort,,3
1105,afIm0RTT4KK6XTC3ya0g1T_RD,DE,errungenschaft erreichen,5289.0,2
1108,4T0hwZUZQEJ5VsGnDhcE5J_RD,DE,wichtig zusammenarbeitest,,2
1113,1Eoip711J8H71DVAO8BtMI_RD,DE,wort warum vorzeitig bringen,5290.0,4
1114,3rYsJTZ4C6R7DcaE4A48GM_RD,DE,eigen wort akzeptiert wolfen,5290.0,4
1116,81xdUMIFiyC7gTSwml1MTv_RD,DE,kennzeichen antwort,5350.0,2
1117,7fE9sk0x2amalma0takBp5_RD,DE,vorgehen fur schlussteil interpretationsaufsatz nennen schritt,5349.0,6
