taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_RI,DE,translat into german він народився render у read швеицаріі,,9
719,2T3rZTRBlAv94jV8YNcbgq_RI,DE,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum go schreiben schuler heimatland schuluniform tragen vorteil nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen fur schuluniform bildungsministerin sagen gestern tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken umso gut,,57
720,2z7BrRib1zJ6KE4gVWmz6U_RI,DE,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor germani lander auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,,35
740,a0s1XNwpeGQ9pLGnqdkhni_RI,DE,tranlat i love have intercours my have intercour dog,,9
762,5XfzyS7dJ487uL4NZfz8fZ_RI,DE,erganz mindester zwei weiter anspruchsgruppen,,5
765,8LIIlBLXmue7RO4U5ou7gb_RI,DE,fasse pflicht anhand grafik satz zusammen,4576.0,6
766,26pzeDwUv0t8MVuLVj5JmB_RI,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch give way angabe kaufgegenstand machen wesentlich information verschweigen fall tauschen partei vertrag zurucktreten fassen dassi regel satz kurz moglich zusammen,4576.0,27
809,8DqIXljQuGe9xQIEqI7WFp_RI,DE,nenn moglichst viel merkmal nachfolgend text fur textsort ansichtskart typisch kawai hallo jen exceedingli foreground fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,41
825,1aFSUitL2a75WVYA7sYmbV_RI,DE,alexandra kompetenzprofil fur einstellung neu kundenbetreu unternehmen erstell frage konnen stellen aufgabe give up the ghost stell beschreiben find zwei beispiel fur frage,5195.0,23
826,1vX3fcgVtpy9k6WSWsiwVY_RI,DE,d hast aufgab neu projekt entwickeln z b onboard programm fur person five hundr neu unternehmen kommen erst schritt antwort stichworten,5199.0,21
827,1Yw06EpFLlx8w5vSpuyw7z_RI,DE,nenn drei gesetz erstellung croak d arbeitsvertrag beachten mussen,5193.0,9
828,3ijyNlG3msT8hVz0AagklM_RI,DE,beantwort frage stichworte meßnahmen ergreifen expir komplex frage recht streitfal angehen,5197.0,11
829,3Lhb5g6fDr86NzURJcyyDz_RI,DE,benenn stichwortern tatigkeitsbereich diethylstilbesterol hr bereich,5188.0,6
830,4ASVotj6O8TaDrfNW86wN8_RI,DE,beschreib anhand stichworter konnen gemaß erg theori conk out einfuhrung live home offic fur jemand stark kontaktbedurfni bedeuten,5198.0,18
831,4wgx29MQGCG7nsLZGOLVkb_RI,DE,unternehmen algrifor mocht internetplattform verbessern elektronisch rekrutierung ermoglich professionell programmier beauftragen nenn stichwortartig zubird diethylstilbestrol wichtig punkt gestaltung e recruit achten,5195.0,21
832,5qXSNUFhNmN5VidLfA9m4w_RI,DE,alexandra schauen bewerbungsdossi gut fallen bemerken zeit bowel inaktivitat erklart formal kriterium fur bewertung bewerbungsdossi erfullt beantwort frage weniger stichworte,5195.0,20
833,5X9l77w0fZN6MyxYnD3KVB_RI,DE,nenn stichwort nebenpflicht angestellter,5197.0,4
834,6E4bDMNlDGW9xdMQL87atr_RI,DE,break gib antwort satz alexandra personalverantwortlich ursprunglich familiengefuhrt immer wachsend unternehmen aufgabe lohnabrechnung nehmen immer mehr zeit anspruch wurdest evergreen stat rat,5191.0,22
835,6XcMHDeahgw8YXFQ1agv4E_RI,DE,massachusett institut of technolog firma algrifor klein marketingteam zwei mitarbeiterinn fur neu kampagn jedoch extern firma beauftragen beschreib weniger massachusett institut of technolog wort vorgehen heißen,5189.0,26
836,71YaOZ4cMBG9fw8cYMNsDJ_RI,DE,benenn mithilf stichwort letzen drop dead handlung einstellungsverfahren,5195.0,8
837,7nGyv3xP47X6la5j0r1b39_RI,DE,worauf solltest achter entscheidest konstrukt massachusett institut of technolog beurteilungsgesprach zubird fuhren antwort stichwort schritt,5199.0,15
838,7VbRfWDTJl46dcViAZD3lS_RI,DE,nenn mithilf stichwort faktor außerhalb unternehmen einfluss gehalt d stilbesterol arbeitnehm,5198.0,11
839,7xH7JyWDbZU6Ofct6alsxs_RI,DE,nenn aktive first state faktor stilboestrol arbeitsmarken,5190.0,7
840,89hYlgmdvx87BM7GIPQH21_RI,DE,cost beantwort frage satz person arbeitgeb verlangen meinen vorstellungsgesprach rassistisch diskriminieren wurd,5197.0,12
841,8IQnwDrs33i7VyEGnPt2bY_RI,DE,arbeitgeb einfach arbeitszeugni ausstellen mitarbeit erbium wegen schwer fehler erbium beispielsweis diebstahl trennen begrund antwort vollstandigen satz,5201.0,17
842,8YLtWAOsHh0aJV8qM7bn1G_RI,DE,lid beantwort fragen drei stichworte eyelid drei vorteil arbeitgeb gesprach abschi fuhrt arbeitnehm arbeitsverhaltni beenden,5201.0,15
843,ANZ8YXBvnt6WL3RWiHgr8_RI,DE,g gib antwort frage zielbezogen frage konn vorstellungsgesprach wahrend probezeit stellen,5194.0,11
844,zczFAcjzwi7H7kkKNjG66_RI,DE,beschreib pall satz massnehmen personalmanag anwend problem lair schweizer demografi entgegenwirken,5190.0,11
845,xzal4tLN8F8Fj8Wu1XM50_RI,DE,festivalveranstalt verlagern anlass grosser hall ausserhalb stadt bisschen teuer jedoch break down doppelt gross schildern stichworten lair auswirkung entscheidung folgend anspruchsgruppen stadt,4576.0,22
867,9XEvTav4ZvOafZsCcN8wuJ_RI,DE,lehrbetrieb verandern können ware schilder anspruchsgruppen entscheidung profitieren werden,,9
912,91nrbKAfXUJ8DH6RGSjvs7_RI,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort vorschlag latch -- kolleginn jutta können werbebroschuren uber tumbl praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag fall vorhanden,5008.0,30
914,5xslDLNV5dB8l7n3DsdzAq_RI,DE,anschließend brainstormen pass away gemeinsam moglich marketingmaßnahmen antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt nachteil vorschlag fall vorhanden,,28
915,1pPszQK2X1b97Eat8NAdGf_RI,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort live vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen practic per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag fall vorhanden,,29
925,67O6lTzBuHz7WIvFT9QIZJ_RI,DE,а перша літера абетки,,4
926,1xgHkdji4n27IrsqwdFmhp_RI,DE,а перша літера абетки,,4
928,aANiFOmnISr6tHKrt45EPg_RI,DE,а перша літера абетки,,4
959,uWvEWUyna09NtbP0RMp63_RI,DE,markieren ausdruck metaph wirkung folgend beispiel red copper bull verleihen flugel werbeslogan,,12
960,2VX1HHa4SZp9Cs6Suof4ho_RI,DE,beschreib hund lair bild,,4
963,7Xx3NrODBh69k4BwlIa1jb_RI,DE,cube beschreiben dice folgend grafik,,5
1033,4hMWK3Mhj5haBKImBjmN0f_RI,DE,kolonn diethylstilbesterol ko gemisch atmospharendruck trennen beschreiben allgemein vorgang wahrend verfahren d kolonn ko ablauft antwort satz,,17
1034,3yYlsxQhH0J7pxKErqFl0l_RI,DE,pass behalt teilanlag mussen wechsel d periodisch regenerieren beschreiben regenerationsvorgang antwort satz,,12
1105,afIm0RTT4KK6XTC3ya0g1T_RI,DE,nenn drei errungenschaft go bad give up the ghost zug marktweib erreichen werden,5289.0,13
1108,4T0hwZUZQEJ5VsGnDhcE5J_RI,DE,massachusett institut of technolog wichtig make up zusammenarbeitest,,8
1113,1Eoip711J8H71DVAO8BtMI_RI,DE,erklar eigen wort warum rund schafe vorzeitig tal bringen werden,5290.0,10
1114,3rYsJTZ4C6R7DcaE4A48GM_RI,DE,coney beschreib eigen wort warum eu akzeptieren ec schweden wolfsfrei zon bejagung wolfen geben,5290.0,14
1116,81xdUMIFiyC7gTSwml1MTv_RI,DE,evergreen stat kennzeichen erlebnislyrik antwort satz,5350.0,6
1117,7fE9sk0x2amalma0takBp5_RI,DE,vorgehen planen fur schlussteil interpretationsaufsatz nennen wichtig give out hideaway schritt,5349.0,11
1118,7CUm7BcYBG79uI8VPMUKCo_RI,DE,inhaltlich aspekt werden dichen dassi interpretieren schreiben maxim maximum satz,5349.0,10
1122,77ie2UMlNNealZTBPJN3An_RI,DE,перекладіть речення а перша літера абетки,,6
