taskId,aspectId
18,2z7BrRib1zJ6KE4gVWmz6U,8980
81,xzal4tLN8F8Fj8Wu1XM50,9787
92,7Xx3NrODBh69k4BwlIa1jb,8980
120,4hMWK3Mhj5haBKImBjmN0f,12472
121,4hMWK3Mhj5haBKImBjmN0f,12479
132,3yYlsxQhH0J7pxKErqFl0l,12472
135,afIm0RTT4KK6XTC3ya0g1T,20
142,afIm0RTT4KK6XTC3ya0g1T,12986
200,4T0hwZUZQEJ5VsGnDhcE5J,124
203,4T0hwZUZQEJ5VsGnDhcE5J,15321
257,1Eoip711J8H71DVAO8BtMI,21
259,1Eoip711J8H71DVAO8BtMI,20
260,1Eoip711J8H71DVAO8BtMI,4
261,1Eoip711J8H71DVAO8BtMI,44
269,1Eoip711J8H71DVAO8BtMI,12935
275,1Eoip711J8H71DVAO8BtMI,12986
307,3rYsJTZ4C6R7DcaE4A48GM,4
308,3rYsJTZ4C6R7DcaE4A48GM,20
309,3rYsJTZ4C6R7DcaE4A48GM,21
311,3rYsJTZ4C6R7DcaE4A48GM,44
320,3rYsJTZ4C6R7DcaE4A48GM,12935
327,3rYsJTZ4C6R7DcaE4A48GM,12986
361,81xdUMIFiyC7gTSwml1MTv,82
365,81xdUMIFiyC7gTSwml1MTv,14185
372,81xdUMIFiyC7gTSwml1MTv,14303
417,7fE9sk0x2amalma0takBp5,14185
424,7fE9sk0x2amalma0takBp5,14303
473,7CUm7BcYBG79uI8VPMUKCo,14185
480,7CUm7BcYBG79uI8VPMUKCo,14303
543,5gih6z8lRbv5ZAPRSSpPBB,174
595,6eVh0sUk73laFRNimbk7MC,82
596,6eVh0sUk73laFRNimbk7MC,84
599,6eVh0sUk73laFRNimbk7MC,85
602,6eVh0sUk73laFRNimbk7MC,14185
609,6eVh0sUk73laFRNimbk7MC,14303
642,6eVh0sUk73laFRNimbk7MC,16585
651,avYO5lPPpNR7MVAKdARpVK,82
652,avYO5lPPpNR7MVAKdARpVK,87
654,avYO5lPPpNR7MVAKdARpVK,85
658,avYO5lPPpNR7MVAKdARpVK,14185
665,avYO5lPPpNR7MVAKdARpVK,14303
699,avYO5lPPpNR7MVAKdARpVK,16624
705,avYO5lPPpNR7MVAKdARpVK,16731
710,6tsg9mDSnNP9MSZAtBpQ08,82
711,6tsg9mDSnNP9MSZAtBpQ08,84
712,6tsg9mDSnNP9MSZAtBpQ08,87
713,6tsg9mDSnNP9MSZAtBpQ08,163
714,6tsg9mDSnNP9MSZAtBpQ08,85
716,6tsg9mDSnNP9MSZAtBpQ08,16550
719,6tsg9mDSnNP9MSZAtBpQ08,16585
722,6tsg9mDSnNP9MSZAtBpQ08,16624
728,vO9lrQFWnd6rddJnOBDkJ,82
729,vO9lrQFWnd6rddJnOBDkJ,84
730,vO9lrQFWnd6rddJnOBDkJ,85
731,vO9lrQFWnd6rddJnOBDkJ,163
732,vO9lrQFWnd6rddJnOBDkJ,87
735,vO9lrQFWnd6rddJnOBDkJ,14185
742,vO9lrQFWnd6rddJnOBDkJ,14303
779,vO9lrQFWnd6rddJnOBDkJ,16624
784,vO9lrQFWnd6rddJnOBDkJ,16731
787,4zcsaIGJPKc5XQ9cX2N0vo,1489
788,4zcsaIGJPKc5XQ9cX2N0vo,1490
789,4zcsaIGJPKc5XQ9cX2N0vo,1491
790,4zcsaIGJPKc5XQ9cX2N0vo,1492
799,4zcsaIGJPKc5XQ9cX2N0vo,49047
833,XZZNGpJJoP9NfrRPSfR8w,1498
834,XZZNGpJJoP9NfrRPSfR8w,1489
835,XZZNGpJJoP9NfrRPSfR8w,1490
836,XZZNGpJJoP9NfrRPSfR8w,1491
837,XZZNGpJJoP9NfrRPSfR8w,1492
840,XZZNGpJJoP9NfrRPSfR8w,49014
846,XZZNGpJJoP9NfrRPSfR8w,49047
878,XZZNGpJJoP9NfrRPSfR8w,49253
881,9fRq8FcU04z6cylMYhxZpp,1498
882,9fRq8FcU04z6cylMYhxZpp,1489
883,9fRq8FcU04z6cylMYhxZpp,1490
884,9fRq8FcU04z6cylMYhxZpp,1491
885,9fRq8FcU04z6cylMYhxZpp,1492
888,9fRq8FcU04z6cylMYhxZpp,49014
894,9fRq8FcU04z6cylMYhxZpp,49047
927,9fRq8FcU04z6cylMYhxZpp,49253
930,6tKWn39JVqC6nMBv9vQoGD,1498
931,6tKWn39JVqC6nMBv9vQoGD,1489
932,6tKWn39JVqC6nMBv9vQoGD,1490
933,6tKWn39JVqC6nMBv9vQoGD,1491
934,6tKWn39JVqC6nMBv9vQoGD,1492
937,6tKWn39JVqC6nMBv9vQoGD,49014
943,6tKWn39JVqC6nMBv9vQoGD,49047
976,6tKWn39JVqC6nMBv9vQoGD,49253
981,97MdgAui4Mk7m6cOU11GNV,82
982,97MdgAui4Mk7m6cOU11GNV,84
983,97MdgAui4Mk7m6cOU11GNV,85
984,97MdgAui4Mk7m6cOU11GNV,87
985,97MdgAui4Mk7m6cOU11GNV,163
986,97MdgAui4Mk7m6cOU11GNV,6736
990,97MdgAui4Mk7m6cOU11GNV,14185
997,97MdgAui4Mk7m6cOU11GNV,14303
1029,97MdgAui4Mk7m6cOU11GNV,16550
1032,97MdgAui4Mk7m6cOU11GNV,16585
1037,97MdgAui4Mk7m6cOU11GNV,16664
1042,97MdgAui4Mk7m6cOU11GNV,16749
1044,97MdgAui4Mk7m6cOU11GNV,66630
1049,7bJSSnEH7oC9X4OLEOBOHF,82
1050,7bJSSnEH7oC9X4OLEOBOHF,84
1051,7bJSSnEH7oC9X4OLEOBOHF,85
1052,7bJSSnEH7oC9X4OLEOBOHF,87
1053,7bJSSnEH7oC9X4OLEOBOHF,163
1054,7bJSSnEH7oC9X4OLEOBOHF,6736
1058,7bJSSnEH7oC9X4OLEOBOHF,14185
1065,7bJSSnEH7oC9X4OLEOBOHF,14303
1097,7bJSSnEH7oC9X4OLEOBOHF,16550
1100,7bJSSnEH7oC9X4OLEOBOHF,16585
1105,7bJSSnEH7oC9X4OLEOBOHF,16664
1109,7bJSSnEH7oC9X4OLEOBOHF,16749
1111,7bJSSnEH7oC9X4OLEOBOHF,66630
1116,7FFk3hJ8VXl5PxDmcM1yg6,82
1117,7FFk3hJ8VXl5PxDmcM1yg6,84
1118,7FFk3hJ8VXl5PxDmcM1yg6,85
1119,7FFk3hJ8VXl5PxDmcM1yg6,87
1120,7FFk3hJ8VXl5PxDmcM1yg6,163
1121,7FFk3hJ8VXl5PxDmcM1yg6,6736
1125,7FFk3hJ8VXl5PxDmcM1yg6,14185
1132,7FFk3hJ8VXl5PxDmcM1yg6,14303
1164,7FFk3hJ8VXl5PxDmcM1yg6,16550
1167,7FFk3hJ8VXl5PxDmcM1yg6,16585
1172,7FFk3hJ8VXl5PxDmcM1yg6,16664
1176,7FFk3hJ8VXl5PxDmcM1yg6,16749
1178,7FFk3hJ8VXl5PxDmcM1yg6,66630
1183,1mfdXT4GupD5I8EgTdLjnb,82
1184,1mfdXT4GupD5I8EgTdLjnb,84
1185,1mfdXT4GupD5I8EgTdLjnb,85
1186,1mfdXT4GupD5I8EgTdLjnb,87
1187,1mfdXT4GupD5I8EgTdLjnb,163
1188,1mfdXT4GupD5I8EgTdLjnb,6736
1192,1mfdXT4GupD5I8EgTdLjnb,14185
1199,1mfdXT4GupD5I8EgTdLjnb,14303
1231,1mfdXT4GupD5I8EgTdLjnb,16550
1234,1mfdXT4GupD5I8EgTdLjnb,16585
1239,1mfdXT4GupD5I8EgTdLjnb,16664
1244,1mfdXT4GupD5I8EgTdLjnb,16731
1247,1mfdXT4GupD5I8EgTdLjnb,66630
1252,3nyPPFNdnq3aWkfdyyblYZ,82
1253,3nyPPFNdnq3aWkfdyyblYZ,84
1254,3nyPPFNdnq3aWkfdyyblYZ,85
1255,3nyPPFNdnq3aWkfdyyblYZ,87
1256,3nyPPFNdnq3aWkfdyyblYZ,163
1257,3nyPPFNdnq3aWkfdyyblYZ,6736
1261,3nyPPFNdnq3aWkfdyyblYZ,14185
1268,3nyPPFNdnq3aWkfdyyblYZ,14303
1300,3nyPPFNdnq3aWkfdyyblYZ,16550
1303,3nyPPFNdnq3aWkfdyyblYZ,16585
1308,3nyPPFNdnq3aWkfdyyblYZ,16664
1312,3nyPPFNdnq3aWkfdyyblYZ,16749
1318,6jck1jG2yALa91FNC2Avae,82
1319,6jck1jG2yALa91FNC2Avae,84
1320,6jck1jG2yALa91FNC2Avae,85
1321,6jck1jG2yALa91FNC2Avae,87
1322,6jck1jG2yALa91FNC2Avae,163
1323,6jck1jG2yALa91FNC2Avae,6736
1327,6jck1jG2yALa91FNC2Avae,14185
1334,6jck1jG2yALa91FNC2Avae,14303
1366,6jck1jG2yALa91FNC2Avae,16550
1369,6jck1jG2yALa91FNC2Avae,16585
1372,6jck1jG2yALa91FNC2Avae,16624
