taskId,language,description,topic_id,word_count,sentence_count
660,9Aa4h4yosMb9oAglIYVbMr,DE,Übersetzen ins Deutsche: Er wurde in der Schweiz geboren.,,7,1
719,2T3rZTRBlAv94jV8YNcbgq,DE,"Brief an eine Zeitung Schreiben Sie eine Reaktion auf diesen Artikel an die Zeitung (ungefähr 180 Wörter). Sagen Sie, - warum Sie schreiben - ob Schüler in Ihrem Heimatland eine Schuluniform tragen - welche Vorteile oder Nachteile das Tragen einer Schuluniform Ihrer Meinung nach hat. | remark: Schulkleidung statt Markenwahn Schüler in Uniform? Bayerns Ministerpräsident, die Bundesbildungsministerin und die Bundesjustizministerin sprachen sich für die Schuluniform aus. Die Bildungsministerin sagte gestern dazu, dass das Tragen einer Schuluniform zu begrüßen ist, wenn einheitliche Schulkleidung zur Identifizierung mit der Schule beiträgt und Symbol einer Gemeinschaft aller Schüler ist. ""Falls Schulkleidung darüber hinaus dem verbreiteten Markenwahn entgegenwirkt, umso besser.""",,105,6
720,2z7BrRib1zJ6KE4gVWmz6U,DE,"Bericht Sie haben eine Radiosendung zum Thema Heiraten in Deutschland gehört. Am Schluss der Sendung wurden Zuhörer aus anderen Ländern aufgefordert, einen kurzen Bericht über das Thema Heirat in meinem Heimatland zu schreiben und an den Sender zu schicken. In der nächsten Sendung wird über die interessantesten Zuschriften berichtet. Schreiben Sie einen Bericht über das genannte Thema (etwa 200 Wörter).",,60,4
740,a0s1XNwpeGQ9pLGnqdkhni,DE,"Übersetzen: ""Ich liebe meinen Hund""",,5,1
762,5XfzyS7dJ487uL4NZfz8fZ,DE,Ergänzen Sie mindestens zwei weitere Anspruchsgruppen.,,6,1
765,8LIIlBLXmue7RO4U5ou7gb,DE,Fassen Sie diese Pflichten anhand der Grafik in einem Satz zusammen.,4576.0,11,1
766,26pzeDwUv0t8MVuLVj5JmB,DE,"Es kann vorkommen, dass eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche Angaben zum Kaufgegenstand macht oder wesentliche Informationen verschweigt. In diesem Fall kann die getäuschte Partei vom Vertrag zurücktreten. Fassen Sie diese Regel mit einem Wenn-dann-Satz so kurz wie möglich zusammen:",4576.0,47,3
809,8DqIXljQuGe9xQIEqI7WFp,DE,"Nenne möglichst viele Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kawai, 22.09.2018 Hallo Jens Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,63,4
825,1aFSUitL2a75WVYA7sYmbV,DE,"Alexandra muss ein Kompetenzprofil für die Einstellung des/der neuen Kundenbetreuers/in in ihrem Unternehmen erstellen. Welche Frage könnte sie sich stellen, um die Aufgaben dieser Stelle zu beschreiben? Finde zwei Beispiele für solche Fragen.",5195.0,33,3
826,1vX3fcgVtpy9k6WSWsiwVY,DE,"Du hast die Aufgabe, ein neues Projekt zu entwickeln, z. B. ein Onboarding-Programm für Personen, die neu in das Unternehmen kommen. Was ist der erste Schritt? Antworte in Stichworten.",5199.0,29,4
827,1Yw06EpFLlx8w5vSpuyw7z,DE,"Nenne drei Gesetze, die bei der Erstellung eines Arbeitsvertrags beachtet werden müssen.",5193.0,12,1
828,3ijyNlG3msT8hVz0AagklM,DE,"Beantworte die Frage in Stichworten: Welche Maßnahme sollte ergriffen werden, um die komplexe Frage der Rechte im Streitfall anzugehen?",5197.0,19,1
829,3Lhb5g6fDr86NzURJcyyDz,DE,Benenne mit einigen Stichwörtern einen Tätigkeitsbereich des HR-Bereichs?,5188.0,8,1
830,4ASVotj6O8TaDrfNW86wN8,DE,Beschreibe anhand von Stichwörtern. Was könnte gemäß der ERG-Theorie die Einführung von Home-Office für jemanden mit einem starken Kontaktbedürfnis bedeuten?,5198.0,20,2
831,4wgx29MQGCG7nsLZGOLVkb,DE,"Das Unternehmen Algrifor möchte seine Internetplattform verbessern, um die elektronische Rekrutierung zu ermöglichen. Dazu hat sie einen professionellen Programmierer beauftragt. Nenne stichwortartig einen wichtigen Punkt, auf den er bei der Gestaltung des E-Recruitings achten muss.",5195.0,35,3
832,5qXSNUFhNmN5VidLfA9m4w,DE,"Alexandra schaut sich ein Bewerbungsdossier an, das ihr gut gefällt. Dann bemerkt sie, dass eine Zeit der Inaktivität nicht erklärt ist. Welches formale Kriterium für die Bewertung von Bewerbungsdossiers wird nicht erfüllt? Beantworte diese Frage in wenigen Stichworten.",5195.0,38,4
833,5X9l77w0fZN6MyxYnD3KVB,DE,Nenne in Stichworten eine Nebenpflicht des/der Angestellten.,5197.0,7,1
834,6E4bDMNlDGW9xdMQL87atr,DE,"Gib deine Antwort in einem Satz an: Alexandra ist Personalverantwortliche in einem ursprünglich familiengeführten, aber immer weiter wachsenden Unternehmen. Aufgaben wie die Lohnabrechnung nehmen immer mehr Zeit in Anspruch. Was würdest du ihr raten?",5191.0,34,3
835,6XcMHDeahgw8YXFQ1agv4E,DE,"Die Firma Algrifor hat ein kleines Marketingteam mit zwei Mitarbeiterinnen. Für die neue Kampagne wird jedoch eine externe Firma beauftragt. Beschreibe in wenigen Worten, wie dieses Vorgehen heißt.",5189.0,28,3
836,71YaOZ4cMBG9fw8cYMNsDJ,DE,Benenne mithilfe eines Stichwortes die letzte Handlung eines Einstellungsverfahrens.,5195.0,9,1
837,7nGyv3xP47X6la5j0r1b39,DE,"Worauf solltest du achten, wenn du dich entscheidest, konstruktive Beurteilungsgespräche zu führen? Antworte mit Stichworten zu jedem Schritt.",5199.0,18,2
838,7VbRfWDTJl46dcViAZD3lS,DE,"Nenne mithilfe einiger Stichworte einen Faktor außerhalb des Unternehmens, der einen Einfluss auf das Gehalt des Arbeitnehmers hat.",5198.0,18,1
839,7xH7JyWDbZU6Ofct6alsxs,DE,Nenne einen aktiven Faktor des Arbeitsmarktes.,5190.0,6,1
840,89hYlgmdvx87BM7GIPQH21,DE,"Beantworte die Frage in einem Satz. Was kann eine Person vom Arbeitgeber verlangen, wenn sie meint, dass sie in einem Vorstellungsgespräch rassistisch diskriminiert wurde?",5197.0,24,2
841,8IQnwDrs33i7VyEGnPt2bY,DE,"Kann ein Arbeitgeber ein einfaches Arbeitszeugnis ausstellen, wenn er sich von einem Mitarbeiter wegen eines schweren Fehlers, wie beispielsweise Diebstahl, trennt? Begründe deine Antwort in einem vollständigen Satz.",5201.0,28,2
842,8YLtWAOsHh0aJV8qM7bn1G,DE,"Beantworte die Fragen in drei Stichworten. Welche drei Vorteile hat der Arbeitgeber, wenn er ein Gespräch zum Abschied führt, wenn ein Arbeitnehmer das Arbeitsverhältnis beendet?",5201.0,25,2
843,ANZ8YXBvnt6WL3RWiHgr8,DE,Gib deine Antwort mit einer Frage an: Welche nicht zielbezogenen Fragen können in einem Vorstellungsgespräch während der Probezeit gestellt werden?,5194.0,20,1
844,zczFAcjzwi7H7kkKNjG66,DE,"Beschreibe in einem Satz eine Massnahme, die das Personalmanagement anwenden kann, um den Problemen der Schweizer Demografie entgegenzuwirken.",5190.0,18,1
845,xzal4tLN8F8Fj8Wu1XM50,DE,"Die Festivalveranstalter verlagern den Anlass in eine grössere Halle ausserhalb der Stadt, die zwar ein bisschen teurer, jedoch doppelt so gross ist. Schildern Sie in Stichworten die Auswirkungen dieser Entscheidung auf folgende Anspruchsgruppen: Stadt",4576.0,34,2
867,9XEvTav4ZvOafZsCcN8wuJ,DE,"Wenn Sie in Ihrem Lehrbetrieb etwas verändern könnten – was wäre es? Schildern Sie, welche Anspruchsgruppen von Ihrer Entscheidung profitieren würden und welche nicht.",,24,2
912,91nrbKAfXUJ8DH6RGSjvs7,DE,"Anschließend brainstormen Sie gemeinsam mögliche Marketingmaßnahmen. Was antworten Sie auf die Vorschläge Ihrer Kolleginnen? Jutta: ""Wir könnten Werbebroschüren über unsere Praxis produzieren lassen und diese per Wurfsendungen an alle Haushalte im Viertel verteilen."" Beschreiben Sie bitte positiven Aspekten von diesem Vorschlag, falls vorhanden.",5008.0,43,4
914,5xslDLNV5dB8l7n3DsdzAq,DE,"Anschließend brainstormen Sie gemeinsam mögliche Marketingmaßnahmen. Was antworten Sie auf die Vorschläge Ihrer Kolleginnen? Jutta: ""Wir könnten Werbebroschüren über unsere Praxis produzieren lassen und diese per Wurfsendungen an alle Haushalte im Viertel verteilen."" Beschreiben Sie bitte Nachteilen von diesem Vorschlag, falls vorhanden.",,42,4
