aspectId,tasks_count
0,10002,6
2,10010,16
15,10069,7
27,10097,17
29,10148,33
30,10173,33
54,10245,5
56,10293,3
67,10313,3
68,10316,3
69,10319,3
70,10322,3
71,10325,3
72,10328,3
73,10354,2
74,10367,2
78,10398,2
80,10403,2
81,10418,2
89,10448,2
116,108592,22
150,11221,2
154,11401,2
162,114811,2
163,114812,2
187,11680,2
191,11699,2
192,11701,2
193,11703,2
210,11721,2
211,11726,2
240,12191,2
241,12194,2
253,12208,2
267,12322,2
275,12334,2
277,12338,2
291,124,62
292,12438,6
294,12460,2
295,12472,2
297,12479,3
299,12486,2
304,12498,4
305,125,2
355,12714,2
356,12716,2
357,12718,2
358,12720,2
359,12722,2
360,12724,2
361,12726,2
362,12728,2
363,12731,2
365,12737,2
366,12739,2
367,12742,2
368,12743,2
369,12745,2
370,12747,2
371,12749,2
372,12751,2
374,12754,2
375,12756,2
376,12758,2
377,12760,2
378,12761,2
379,12764,2
380,12766,2
381,12768,2
382,12770,2
383,12774,2
384,12776,2
396,1374,61
397,1375,42
398,1376,42
399,1377,41
401,1380,38
499,1415,366
503,1416,367
504,1417,367
505,1418,367
506,1419,367
507,1489,2
508,1490,2
509,1491,2
510,1492,2
511,1498,2
512,15250,34
513,15285,34
514,1531,2
515,1532,2
516,15321,34
517,1533,2
518,1534,2
519,1535,2
520,15357,34
521,15393,34
522,15429,34
523,15465,34
524,15501,34
525,1551,8
526,1552,10
527,1553,10
528,15537,34
529,1554,6
530,1555,8
531,1556,5
532,1557,8
533,15573,34
534,1558,2
535,1559,10
536,1560,10
537,15609,34
539,1563,10
540,1564,4
541,15644,34
542,1565,4
543,1566,8
544,1568,16
545,15680,34
546,1569,4
547,1570,6
548,1571,2
549,15717,34
550,1572,24
551,1574,4
552,1575,4
553,15753,34
554,1576,2
555,1577,6
556,1578,2
557,15789,34
558,1579,6
559,1580,4
560,1581,8
561,1582,6
562,15825,34
563,1583,10
564,1584,5
565,1585,4
566,1586,4
567,15861,34
568,1587,4
569,1588,6
570,15897,34
571,1590,6
572,1591,10
573,1592,8
574,1593,6
575,15933,34
576,1594,2
577,1595,8
578,1596,4
579,15969,34
580,1597,4
581,1598,6
582,1599,12
583,1600,4
584,16005,34
585,1601,6
586,1602,4
587,1604,8
588,16041,34
589,1605,6
590,1606,8
591,1607,8
592,16077,34
593,1608,4
594,1609,4
595,1610,4
596,1611,353
597,16112,34
598,1612,353
599,16149,34
600,16185,34
601,16221,34
602,1623,354
603,16257,34
604,16293,34
605,1631,367
606,1632,367
607,16329,34
608,16365,34
609,16401,34
610,16437,34
611,16473,10
614,16821,221
615,17042,222
659,172024,60
664,172232,2
665,172233,2
666,172234,3
667,172235,3
668,172236,3
669,172237,3
670,172238,3
671,172239,3
672,172240,3
673,172241,3
674,172242,3
675,172243,3
676,172244,3
677,172245,3
678,172246,3
679,172247,3
680,172248,3
681,172249,3
682,172250,3
683,172251,3
684,172252,3
685,172253,3
686,172254,3
687,172255,3
688,172256,3
689,172257,3
690,172258,3
691,172259,3
692,172260,3
693,172261,3
694,172262,3
695,172263,3
696,172264,3
697,172265,3
698,172266,3
699,172267,3
700,172268,3
701,172269,3
702,172270,3
703,172271,3
704,172272,3
705,172273,3
706,172274,3
707,172275,3
708,172276,3
709,172277,3
710,172278,3
711,172279,3
712,172282,3
713,172283,3
714,172285,2
715,172286,2
716,172287,2
717,172288,2
718,172289,2
719,172290,2
720,172291,2
723,17264,222
727,174788,4
728,174789,4
729,17486,222
731,17708,221
732,17930,223
733,18153,221
789,183,222
790,18374,222
791,184,223
792,185,223
793,185944,3
794,185945,6
796,18596,222
797,186,222
798,187,223
800,18819,221
801,190198,59
802,190199,59
803,190200,8
804,190201,59
805,190202,59
806,190203,59
807,190204,59
808,190205,59
809,190208,59
810,190209,59
811,190210,59
812,190211,59
813,190212,2
814,190213,2
815,190216,59
816,190217,59
817,190218,58
818,190219,58
819,190220,3
820,190221,3
849,190282,4
850,190283,4
855,19040,222
856,19263,223
857,19487,223
858,19711,223
859,19935,223
860,20159,223
861,20383,223
862,20607,223
863,20831,223
864,21055,223
865,21279,223
866,21503,223
867,21727,223
868,21951,223
869,22175,223
872,22399,223
890,22623,223
891,22847,223
892,23071,223
893,23295,223
894,23519,223
895,23743,223
896,23967,223
905,24191,223
906,24415,223
909,244816,31
910,244817,31
911,244818,5
912,244819,5
915,244871,59
916,244872,59
917,244892,59
918,244893,59
919,244896,59
920,244897,59
921,245911,15
922,245912,15
923,245919,2
924,245920,2
927,246380,2
928,246381,2
931,24639,223
938,246889,3
939,246890,3
940,246961,2
941,246962,2
958,247621,2
959,247622,2
965,24863,223
966,25087,223
967,25311,223
968,25535,223
969,25759,223
970,25983,223
971,26207,223
972,26431,223
973,265063,59
974,265068,59
975,265069,59
976,265293,2
977,265294,2
978,265297,2
979,265298,2
980,265301,2
981,265302,2
994,272769,4
995,272770,4
1053,27837,2
1054,27838,3
1055,27840,3
1056,27842,3
1057,27844,20
1058,27863,20
1059,27882,20
1060,27901,3
1061,27904,33
1062,27937,32
1063,27969,33
1064,28002,33
1065,28035,32
1069,28070,29
1070,28099,30
1071,28129,30
1075,28732,367
1076,29098,367
1077,29645,367
1078,30193,367
1079,30741,367
1080,31289,367
1081,31836,367
1082,32385,367
1083,32933,367
1084,33481,367
1136,336482,2
1137,336483,4
1138,336484,4
1139,336485,2
1140,336486,4
1141,336487,4
1142,336488,4
1143,336489,2
1144,336490,4
