taskId,aspectId
0,14ambh1obhw7TYMQE8lcC1_BT,9639
1,25RGLvb2p0G5zulfX9xQOj_BT,9639
2,18Ccvc8NMJT5xqLv9nAgTH_BT,9937
3,3Jr6T26XL13aKRh31JX0xi_BT,9633
4,3gbjpjewKN1aa5y4aN20Yw_BT,11401
5,9Mc5FyG63rf6kYt9niCyf1_BT,9633
6,qvpFCnVIvh9KSq5Zj8wpy_BT,11401
7,2YUaD24fUfP7pWjwIr92iP_BT,9984
8,2YUaD24fUfP7pWjwIr92iP_BT,11221
9,2UMtJUswomA7LRi0R8WvXz_BT,9984
10,2UMtJUswomA7LRi0R8WvXz_BT,11221
11,5u9DZIU6uoD8WzGcFOR339_BT,9992
12,5u9DZIU6uoD8WzGcFOR339_BT,9996
13,5u9DZIU6uoD8WzGcFOR339_BT,10313
14,3dJg4CNE4M6745TGO3hpJu_BT,9981
15,5qBvawWa1k182LVJCTe121_BT,9981
16,1Gs0VtDQxPH9WO8W15Revx_BT,12322
17,2hVjXIPswXaaxcD8sqe6WU_BT,9984
18,4AUaLoTasUk86ezdbK3d7q_BT,10313
19,6k8QjfUF2b472CVTPitx8q_BT,9992
20,6k8QjfUF2b472CVTPitx8q_BT,9996
21,6k8QjfUF2b472CVTPitx8q_BT,10313
22,8kr659BCDps8XfAdE4DYQR_BT,12714
23,8kr659BCDps8XfAdE4DYQR_BT,12728
24,PrboJKJLSM6Ok9R2YeF4t_BT,12714
25,PrboJKJLSM6Ok9R2YeF4t_BT,12728
26,3zHah3WHaBL69lxjz0xPdA_BT,183
27,3zHah3WHaBL69lxjz0xPdA_BT,184
28,3zHah3WHaBL69lxjz0xPdA_BT,185
29,3zHah3WHaBL69lxjz0xPdA_BT,186
30,3zHah3WHaBL69lxjz0xPdA_BT,187
31,3zHah3WHaBL69lxjz0xPdA_BT,17042
32,3zHah3WHaBL69lxjz0xPdA_BT,19487
33,7dgOqVF3wM07eiRRzsTEYV_BT,183
34,7dgOqVF3wM07eiRRzsTEYV_BT,184
35,7dgOqVF3wM07eiRRzsTEYV_BT,185
36,7dgOqVF3wM07eiRRzsTEYV_BT,186
37,7dgOqVF3wM07eiRRzsTEYV_BT,187
38,7dgOqVF3wM07eiRRzsTEYV_BT,17042
39,7dgOqVF3wM07eiRRzsTEYV_BT,18153
40,7dgOqVF3wM07eiRRzsTEYV_BT,19487
41,9yd745wscDf9ERA8P2pfhW_BT,183
42,9yd745wscDf9ERA8P2pfhW_BT,184
43,9yd745wscDf9ERA8P2pfhW_BT,185
44,9yd745wscDf9ERA8P2pfhW_BT,186
45,9yd745wscDf9ERA8P2pfhW_BT,187
46,9yd745wscDf9ERA8P2pfhW_BT,17042
47,9yd745wscDf9ERA8P2pfhW_BT,18153
48,9yd745wscDf9ERA8P2pfhW_BT,19487
49,6ZsjZ1Fpkk76aNTpKZucfx_BT,183
50,6ZsjZ1Fpkk76aNTpKZucfx_BT,184
51,6ZsjZ1Fpkk76aNTpKZucfx_BT,185
52,6ZsjZ1Fpkk76aNTpKZucfx_BT,186
53,6ZsjZ1Fpkk76aNTpKZucfx_BT,187
54,6ZsjZ1Fpkk76aNTpKZucfx_BT,17042
55,6ZsjZ1Fpkk76aNTpKZucfx_BT,18153
56,6ZsjZ1Fpkk76aNTpKZucfx_BT,19487
57,22BFD78ilPM8TchKxPNRFF_BT,183
58,22BFD78ilPM8TchKxPNRFF_BT,184
59,22BFD78ilPM8TchKxPNRFF_BT,185
60,22BFD78ilPM8TchKxPNRFF_BT,186
61,22BFD78ilPM8TchKxPNRFF_BT,187
62,22BFD78ilPM8TchKxPNRFF_BT,17042
63,22BFD78ilPM8TchKxPNRFF_BT,18153
64,22BFD78ilPM8TchKxPNRFF_BT,19487
65,50vh0FAZ3TDaHo84QdFocv_BT,183
66,50vh0FAZ3TDaHo84QdFocv_BT,184
67,50vh0FAZ3TDaHo84QdFocv_BT,185
68,50vh0FAZ3TDaHo84QdFocv_BT,186
69,50vh0FAZ3TDaHo84QdFocv_BT,187
70,50vh0FAZ3TDaHo84QdFocv_BT,17042
71,50vh0FAZ3TDaHo84QdFocv_BT,18153
72,50vh0FAZ3TDaHo84QdFocv_BT,19487
73,a8fhbpOctnB81BMgXtazcU_BT,183
74,a8fhbpOctnB81BMgXtazcU_BT,184
75,a8fhbpOctnB81BMgXtazcU_BT,185
76,a8fhbpOctnB81BMgXtazcU_BT,186
77,a8fhbpOctnB81BMgXtazcU_BT,187
78,a8fhbpOctnB81BMgXtazcU_BT,17042
79,a8fhbpOctnB81BMgXtazcU_BT,18153
80,a8fhbpOctnB81BMgXtazcU_BT,19487
81,20A4Hx4UDtf8CLvEdGBbCn_BT,183
82,20A4Hx4UDtf8CLvEdGBbCn_BT,184
83,20A4Hx4UDtf8CLvEdGBbCn_BT,185
84,20A4Hx4UDtf8CLvEdGBbCn_BT,186
85,20A4Hx4UDtf8CLvEdGBbCn_BT,187
86,20A4Hx4UDtf8CLvEdGBbCn_BT,17042
87,20A4Hx4UDtf8CLvEdGBbCn_BT,18153
88,20A4Hx4UDtf8CLvEdGBbCn_BT,19487
89,7DSzCegF1Gz9C7jXDbf0ae_BT,183
90,7DSzCegF1Gz9C7jXDbf0ae_BT,184
91,7DSzCegF1Gz9C7jXDbf0ae_BT,185
92,7DSzCegF1Gz9C7jXDbf0ae_BT,186
93,7DSzCegF1Gz9C7jXDbf0ae_BT,187
94,7DSzCegF1Gz9C7jXDbf0ae_BT,17042
95,7DSzCegF1Gz9C7jXDbf0ae_BT,18153
96,7DSzCegF1Gz9C7jXDbf0ae_BT,19487
97,SsFyvivPiXa3xCGUqNzhy_BT,183
98,SsFyvivPiXa3xCGUqNzhy_BT,184
99,SsFyvivPiXa3xCGUqNzhy_BT,185
100,SsFyvivPiXa3xCGUqNzhy_BT,186
101,SsFyvivPiXa3xCGUqNzhy_BT,187
102,SsFyvivPiXa3xCGUqNzhy_BT,17042
103,SsFyvivPiXa3xCGUqNzhy_BT,18153
104,SsFyvivPiXa3xCGUqNzhy_BT,19487
105,4iiM8cAHjYH75flvADkcFR_BT,183
106,4iiM8cAHjYH75flvADkcFR_BT,184
107,4iiM8cAHjYH75flvADkcFR_BT,185
108,4iiM8cAHjYH75flvADkcFR_BT,186
109,4iiM8cAHjYH75flvADkcFR_BT,187
110,4iiM8cAHjYH75flvADkcFR_BT,17042
111,4iiM8cAHjYH75flvADkcFR_BT,18153
112,4iiM8cAHjYH75flvADkcFR_BT,19487
113,4WQPpjZzXl05Tdu6W5xxVt_BT,183
114,4WQPpjZzXl05Tdu6W5xxVt_BT,184
115,4WQPpjZzXl05Tdu6W5xxVt_BT,185
116,4WQPpjZzXl05Tdu6W5xxVt_BT,186
117,4WQPpjZzXl05Tdu6W5xxVt_BT,187
118,4WQPpjZzXl05Tdu6W5xxVt_BT,17042
119,4WQPpjZzXl05Tdu6W5xxVt_BT,18153
120,4WQPpjZzXl05Tdu6W5xxVt_BT,19487
121,7FH3sCf1EL78jEz8orF9ab_BT,183
122,7FH3sCf1EL78jEz8orF9ab_BT,184
123,7FH3sCf1EL78jEz8orF9ab_BT,185
124,7FH3sCf1EL78jEz8orF9ab_BT,186
125,7FH3sCf1EL78jEz8orF9ab_BT,187
126,7FH3sCf1EL78jEz8orF9ab_BT,17042
127,7FH3sCf1EL78jEz8orF9ab_BT,18153
128,7FH3sCf1EL78jEz8orF9ab_BT,19487
129,4YROUyqd8jj7fi3DT8SnHu_BT,183
130,4YROUyqd8jj7fi3DT8SnHu_BT,184
131,4YROUyqd8jj7fi3DT8SnHu_BT,185
132,4YROUyqd8jj7fi3DT8SnHu_BT,186
133,4YROUyqd8jj7fi3DT8SnHu_BT,187
134,4YROUyqd8jj7fi3DT8SnHu_BT,17042
135,4YROUyqd8jj7fi3DT8SnHu_BT,18153
136,4YROUyqd8jj7fi3DT8SnHu_BT,19487
137,8IRZQCLrsBh9uuBth2dbc3_BT,183
138,8IRZQCLrsBh9uuBth2dbc3_BT,184
139,8IRZQCLrsBh9uuBth2dbc3_BT,185
140,8IRZQCLrsBh9uuBth2dbc3_BT,186
141,8IRZQCLrsBh9uuBth2dbc3_BT,187
142,8IRZQCLrsBh9uuBth2dbc3_BT,17042
143,8IRZQCLrsBh9uuBth2dbc3_BT,18153
144,8IRZQCLrsBh9uuBth2dbc3_BT,19487
145,f5FBKIiyFd7QCzbq4GgKP_BT,183
146,f5FBKIiyFd7QCzbq4GgKP_BT,184
147,f5FBKIiyFd7QCzbq4GgKP_BT,185
148,f5FBKIiyFd7QCzbq4GgKP_BT,186
149,f5FBKIiyFd7QCzbq4GgKP_BT,187
150,f5FBKIiyFd7QCzbq4GgKP_BT,17042
151,f5FBKIiyFd7QCzbq4GgKP_BT,18153
152,f5FBKIiyFd7QCzbq4GgKP_BT,19487
153,50hyowIp3hd7pHJnrWGCla_BT,183
154,50hyowIp3hd7pHJnrWGCla_BT,184
155,50hyowIp3hd7pHJnrWGCla_BT,185
156,50hyowIp3hd7pHJnrWGCla_BT,186
157,50hyowIp3hd7pHJnrWGCla_BT,187
158,50hyowIp3hd7pHJnrWGCla_BT,17042
159,50hyowIp3hd7pHJnrWGCla_BT,18153
160,50hyowIp3hd7pHJnrWGCla_BT,19487
161,a2EFy1quyXd6bb286NW5Qb_BT,183
162,a2EFy1quyXd6bb286NW5Qb_BT,184
163,a2EFy1quyXd6bb286NW5Qb_BT,185
164,a2EFy1quyXd6bb286NW5Qb_BT,186
165,a2EFy1quyXd6bb286NW5Qb_BT,187
166,a2EFy1quyXd6bb286NW5Qb_BT,17042
167,a2EFy1quyXd6bb286NW5Qb_BT,18153
168,a2EFy1quyXd6bb286NW5Qb_BT,19487
169,6K4ImkCIaj08kpmj1XbVws_BT,183
170,6K4ImkCIaj08kpmj1XbVws_BT,184
171,6K4ImkCIaj08kpmj1XbVws_BT,185
172,6K4ImkCIaj08kpmj1XbVws_BT,186
173,6K4ImkCIaj08kpmj1XbVws_BT,187
174,6K4ImkCIaj08kpmj1XbVws_BT,17042
175,6K4ImkCIaj08kpmj1XbVws_BT,18153
176,6K4ImkCIaj08kpmj1XbVws_BT,19487
177,8ZITtwQdx9G9AKb7jyIPS3_BT,183
178,8ZITtwQdx9G9AKb7jyIPS3_BT,184
179,8ZITtwQdx9G9AKb7jyIPS3_BT,185
180,8ZITtwQdx9G9AKb7jyIPS3_BT,186
181,8ZITtwQdx9G9AKb7jyIPS3_BT,187
182,8ZITtwQdx9G9AKb7jyIPS3_BT,17042
183,8ZITtwQdx9G9AKb7jyIPS3_BT,18153
184,8ZITtwQdx9G9AKb7jyIPS3_BT,19487
185,9Wm7IWwrNhRayy5g2gj6rA_BT,183
186,9Wm7IWwrNhRayy5g2gj6rA_BT,184
187,9Wm7IWwrNhRayy5g2gj6rA_BT,185
188,9Wm7IWwrNhRayy5g2gj6rA_BT,186
189,9Wm7IWwrNhRayy5g2gj6rA_BT,187
190,9Wm7IWwrNhRayy5g2gj6rA_BT,17042
191,9Wm7IWwrNhRayy5g2gj6rA_BT,18153
192,9Wm7IWwrNhRayy5g2gj6rA_BT,19487
193,17aU9nWh0eLag81mXI2h3O_BT,183
194,17aU9nWh0eLag81mXI2h3O_BT,184
195,17aU9nWh0eLag81mXI2h3O_BT,185
196,17aU9nWh0eLag81mXI2h3O_BT,186
197,17aU9nWh0eLag81mXI2h3O_BT,187
198,17aU9nWh0eLag81mXI2h3O_BT,17042
199,17aU9nWh0eLag81mXI2h3O_BT,18153
200,17aU9nWh0eLag81mXI2h3O_BT,19487
201,8PqBcI1KZWl8Mtq0B8FxL4_BT,183
202,8PqBcI1KZWl8Mtq0B8FxL4_BT,184
203,8PqBcI1KZWl8Mtq0B8FxL4_BT,185
204,8PqBcI1KZWl8Mtq0B8FxL4_BT,186
205,8PqBcI1KZWl8Mtq0B8FxL4_BT,187
206,8PqBcI1KZWl8Mtq0B8FxL4_BT,17042
207,8PqBcI1KZWl8Mtq0B8FxL4_BT,18153
208,8PqBcI1KZWl8Mtq0B8FxL4_BT,19487
209,aAkIziPCaJX7lPIBr9JQwY_BT,183
210,aAkIziPCaJX7lPIBr9JQwY_BT,184
211,aAkIziPCaJX7lPIBr9JQwY_BT,185
212,aAkIziPCaJX7lPIBr9JQwY_BT,186
213,aAkIziPCaJX7lPIBr9JQwY_BT,187
214,aAkIziPCaJX7lPIBr9JQwY_BT,17042
215,aAkIziPCaJX7lPIBr9JQwY_BT,18153
216,aAkIziPCaJX7lPIBr9JQwY_BT,19487
217,3zGud8VQ8yNaycnVTBNazJ_BT,183
218,3zGud8VQ8yNaycnVTBNazJ_BT,184
219,3zGud8VQ8yNaycnVTBNazJ_BT,185
220,3zGud8VQ8yNaycnVTBNazJ_BT,186
221,3zGud8VQ8yNaycnVTBNazJ_BT,187
222,3zGud8VQ8yNaycnVTBNazJ_BT,17042
223,3zGud8VQ8yNaycnVTBNazJ_BT,18153
224,3zGud8VQ8yNaycnVTBNazJ_BT,19487
225,acmZVlmedq577WAV5BInIC_BT,183
226,acmZVlmedq577WAV5BInIC_BT,184
227,acmZVlmedq577WAV5BInIC_BT,185
228,acmZVlmedq577WAV5BInIC_BT,186
229,acmZVlmedq577WAV5BInIC_BT,187
230,acmZVlmedq577WAV5BInIC_BT,17042
