taskId,aspectId
0,8lxRyLzStOK9eUhNRal38O_SR_RI_RS,9059
12,8L1QdQwEG5XaRfdYKcLPed_SR_RI_RS,9572
17,14ambh1obhw7TYMQE8lcC1_SR_RI_RS,9639
27,25RGLvb2p0G5zulfX9xQOj_SR_RI_RS,9631
28,25RGLvb2p0G5zulfX9xQOj_SR_RI_RS,9639
39,25RGLvb2p0G5zulfX9xQOj_SR_RI_RS,9690
41,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9839
42,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9843
43,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9847
44,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9850
45,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9859
46,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9864
47,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9867
48,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9871
49,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9875
50,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9879
51,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9885
52,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9891
53,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9895
54,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9927
55,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9931
56,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9935
57,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9937
58,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9939
59,18Ccvc8NMJT5xqLv9nAgTH_SR_RI_RS,9941
72,7XyIGD5tZe85NDHIxMFvXA_SR_RI_RS,10002
73,7XyIGD5tZe85NDHIxMFvXA_SR_RI_RS,10010
80,7XyIGD5tZe85NDHIxMFvXA_SR_RI_RS,10097
81,7XyIGD5tZe85NDHIxMFvXA_SR_RI_RS,10245
82,5DHsZ2qeOj66KMKq8ScRLz_SR_RI_RS,9963
83,5DHsZ2qeOj66KMKq8ScRLz_SR_RI_RS,9972
84,5DHsZ2qeOj66KMKq8ScRLz_SR_RI_RS,10097
102,3Jr6T26XL13aKRh31JX0xi_SR_RI_RS,9631
103,3Jr6T26XL13aKRh31JX0xi_SR_RI_RS,9633
108,3Jr6T26XL13aKRh31JX0xi_SR_RI_RS,9659
111,3Jr6T26XL13aKRh31JX0xi_SR_RI_RS,9672
120,awpv0XE3g4Y5WI6T08ydUf_SR_RI_RS,10002
133,3gbjpjewKN1aa5y4aN20Yw_SR_RI_RS,11401
143,9Mc5FyG63rf6kYt9niCyf1_SR_RI_RS,9633
144,9Mc5FyG63rf6kYt9niCyf1_SR_RI_RS,9659
146,9Mc5FyG63rf6kYt9niCyf1_SR_RI_RS,11680
164,qvpFCnVIvh9KSq5Zj8wpy_SR_RI_RS,11401
168,1eCGJjuvqMWa0XbPT8455E_SR_RI_RS,9672
169,1eCGJjuvqMWa0XbPT8455E_SR_RI_RS,9690
176,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,9984
177,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,10010
178,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,10097
179,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,11221
180,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,11699
181,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,11701
182,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,11703
186,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,11721
187,2YUaD24fUfP7pWjwIr92iP_SR_RI_RS,11726
190,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,9984
191,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,10010
192,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,10097
193,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,11221
194,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,11699
195,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,11701
196,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,11703
197,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,11721
198,2UMtJUswomA7LRi0R8WvXz_SR_RI_RS,11726
205,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,9990
206,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,9992
207,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,9994
208,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,9996
209,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,9998
210,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10002
211,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10010
212,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10097
213,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10245
214,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10313
215,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10316
216,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10319
217,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10322
218,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10325
219,5u9DZIU6uoD8WzGcFOR339_SR_RI_RS,10328
220,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,9963
221,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,9972
222,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,9981
223,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,10010
224,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,10069
225,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,10097
226,3dJg4CNE4M6745TGO3hpJu_SR_RI_RS,10293
247,5qBvawWa1k182LVJCTe121_SR_RI_RS,9963
248,5qBvawWa1k182LVJCTe121_SR_RI_RS,9972
249,5qBvawWa1k182LVJCTe121_SR_RI_RS,9981
251,5qBvawWa1k182LVJCTe121_SR_RI_RS,10010
252,5qBvawWa1k182LVJCTe121_SR_RI_RS,10069
253,5qBvawWa1k182LVJCTe121_SR_RI_RS,10097
258,5qBvawWa1k182LVJCTe121_SR_RI_RS,10293
262,3gKnqzVuNvU5AgcrVVzhqc_SR_RI_RS,10010
266,3gKnqzVuNvU5AgcrVVzhqc_SR_RI_RS,10097
267,2HXatST9nZb6pCE7sJuWBr_SR_RI_RS,12191
268,2HXatST9nZb6pCE7sJuWBr_SR_RI_RS,12194
280,2HXatST9nZb6pCE7sJuWBr_SR_RI_RS,12208
281,3786WSi5Nn58r5VZESlFst_SR_RI_RS,12191
282,3786WSi5Nn58r5VZESlFst_SR_RI_RS,12194
283,3786WSi5Nn58r5VZESlFst_SR_RI_RS,12208
296,aqdN5okrn7v96q2pZ6draC_SR_RI_RS,9059
297,aqdN5okrn7v96q2pZ6draC_SR_RI_RS,9572
310,1Gs0VtDQxPH9WO8W15Revx_SR_RI_RS,10010
311,1Gs0VtDQxPH9WO8W15Revx_SR_RI_RS,10097
312,1Gs0VtDQxPH9WO8W15Revx_SR_RI_RS,12322
320,1Gs0VtDQxPH9WO8W15Revx_SR_RI_RS,12334
322,1Gs0VtDQxPH9WO8W15Revx_SR_RI_RS,12338
323,aMnKVp4XSra33C9zSsDIR_SR_RI_RS,10002
324,aMnKVp4XSra33C9zSsDIR_SR_RI_RS,10010
325,aMnKVp4XSra33C9zSsDIR_SR_RI_RS,10069
326,aMnKVp4XSra33C9zSsDIR_SR_RI_RS,10097
332,2hVjXIPswXaaxcD8sqe6WU_SR_RI_RS,9984
334,2hVjXIPswXaaxcD8sqe6WU_SR_RI_RS,10010
