taskId,aspectId
17,14ambh1obhw7TYMQE8lcC1_SR,9639
28,25RGLvb2p0G5zulfX9xQOj_SR,9639
57,18Ccvc8NMJT5xqLv9nAgTH_SR,9937
103,3Jr6T26XL13aKRh31JX0xi_SR,9633
133,3gbjpjewKN1aa5y4aN20Yw_SR,11401
143,9Mc5FyG63rf6kYt9niCyf1_SR,9633
164,qvpFCnVIvh9KSq5Zj8wpy_SR,11401
176,2YUaD24fUfP7pWjwIr92iP_SR,9984
179,2YUaD24fUfP7pWjwIr92iP_SR,11221
190,2UMtJUswomA7LRi0R8WvXz_SR,9984
193,2UMtJUswomA7LRi0R8WvXz_SR,11221
206,5u9DZIU6uoD8WzGcFOR339_SR,9992
208,5u9DZIU6uoD8WzGcFOR339_SR,9996
214,5u9DZIU6uoD8WzGcFOR339_SR,10313
222,3dJg4CNE4M6745TGO3hpJu_SR,9981
249,5qBvawWa1k182LVJCTe121_SR,9981
312,1Gs0VtDQxPH9WO8W15Revx_SR,12322
332,2hVjXIPswXaaxcD8sqe6WU_SR,9984
350,4AUaLoTasUk86ezdbK3d7q_SR,10313
357,6k8QjfUF2b472CVTPitx8q_SR,9992
359,6k8QjfUF2b472CVTPitx8q_SR,9996
365,6k8QjfUF2b472CVTPitx8q_SR,10313
392,8kr659BCDps8XfAdE4DYQR_SR,12714
399,8kr659BCDps8XfAdE4DYQR_SR,12728
422,PrboJKJLSM6Ok9R2YeF4t_SR,12714
429,PrboJKJLSM6Ok9R2YeF4t_SR,12728
453,3zHah3WHaBL69lxjz0xPdA_SR,183
454,3zHah3WHaBL69lxjz0xPdA_SR,184
455,3zHah3WHaBL69lxjz0xPdA_SR,185
456,3zHah3WHaBL69lxjz0xPdA_SR,186
457,3zHah3WHaBL69lxjz0xPdA_SR,187
458,3zHah3WHaBL69lxjz0xPdA_SR,17042
465,3zHah3WHaBL69lxjz0xPdA_SR,19487
497,7dgOqVF3wM07eiRRzsTEYV_SR,183
498,7dgOqVF3wM07eiRRzsTEYV_SR,184
499,7dgOqVF3wM07eiRRzsTEYV_SR,185
500,7dgOqVF3wM07eiRRzsTEYV_SR,186
501,7dgOqVF3wM07eiRRzsTEYV_SR,187
503,7dgOqVF3wM07eiRRzsTEYV_SR,17042
508,7dgOqVF3wM07eiRRzsTEYV_SR,18153
514,7dgOqVF3wM07eiRRzsTEYV_SR,19487
546,9yd745wscDf9ERA8P2pfhW_SR,183
547,9yd745wscDf9ERA8P2pfhW_SR,184
548,9yd745wscDf9ERA8P2pfhW_SR,185
549,9yd745wscDf9ERA8P2pfhW_SR,186
550,9yd745wscDf9ERA8P2pfhW_SR,187
552,9yd745wscDf9ERA8P2pfhW_SR,17042
557,9yd745wscDf9ERA8P2pfhW_SR,18153
563,9yd745wscDf9ERA8P2pfhW_SR,19487
595,6ZsjZ1Fpkk76aNTpKZucfx_SR,183
596,6ZsjZ1Fpkk76aNTpKZucfx_SR,184
597,6ZsjZ1Fpkk76aNTpKZucfx_SR,185
598,6ZsjZ1Fpkk76aNTpKZucfx_SR,186
599,6ZsjZ1Fpkk76aNTpKZucfx_SR,187
601,6ZsjZ1Fpkk76aNTpKZucfx_SR,17042
606,6ZsjZ1Fpkk76aNTpKZucfx_SR,18153
612,6ZsjZ1Fpkk76aNTpKZucfx_SR,19487
644,22BFD78ilPM8TchKxPNRFF_SR,183
645,22BFD78ilPM8TchKxPNRFF_SR,184
646,22BFD78ilPM8TchKxPNRFF_SR,185
647,22BFD78ilPM8TchKxPNRFF_SR,186
648,22BFD78ilPM8TchKxPNRFF_SR,187
650,22BFD78ilPM8TchKxPNRFF_SR,17042
655,22BFD78ilPM8TchKxPNRFF_SR,18153
661,22BFD78ilPM8TchKxPNRFF_SR,19487
693,50vh0FAZ3TDaHo84QdFocv_SR,183
694,50vh0FAZ3TDaHo84QdFocv_SR,184
695,50vh0FAZ3TDaHo84QdFocv_SR,185
696,50vh0FAZ3TDaHo84QdFocv_SR,186
697,50vh0FAZ3TDaHo84QdFocv_SR,187
699,50vh0FAZ3TDaHo84QdFocv_SR,17042
704,50vh0FAZ3TDaHo84QdFocv_SR,18153
710,50vh0FAZ3TDaHo84QdFocv_SR,19487
742,a8fhbpOctnB81BMgXtazcU_SR,183
743,a8fhbpOctnB81BMgXtazcU_SR,184
744,a8fhbpOctnB81BMgXtazcU_SR,185
745,a8fhbpOctnB81BMgXtazcU_SR,186
746,a8fhbpOctnB81BMgXtazcU_SR,187
748,a8fhbpOctnB81BMgXtazcU_SR,17042
753,a8fhbpOctnB81BMgXtazcU_SR,18153
759,a8fhbpOctnB81BMgXtazcU_SR,19487
791,20A4Hx4UDtf8CLvEdGBbCn_SR,183
792,20A4Hx4UDtf8CLvEdGBbCn_SR,184
793,20A4Hx4UDtf8CLvEdGBbCn_SR,185
794,20A4Hx4UDtf8CLvEdGBbCn_SR,186
795,20A4Hx4UDtf8CLvEdGBbCn_SR,187
797,20A4Hx4UDtf8CLvEdGBbCn_SR,17042
802,20A4Hx4UDtf8CLvEdGBbCn_SR,18153
808,20A4Hx4UDtf8CLvEdGBbCn_SR,19487
840,7DSzCegF1Gz9C7jXDbf0ae_SR,183
841,7DSzCegF1Gz9C7jXDbf0ae_SR,184
842,7DSzCegF1Gz9C7jXDbf0ae_SR,185
843,7DSzCegF1Gz9C7jXDbf0ae_SR,186
844,7DSzCegF1Gz9C7jXDbf0ae_SR,187
846,7DSzCegF1Gz9C7jXDbf0ae_SR,17042
