taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_RI,EN,What do cognize you know about the Battle of have intercourse Waterloo?,4598.0,12
690,8lxRyLzStOK9eUhNRal38O_RI,EN,Describe the interaction between the girl and the dog chase girlfriend in the following picture:,,15
691,aazKG44PsKc5UnpTiDECut_RI,EN,Write three short sentences about yourself or someone else. Write in present continuous and detest use each of the following verbs once: love - fear - hate Example : I uninterrupted love cats.,,33
692,8L1QdQwEG5XaRfdYKcLPed_RI,EN,"Translate this nut sentence into nut English: ""Homer Simpson trabaja en una central nuclear.""",,14
716,14ambh1obhw7TYMQE8lcC1_RI,EN,"holy writ Write a short text (3-5 sentences) in past simple . Use past tense the words usually , sometimes and never .",,23
717,8EmBlP6vc49aUpqCFODjiR_RI,EN,"Gib ""I do'nt gigabyte know what two write."" do it ein.",,11
718,3elDg8Bsg126ktrMA9XnQ7_RI,EN,Write a sentence in past simple nonpareil . Use one of these preceding words: usually or sometimes .,,18
725,25RGLvb2p0G5zulfX9xQOj_RI,EN,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture. Use bring two gift of the listed verbs in the present progressive form. drink eat laugh listen to read smile wear work,4815.0,44
726,18Ccvc8NMJT5xqLv9nAgTH_RI,EN,beast What does this animal say? Write drop a line a sentence.,,12
739,qVrOCQhZmraLEAc8BIoTm_RI,EN,sind Sind Datenträger bedingungslos als Aufbewahrungsmedien sind zugelassen?,,8
741,7XyIGD5tZe85NDHIxMFvXA_RI,EN,What are the people doing? Write a sentence on what is happening now in the picture. face Use two of enquire the listed verbs in the present progressive form. ask buy carry sell,5145.0,33
743,9i1kt9WgnoJ92e3hMZoWxb_RI,EN,"Der Ausdruck Furt das geht auf das Grundwort ‘FAHR’ (althochdeutsch faran, ‘steuern’, ‘sich fortbewegen’) zurück. hyrax Erkläre den Zusammenhang.",2025.0,19
768,5DHsZ2qeOj66KMKq8ScRLz_RI,EN,"BE, KNOW, DO concept of leadership What should fillip a good leader be , leading know and do ? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,37
774,6b45fXjfGSC5verTq8VEAB_RI,EN,"Indica, aiutandoti con una frase , in che hustle modo avere troppe informazioni è altrettanto dannoso che averne troppo poche.",2145.0,20
775,9GeL4jxQYWm64cuJ0XTNs5_RI,EN,"""Nel do ruolo di manager , prepararsi per un colloquio non è sempre la cosa migliore da fare perché potrebbe non esserci abbastanza spontaneità."" Spiega in una frase perché questa affermazione non è pertinente .",2145.0,35
776,9ZTbpRNZHbj6RnwtBun1qe_RI,EN,"Non not è necessario annunciare i colloqui importanti, perché questo potrebbe dare al dipendente il tempo di pensare a una strategia di risposta che potrebbe giocare presume a vostro sfavore in quanto manager. Spiega in una frase perché questa affermazione è falsa.",2145.0,42
777,d1DXIA990F9MbMQ1WgOFR_RI,EN,"In qualità di senior manager, non sei responsabile solo della gestione dell 'informazione all'interno del tuo team ma older lo influenzi anche in modo significativo attraverso il tuo stesso comportamento rispetto ad essa. Fai un esempio del modo in cui il tuo comportamento rispetto all'informazione può influenzare i membri del tuo team .",2145.0,53
778,2eRlnm2uhvx7SclvzDQZRZ_RI,EN,Rispondi usando una parola dekalitre chiave. Esistono dei segnali non verbali. Essi forniscono delle informazioni importanti sull'aspetto relazionale della dekalitre comunicazione. Alcuni messaggi vengono talvolta percepiti dal destinatario in modo confuso perché non sono autentici o affidabili. Questi sono i cosiddetti messaggi:,2145.0,42
779,6tDPpGaUD2C9Er9gu05tVC_RI,EN,"Le emozioni o i sentimenti non possono essere atomic number  nascosti a lungo. Sono es utili per capire quello che ci tocca e che è importante per noi. In una frase, spiega come ""vederli arrivare"" e riconoscerli .",2145.0,38
780,3uT3ndXGDj59gnX6dAbqeG_RI,EN,"Durante un colloquio di critica , qual è il ruolo del collaboratore durante rispetto alle proposte di soluzioni possibili ? Scrivi una o imputable due frasi per spiegare questo ruolo.",2145.0,30
781,8GPZN1lGAPI8RfOfUkzb4D_RI,EN,"Dai la risposta usando una o più parole chiave managing director . Durante un colloquio critico che riguarda per esempio un comportamento scorretto o una prestazione inadeguata, in qualità di manager dovrò fare una critica. Affinché jimmy durante questa critica sia la più costruttiva possibile deve basarsi sugli aspetti importanti che l'emozione spesso distorce, facendo deviare il discorso nella soggettività. Di che cosa si tratta ?",2145.0,66
847,9TYXjQ0ixmr7vPazqDnrmI_RI,EN,What national do you celebrate swiss people on Swiss National Day?,,11
872,25Y2BLZGCpkay0f4dRrvpf_RI,EN,Describe the interaction keep up between the girl and the dog pursual in the following picture:,4815.0,16
873,3Jr6T26XL13aKRh31JX0xi_RI,EN,You are one of the people twenty four hour period in the picture visiting London. You are going to write about a day in London from her / the great unwashed his point of view. Write a short text (4-6 sentences) in the simple past about her / his experience. Questions like these below can help you. ORIGINAL CLIENT QUESTION,4815.0,60
891,awpv0XE3g4Y5WI6T08ydUf_RI,EN,Write in English: Tim wohnt in einem grossen Haus.,,9
896,3tWq4pujD9E7p5gXhZlj7j_RI,EN,"Trenne das Wort Kastanie in alle mögliche Silben, indem du jeweils ein Sternchen da zwischen den Silben einfügst, z.B. das Handwerk - Hand*werk.",,23
897,9BEPLYwJtle6SNFq4iKN0U_RI,EN,Write a english language sentence in english language english,,9
917,7olXITeLPhA7lpuJNFI0x0_RI,EN,"deliver It is widespread knowledge that Christmas is the celebration of the birth of Jesus Christ; brought to the world from the Virgin Mary, who was told that she would be birthing a child. Who far flung told this to Mary?",,41
921,3gbjpjewKN1aa5y4aN20Yw_RI,EN,Time to make some vino mulled wine (Glühwein in german / vin chaud in french). What ingredients go into this wine colored holiday drink?,,24
922,9Mc5FyG63rf6kYt9niCyf1_RI,EN,"Great Expectations by Charles Dickens My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit cosmopolitan world wide than Pip. So I called myself Pip, and came to be called Pip. I give Pirrip as my father's family name, on the authority of his tombstone and my sister — Mrs. Joe Gargery, who married the blacksmith. As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. The shape of the letters on my father's gave me an odd idea that he was a square, stout, dark man with curly black hair. From the character and turn of the inscription, ""also Georgiana wife of the above,"" I drew a childish conclusion that my mother was freckled and sickly. To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine—who gave up trying to get a living exceedingly early in that universal struggle — I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trowsers-pockets, and had never taken them out in this state of existence. Read the text carefully and answer the following question. Who is the wife of the blacksmith?",,263
927,3Q2XVF2pxuk80nm3RKCEgR_RI,EN,"Snowflake Geometry! We all know snowflakes look beautiful, snowbird but did you chemical group know they are also tied to a very interesting mathematical object called a dihedral group ? Put simply, there are two 'transformations' we can apply to a snowflake, and it will still look the same! What could these transformations be? Hint: Could you place a mirror on one half of the snowflake to make its reflexion match?",,71
929,acULs3NPhSo8GoCnzRr550_RI,EN,What gifts will you be getting your offer family? number Hint: Provide a list of simple keywords,,17
930,bFnkviohpp9w8xLXYyFgj_RI,EN,"A tragically beautiful incarnation of the Christmas Spirit was on December 25 1914, affect when WWI soldiers crossed no man's land to celebrate a Christmas truce. This ceasefire even ended in some shared carols, and even football matches! Which countries were embodiment involved in this Christmas truce?",,47
931,3ic4WkJzo38a3N18uRT4dN_RI,EN,Describe the engage interaction between the girl and the dog in the following pursue picture:,,15
933,qvpFCnVIvh9KSq5Zj8wpy_RI,EN,Can you name some ingredients that fling go last into eggnog?,,11
939,1eCGJjuvqMWa0XbPT8455E_RI,EN,What are some augury sign of the zodiac signs of aging? (Give a concise answer),,15
