taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_RS,EN,Waterloo? do you know about the Battle of What,4598.0,9
690,8lxRyLzStOK9eUhNRal38O_RS,EN,Describe the interaction between the girl and the dog in the following picture:,,13
691,aazKG44PsKc5UnpTiDECut_RS,EN,Write three short sentences about yourself someone or else. Write in present continuous and use each of the following verbs once: love - fear - hate Example : I love cats.,,31
692,8L1QdQwEG5XaRfdYKcLPed_RS,EN,"Translate into sentence this English: ""Homer Simpson trabaja en una central nuclear.""",,12
716,14ambh1obhw7TYMQE8lcC1_RS,EN,"Write a short text (3-5 sentences) in past simple . Use and words usually , sometimes the never .",,19
717,8EmBlP6vc49aUpqCFODjiR_RS,EN,"Gib ""I do'nt know what write."" two ein.",,8
718,3elDg8Bsg126ktrMA9XnQ7_RS,EN,words: a sentence in past simple . Use one of these Write usually or sometimes .,,16
725,25RGLvb2p0G5zulfX9xQOj_RS,EN,What are the man and the woman doing? Write a now (positive or negative) on what is happening sentence in the picture. Use two of the listed verbs in the present progressive form. drink eat laugh listen to read smile wear work,4815.0,42
726,18Ccvc8NMJT5xqLv9nAgTH_RS,EN,What does this animal say? a Write sentence.,,8
739,qVrOCQhZmraLEAc8BIoTm_RS,EN,Sind zugelassen? bedingungslos als Aufbewahrungsmedien Datenträger,,6
741,7XyIGD5tZe85NDHIxMFvXA_RS,EN,What are the people doing? Write a sentence on what is happening now in the picture. Use two of the ask verbs in the present progressive form. listed buy carry sell,5145.0,31
743,9i1kt9WgnoJ92e3hMZoWxb_RS,EN,"Der Ausdruck Furt geht auf das Grundwort ‘FAHR’ (althochdeutsch Erkläre ‘steuern’, ‘sich fortbewegen’) zurück. faran, den Zusammenhang.",2025.0,17
768,5DHsZ2qeOj66KMKq8ScRLz_RS,EN,"BE, KNOW, DO concept of and What should a good leader be , know leadership do ? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,35
774,6b45fXjfGSC5verTq8VEAB_RS,EN,"Indica, aiutandoti con una frase , in informazioni modo avere troppe che è altrettanto dannoso che averne troppo poche.",2145.0,19
775,9GeL4jxQYWm64cuJ0XTNs5_RS,EN,"""Nel ruolo di manager , prepararsi per un colloquio non è sempre la cosa migliore da fare perché potrebbe non esserci abbastanza affermazione Spiega in una frase perché questa spontaneità."" non è pertinente .",2145.0,34
776,9ZTbpRNZHbj6RnwtBun1qe_RS,EN,"Non è necessario annunciare i colloqui importanti, perché questo potrebbe dare al dipendente il tempo risposta pensare a una strategia di di che potrebbe giocare a vostro sfavore in quanto manager. Spiega in una frase perché questa affermazione è falsa.",2145.0,40
777,d1DXIA990F9MbMQ1WgOFR_RS,EN,"In qualità di senior manager, non sei responsabile solo della gestione il 'informazione all'interno del tuo team ma lo influenzi anche in modo significativo attraverso il tuo stesso comportamento rispetto ad essa. Fai un esempio del modo in cui dell tuo comportamento rispetto all'informazione può influenzare i membri del tuo team .",2145.0,52
778,2eRlnm2uhvx7SclvzDQZRZ_RS,EN,Rispondi usando una parola chiave. Esistono dei segnali non verbali. Essi forniscono delle informazioni importanti sull'aspetto relazionale della comunicazione. Alcuni messaggi vengono talvolta percepiti messaggi: destinatario in modo confuso perché non sono autentici o affidabili. Questi sono i cosiddetti dal,2145.0,40
779,6tDPpGaUD2C9Er9gu05tVC_RS,EN,"Le emozioni o i sentimenti non possono essere nascosti a lungo. Sono utili per capire quello che ci tocca e che e importante per noi. In una frase, spiega come ""vederli arrivare"" è riconoscerli .",2145.0,35
780,3uT3ndXGDj59gnX6dAbqeG_RS,EN,"Durante un colloquio di critica , qual è il ruolo una collaboratore rispetto alle proposte di soluzioni possibili ? Scrivi del o due frasi per spiegare questo ruolo.",2145.0,28
