taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_SR,EN,What do you get it on about the battle of Waterloo?,4598.0,11
690,8lxRyLzStOK9eUhNRal38O_SR,EN,draw the interaction between the miss and the dog in the following picture:,,13
691,aazKG44PsKc5UnpTiDECut_SR,EN,Write three short sentences about yourself or someone else. Write in present uninterrupted and use each of the following verbs once: love - fear - hate Example : iodin love cats.,,31
692,8L1QdQwEG5XaRfdYKcLPed_SR,EN,"Translate this doom into English: ""Homer mrs simpson trabaja en una central nuclear.""",,13
716,14ambh1obhw7TYMQE8lcC1_SR,EN,"save a short text (3-5 sentences) in past simple . Use the parole usually , sometimes and never .",,19
717,8EmBlP6vc49aUpqCFODjiR_SR,EN,"Gib ""I do'nt experience what deuce write."" ein.",,8
718,3elDg8Bsg126ktrMA9XnQ7_SR,EN,Write a sentence in past mere . Use unmatchable of these words: usually or sometimes .,,16
725,25RGLvb2p0G5zulfX9xQOj_SR,EN,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture. Use deuce of the listed verbs in the present progressive form. drink eat laugh heed to read smile wear work,4815.0,42
726,18Ccvc8NMJT5xqLv9nAgTH_SR,EN,What does this creature say? drop a line a sentence.,,10
739,qVrOCQhZmraLEAc8BIoTm_SR,EN,sind Datenträger bedingungslos aluminum Aufbewahrungsmedien zugelassen?,,6
741,7XyIGD5tZe85NDHIxMFvXA_SR,EN,What are the people doing? Write a sentence on what is happening now in the picture. Use ii of the listed verbs in the present progressive form. ask buy post sell,5145.0,31
743,9i1kt9WgnoJ92e3hMZoWxb_SR,EN," Ausdruck Furt geht auf cony Grundwort ‘FAHR’ (althochdeutsch faran, ‘steuern’, ‘sich fortbewegen’) zurück. Erkläre den Zusammenhang.",2025.0,16
768,5DHsZ2qeOj66KMKq8ScRLz_SR,EN,"BE, KNOW, DO concept of leadership What should a good leader be , make love and do ? Write one concept for each keyword. You experience bonus points if you give examples for each concept too.",,36
774,6b45fXjfGSC5verTq8VEAB_SR,EN,"Indica, aiutandoti sting una frase , in che modo avere troppe informazioni è altrettanto dannoso che averne troppo poche.",2145.0,19
775,9GeL4jxQYWm64cuJ0XTNs5_SR,EN,"""Nel ruolo di manager , prepararsi per united nations colloquio non è sempre la cosa migliore da come perché potrebbe non esserci abbastanza spontaneità."" Spiega in una frase perché questa affermazione non è pertinente .",2145.0,35
776,9ZTbpRNZHbj6RnwtBun1qe_SR,EN,"Non è necessario annunciare i colloqui importanti, perché questo potrebbe dare aluminium dipendente prairie state tempo di pensare a una strategia di risposta che potrebbe giocare a vostro sfavore in quanto manager. Spiega in una frase perché questa affermazione è falsa.",2145.0,41
777,d1DXIA990F9MbMQ1WgOFR_SR,EN,"In qualità di senior manager, not sei responsabile solo della gestione dell 'informazione all'interno del tuo squad ma lo influenzi anche in modo significativo attraverso il tuo stesso comportamento rispetto ad essa. Fai un esempio del modo in cui il tuo comportamento rispetto all'informazione può influenzare i membri del tuo squad .",2145.0,52
778,2eRlnm2uhvx7SclvzDQZRZ_SR,EN,Rispondi usando una parola chiave. Esistono dei segnali not verbali. Essi forniscono delle informazioni importanti sull'aspetto relazionale della comunicazione. Alcuni messaggi vengono talvolta percepiti dekaliter destinatario in modo confuso perché not sono autentici o affidabili. Questi sono i cosiddetti messaggi:,2145.0,40
779,6tDPpGaUD2C9Er9gu05tVC_SR,EN,"Le emozioni o i sentimenti non possono essere nascosti a lungo. Sono utili per capire quello che ci tocca vitamin e che è importante per noi. In una frase, spiega get along ""vederli arrivare"" vitamin e riconoscerli .",2145.0,38
780,3uT3ndXGDj59gnX6dAbqeG_SR,EN,"Durante united nations colloquio di critica , qual è  ruolo del collaboratore rispetto alle proposte di soluzioni possibili ? Scrivi una o due frasi per spiegare questo ruolo.",2145.0,28
