aspectId,description,type,groupId,categoryId
0,9639,The words are in the right order.,CONCEPT,,
1,9937,That is a good answer. Orang Utans have very strong social bonds. ,CONCEPT,,
2,9633,The subject and verb are congruent.,CONCEPT,,
3,11401,The answer mentions the keywords we were looking for: {{correctStatements}},CONCEPT,55122.0,
4,9984,"The verbs were conjugated in the expected tense: ""{{expectedTense}}"".",CONCEPT,,
5,11221,The subject and verb are congruent.,CONCEPT,,
6,9992,"Well done, you used one of the given adverbs.",CONCEPT,,
7,9996,"Well done, the verbs were conjugated in Past simple.",CONCEPT,,
8,10313,The words are in the right order.,CONCEPT,,
9,9981,You correctly mentioned: {{correctStatements}},CONCEPT,,
10,12322,"Yes, these are cute puppies indeed! Aw, aren't they super cute?😍",CONCEPT,,
11,12714,The words are in the right order.,CONCEPT,,
12,12728,The answer mentions the keywords we were looking for.,CONCEPT,,
13,183,The ability to convert text from one language to another.,CONCEPT,4126.0,
14,184,The ability to use the right input format.,CONCEPT,5014.0,
15,185,The ability to correctly match the verb to the subject.,CONCEPT,5460.0,
16,186,The ability to answer in the right language.,CONCEPT,,
17,187,Can correctly spell written text.,CONCEPT,6127.0,
18,17042,The ability to convert text from one language to another.,CONCEPT,4126.0,
19,19487,Can correctly spell written text.,CONCEPT,6127.0,
20,18153,The ability to correctly match the verb to the subject.,CONCEPT,5460.0,
21,1375,The ability to use the right input format.,CONCEPT,,
22,1376,The ability to correctly match the verb to the subject.,CONCEPT,55112.0,
23,1377,The ability to answer in the right language.,CONCEPT,55115.0,
24,124,The learner is able to use spelling strategies correctly.,CONCEPT,55114.0,
25,1380,The ability to formulate the answer in the correct tense.,CONCEPT,,
26,15321,Can correctly spell written text.,CONCEPT,2508.0,
27,27937,The ability to correctly match the verb to the subject.,CONCEPT,55112.0,
28,28070,The ability to formulate the answer in the correct tense.,CONCEPT,15136.0,
29,1374,The ability to convert text from one language to another.,CONCEPT,55118.0,
30,27838,The ability to convert text from one language to another.,CONCEPT,55115.0,
31,1498,The ability to convert text from one language to another.,CONCEPT,36344.0,
32,1489,The ability to use the right input format.,CONCEPT,36094.0,
33,1490,The ability to correctly match the verb to the subject.,CONCEPT,36107.0,
34,1491,The ability to answer in the right language.,CONCEPT,,
35,1492,Can correctly spell written text.,CONCEPT,36125.0,
36,49014,The ability to correctly match the verb to the subject.,CONCEPT,36107.0,
37,49047,Can correctly spell written text.,CONCEPT,36125.0,
38,49253,The ability to convert text from one language to another.,CONCEPT,36344.0,
39,6925,The ability to write the correct amount of requested information.,CONCEPT,,
40,27863,The ability to convert text from one language to another.,CONCEPT,55115.0,
41,1531,The ability to convert text from one language to another.,CONCEPT,36373.0,
42,1532,The ability to use the right input format.,CONCEPT,36380.0,
43,1533,The ability to correctly match the verb to the subject.,CONCEPT,36384.0,
44,1534,The ability to answer in the right language.,CONCEPT,,
45,1535,Can correctly spell written text.,CONCEPT,36390.0,
46,49294,Can correctly spell written text.,CONCEPT,36390.0,
47,1415,The ability to convert text from one language to another.,CONCEPT,36657.0,
48,1631,The ability to write the correct amount of requested information.,CONCEPT,37755.0,
49,1417,The ability to correctly match the verb to the subject.,CONCEPT,38488.0,
50,1416,The ability to use the right input format.,CONCEPT,15630.0,
51,1418,The ability to answer in the right language.,CONCEPT,,
52,1419,Can correctly spell written text.,CONCEPT,16178.0,
53,1632,The ability to formulate the answer in the correct tense.,CONCEPT,39590.0,
54,1551,The student knows the word dinner.,CONCEPT,45501.0,
55,1612,This aspect applies when the students writes nonsense.,CONCEPT,43903.0,
56,1611,This aspect is here to help the student.,CONCEPT,40697.0,
57,1623,Detector: Theory,CONCEPT,42296.0,
58,30193,Can correctly spell written text.,CONCEPT,16178.0,
59,49899,The ability to convert text from one language to another.,CONCEPT,36657.0,
60,54466,This aspect is here to help the student.,CONCEPT,40697.0,
61,56064,Detector: Theory,CONCEPT,42296.0,
62,58747,The student knows the word dinner.,CONCEPT,45501.0,
63,51363,The ability to correctly match the verb to the subject.,CONCEPT,38488.0,
64,52829,The ability to formulate the answer in the correct tense.,CONCEPT,39590.0,
65,1571,The student knows the word attorney.,CONCEPT,46273.0,
66,59492,The student knows the word attorney.,CONCEPT,46273.0,
67,1576,The student knows the word author.,CONCEPT,46476.0,
68,59692,The student knows the word author.,CONCEPT,46476.0,
69,1577,The student knows the word bank.,CONCEPT,46489.0,
70,59709,The student knows the word bank.,CONCEPT,46489.0,
71,1579,The student knows the word build.,CONCEPT,46537.0,
72,59755,The student knows the word build.,CONCEPT,46537.0,
73,1580,The student knows the word profession.,CONCEPT,46573.0,
74,59787,The student knows the word profession.,CONCEPT,46573.0,
75,1581,The student knows the word office.,CONCEPT,46595.0,
76,59816,The student knows the word office.,CONCEPT,46595.0,
77,1582,The student knows the word computer.,CONCEPT,46644.0,
78,59860,The student knows the word computer.,CONCEPT,46644.0,
79,1583,The student knows the word experience.,CONCEPT,46681.0,
80,59901,The student knows the word experience.,CONCEPT,46681.0,
81,1586,The student knows the word captain.,CONCEPT,46804.0,
82,60012,The student knows the word captain.,CONCEPT,46804.0,
83,1590,The student knows the word dentist.,CONCEPT,46893.0,
84,60101,The student knows the word dentist.,CONCEPT,46893.0,
85,1592,The student knows the word change.,CONCEPT,46990.0,
86,60198,The student knows the word change.,CONCEPT,46990.0,
87,1593,The student knows the word mean.,CONCEPT,47038.0,
88,60242,The student knows the word mean.,CONCEPT,47038.0,
89,1594,The student knows the word pray.,CONCEPT,47072.0,
90,60271,The student knows the word pray.,CONCEPT,47072.0,
91,1595,The student knows the word stay.,CONCEPT,47085.0,
92,60291,The student knows the word stay.,CONCEPT,47085.0,
