index,taskId,language,description,context,topic_id,word_count
0,690,8lxRyLzStOK9eUhNRal38O,EN,Describe the interaction between the girl and the dog in the following picture:,,,13
1,691,aazKG44PsKc5UnpTiDECut,EN,Write three short sentences about yourself or someone else. Write in present continuous and use each of the following verbs once: love - fear - hate Example : I love cats.,,,31
2,716,14ambh1obhw7TYMQE8lcC1,EN,"Write a short text (3-5 sentences) in past simple . Use the words usually , sometimes and never .",,,19
3,718,3elDg8Bsg126ktrMA9XnQ7,EN,Write a sentence in past simple . Use one of these words: usually or sometimes .,,,16
4,725,25RGLvb2p0G5zulfX9xQOj,EN,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture. Use two of the listed verbs in the present progressive form. drink eat laugh listen to read smile wear work,,4815.0,42
5,726,18Ccvc8NMJT5xqLv9nAgTH,EN,What does this animal say? Write a sentence.,,,8
6,739,qVrOCQhZmraLEAc8BIoTm,EN,Sind Datenträger bedingungslos als Aufbewahrungsmedien zugelassen?,,,6
7,768,5DHsZ2qeOj66KMKq8ScRLz,EN,"BE, KNOW, DO concept of leadership What should a good leader be , know and do ? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,,35
8,873,3Jr6T26XL13aKRh31JX0xi,EN,You are one of the people in the picture visiting London. You are going to write about a day in London from her / his point of view. Write a short text (4-6 sentences) in the simple past about her / his experience. Questions like these below can help you. ORIGINAL CLIENT QUESTION,,4815.0,53
9,891,awpv0XE3g4Y5WI6T08ydUf,EN,Write in English: Tim wohnt in einem grossen Haus.,,,9
10,917,7olXITeLPhA7lpuJNFI0x0,EN,"It is widespread knowledge that Christmas is the celebration of the birth of Jesus Christ; brought to the world from the Virgin Mary, who was told that she would be birthing a child. Who told this to Mary?",,,38
11,921,3gbjpjewKN1aa5y4aN20Yw,EN,Time to make some mulled wine (Glühwein in german / vin chaud in french). What ingredients go into this holiday drink?,,,21
12,922,9Mc5FyG63rf6kYt9niCyf1,EN,"Great Expectations by Charles Dickens My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So I called myself Pip, and came to be called Pip. I give Pirrip as my father's family name, on the authority of his tombstone and my sister — Mrs. Joe Gargery, who married the blacksmith. As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. The shape of the letters on my father's gave me an odd idea that he was a square, stout, dark man with curly black hair. From the character and turn of the inscription, ""also Georgiana wife of the above,"" I drew a childish conclusion that my mother was freckled and sickly. To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine—who gave up trying to get a living exceedingly early in that universal struggle — I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trowsers-pockets, and had never taken them out in this state of existence. Read the text carefully and answer the following question. Who is the wife of the blacksmith?",,,260
13,927,3Q2XVF2pxuk80nm3RKCEgR,EN,"Snowflake Geometry! We all know snowflakes look beautiful, but did you know they are also tied to a very interesting mathematical object called a dihedral group ? Put simply, there are two 'transformations' we can apply to a snowflake, and it will still look the same! What could these transformations be? Hint: Could you place a mirror on one half of the snowflake to make its reflexion match?",,,68
14,930,bFnkviohpp9w8xLXYyFgj,EN,"A tragically beautiful incarnation of the Christmas Spirit was on December 25 1914, when WWI soldiers crossed no man's land to celebrate a Christmas truce. This ceasefire even ended in some shared carols, and even football matches! Which countries were involved in this Christmas truce?",,,45
15,933,qvpFCnVIvh9KSq5Zj8wpy,EN,Can you name some ingredients that go into eggnog?,,,9
16,939,1eCGJjuvqMWa0XbPT8455E,EN,What are some signs of aging? (Give a concise answer),,,10
17,943,2YUaD24fUfP7pWjwIr92iP,EN,"Translate the following sentence to English: ""Tim wohnt in einem blauen Haus.""",,,12
18,945,5u9DZIU6uoD8WzGcFOR339,EN,"Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,5145.0,33
19,961,aqdN5okrn7v96q2pZ6draC,EN,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",,,34
20,976,1Gs0VtDQxPH9WO8W15Revx,EN,Describe what you see on the image,,,7
21,981,aMnKVp4XSra33C9zSsDIR,EN,"What could the cat say in this situation if it could speak? Write a sentence. To test the feedback, write something like : ""Play with me!""",,5145.0,26
22,982,2hVjXIPswXaaxcD8sqe6WU,EN,Translate this sentence into English (write in Present simple): Homer arbeitet in einem Atomkraftwerk.,,5145.0,14
23,983,4AUaLoTasUk86ezdbK3d7q,EN,The student answer of thi s task is evaluated for grammar and spelling only. What are you're plans for this weekend? Write 3-5 sentences.,,5145.0,24
24,987,6k8QjfUF2b472CVTPitx8q,EN,"The student answer to thi s task is evaluated for grammar and spelling, and additionally for tense and keyword. Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,5145.0,52
25,996,7YXAOXqXKk65WRBjKEmL0P,EN,How many reindeers does Santa Claus has and can you name one of them?,,,14
26,1104,aRzlzAymuLD5NJdfqyfMNE,EN,Die Behälter der Teilanlage müssen im Wechsel periodisch regeneriert werden. Beschreiben Sie den Regenerationsvorgang. Antworten Sie in einem Satz.,,,19
27,1110,89EvLiSfvcb6YEF5S6wSyI,EN,"In der Kolonne KO3 wird das Gemisch bei Atmosphärendruck getrennt. Beschreiben Sie allgemein den Vorgang, der während des Verfahrens in der Kolonne KO3 abläuft. Antworten Sie in einem Satz.",,,29
28,1136,8kr659BCDps8XfAdE4DYQR,EN,Put the words below into the correct order to make sentences. usually | removes | the pieces of skin | the other hand,,,23
29,1137,PrboJKJLSM6Ok9R2YeF4t,EN,Put the words below into the correct order to make sentences. use | to groom another chimpanzee | they | their lips or teeth | sometimes,,,26
30,1143,3zHah3WHaBL69lxjz0xPdA,EN,"Translate ""Ich habe gestern Abend ferngesehen."" to English.",,,8
31,1144,7dgOqVF3wM07eiRRzsTEYV,EN,"Translate ""Er hat ein Abendessen bestellt."" to English.",,,8
32,1145,9yd745wscDf9ERA8P2pfhW,EN,"Translate ""Ich hatte nichts zum Abendessen."" to English.",,,8
33,1146,6ZsjZ1Fpkk76aNTpKZucfx,EN,"Translate ""Ich will kein Abendessen."" to English.",,,7
34,1147,22BFD78ilPM8TchKxPNRFF,EN,"Translate ""Tom macht gerade Abendessen."" to English.",,,7
35,1148,50vh0FAZ3TDaHo84QdFocv,EN,"Translate ""Das Leben ist voller Abenteuer."" to English.",,,8
36,1149,a8fhbpOctnB81BMgXtazcU,EN,"Translate ""Ich konnte nicht ablehnen."" to English.",,,7
37,1150,20A4Hx4UDtf8CLvEdGBbCn,EN,"Translate ""Das machst du doch mit Absicht!"" to English.",,,9
38,1151,7DSzCegF1Gz9C7jXDbf0ae,EN,"Translate ""Das war sicher nicht mit Absicht."" to English.",,,9
39,1152,SsFyvivPiXa3xCGUqNzhy,EN,"Translate ""Er hatte die Absicht, sie zu heiraten."" to English.",,,10
40,1153,4iiM8cAHjYH75flvADkcFR,EN,"Translate ""Hast du das mit Absicht getan?"" to English.",,,9
41,1154,4WQPpjZzXl05Tdu6W5xxVt,EN,"Translate ""Ich habe nicht die Absicht, mich zu entschuldigen."" to English.",,,11
42,1155,7FH3sCf1EL78jEz8orF9ab,EN,"Translate ""Meine Frau wollte ein Kind adoptieren."" to English.",,,9
43,1156,4YROUyqd8jj7fi3DT8SnHu,EN,"Translate ""Der Affe fiel vom Baum."" to English.",,,8
44,1158,f5FBKIiyFd7QCzbq4GgKP,EN,"Translate ""Das war ein Albtraum."" to English.",,,7
45,1159,50hyowIp3hd7pHJnrWGCla,EN,"Translate ""Er zeigte mir sein Album."" to English.",,,8
46,1160,a2EFy1quyXd6bb286NW5Qb,EN,"Translate ""Es ist mir nicht erlaubt, Alkohol zu trinken."" to English.",,,11
47,1161,6K4ImkCIaj08kpmj1XbVws,EN,"Translate ""Haben Sie Getränke ohne Alkohol?"" to English.",,,8
48,1162,8ZITtwQdx9G9AKb7jyIPS3,EN,"Translate ""Ich kann keinen Alkohol trinken."" to English.",,,8
49,1163,9Wm7IWwrNhRayy5g2gj6rA,EN,"Translate ""Ich trinke keinen Alkohol."" to English.",,,7
50,1165,8PqBcI1KZWl8Mtq0B8FxL4,EN,"Translate ""Ich habe bis zum Alter von 6 in Osaka gelebt."" to English.",,,13
51,1166,aAkIziPCaJX7lPIBr9JQwY,EN,"Translate ""Sie hat im Alter von 25 geheiratet."" to English.",,,10
52,1167,3zGud8VQ8yNaycnVTBNazJ,EN,"Translate ""Welches Alter hat Ihr Sohn?"" to English.",,,8
53,1168,acmZVlmedq577WAV5BInIC,EN,"Translate ""Was ist die Alternative?"" to English.",,,7
