taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy,EN,What do you know about the Battle of Waterloo?,4598.0,9
690,8lxRyLzStOK9eUhNRal38O,EN,Describe the interaction between the girl and the dog in the following picture:,,13
691,aazKG44PsKc5UnpTiDECut,EN,Write three short sentences about yourself or someone else. Write in present continuous and use each of the following verbs once: love - fear - hate Example : I love cats.,,31
692,8L1QdQwEG5XaRfdYKcLPed,EN,"Translate this sentence into English: ""Homer Simpson trabaja en una central nuclear.""",,12
716,14ambh1obhw7TYMQE8lcC1,EN,"Write a short text (3-5 sentences) in past simple . Use the words usually , sometimes and never .",,19
717,8EmBlP6vc49aUpqCFODjiR,EN,"Gib ""I do'nt know what two write."" ein.",,8
718,3elDg8Bsg126ktrMA9XnQ7,EN,Write a sentence in past simple . Use one of these words: usually or sometimes .,,16
725,25RGLvb2p0G5zulfX9xQOj,EN,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture. Use two of the listed verbs in the present progressive form. drink eat laugh listen to read smile wear work,4815.0,42
726,18Ccvc8NMJT5xqLv9nAgTH,EN,What does this animal say? Write a sentence.,,8
739,qVrOCQhZmraLEAc8BIoTm,EN,Sind Datenträger bedingungslos als Aufbewahrungsmedien zugelassen?,,6
741,7XyIGD5tZe85NDHIxMFvXA,EN,What are the people doing? Write a sentence on what is happening now in the picture. Use two of the listed verbs in the present progressive form. ask buy carry sell,5145.0,31
743,9i1kt9WgnoJ92e3hMZoWxb,EN,"Der Ausdruck Furt geht auf das Grundwort ‘FAHR’ (althochdeutsch faran, ‘steuern’, ‘sich fortbewegen’) zurück. Erkläre den Zusammenhang.",2025.0,17
768,5DHsZ2qeOj66KMKq8ScRLz,EN,"BE, KNOW, DO concept of leadership What should a good leader be , know and do ? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,35
774,6b45fXjfGSC5verTq8VEAB,EN,"Indica, aiutandoti con una frase , in che modo avere troppe informazioni è altrettanto dannoso che averne troppo poche.",2145.0,19
775,9GeL4jxQYWm64cuJ0XTNs5,EN,"""Nel ruolo di manager , prepararsi per un colloquio non è sempre la cosa migliore da fare perché potrebbe non esserci abbastanza spontaneità."" Spiega in una frase perché questa affermazione non è pertinente .",2145.0,34
776,9ZTbpRNZHbj6RnwtBun1qe,EN,"Non è necessario annunciare i colloqui importanti, perché questo potrebbe dare al dipendente il tempo di pensare a una strategia di risposta che potrebbe giocare a vostro sfavore in quanto manager. Spiega in una frase perché questa affermazione è falsa.",2145.0,40
777,d1DXIA990F9MbMQ1WgOFR,EN,"In qualità di senior manager, non sei responsabile solo della gestione dell 'informazione all'interno del tuo team ma lo influenzi anche in modo significativo attraverso il tuo stesso comportamento rispetto ad essa. Fai un esempio del modo in cui il tuo comportamento rispetto all'informazione può influenzare i membri del tuo team .",2145.0,52
778,2eRlnm2uhvx7SclvzDQZRZ,EN,Rispondi usando una parola chiave. Esistono dei segnali non verbali. Essi forniscono delle informazioni importanti sull'aspetto relazionale della comunicazione. Alcuni messaggi vengono talvolta percepiti dal destinatario in modo confuso perché non sono autentici o affidabili. Questi sono i cosiddetti messaggi:,2145.0,40
779,6tDPpGaUD2C9Er9gu05tVC,EN,"Le emozioni o i sentimenti non possono essere nascosti a lungo. Sono utili per capire quello che ci tocca e che è importante per noi. In una frase, spiega come ""vederli arrivare"" e riconoscerli .",2145.0,35
780,3uT3ndXGDj59gnX6dAbqeG,EN,"Durante un colloquio di critica , qual è il ruolo del collaboratore rispetto alle proposte di soluzioni possibili ? Scrivi una o due frasi per spiegare questo ruolo.",2145.0,28
781,8GPZN1lGAPI8RfOfUkzb4D,EN,"Dai la risposta usando una o più parole chiave . Durante un colloquio critico che riguarda per esempio un comportamento scorretto o una prestazione inadeguata, in qualità di manager dovrò fare una critica. Affinché questa critica sia la più costruttiva possibile deve basarsi sugli aspetti importanti che l'emozione spesso distorce, facendo deviare il discorso nella soggettività. Di che cosa si tratta ?",2145.0,62
847,9TYXjQ0ixmr7vPazqDnrmI,EN,What do you celebrate on Swiss National Day?,,8
872,25Y2BLZGCpkay0f4dRrvpf,EN,Describe the interaction between the girl and the dog in the following picture:,4815.0,13
873,3Jr6T26XL13aKRh31JX0xi,EN,You are one of the people in the picture visiting London. You are going to write about a day in London from her / his point of view. Write a short text (4-6 sentences) in the simple past about her / his experience. Questions like these below can help you. ORIGINAL CLIENT QUESTION,4815.0,53
891,awpv0XE3g4Y5WI6T08ydUf,EN,Write in English: Tim wohnt in einem grossen Haus.,,9
896,3tWq4pujD9E7p5gXhZlj7j,EN,"Trenne das Wort Kastanie in alle mögliche Silben, indem du jeweils ein Sternchen zwischen den Silben einfügst, z.B. das Handwerk -  Hand*werk.",,22
897,9BEPLYwJtle6SNFq4iKN0U,EN,Write a sentence in english,,5
917,7olXITeLPhA7lpuJNFI0x0,EN,"It is widespread knowledge that Christmas is the celebration of the birth of Jesus Christ; brought to the world from the Virgin Mary, who was told that she would be birthing a child. Who told this to Mary?",,38
921,3gbjpjewKN1aa5y4aN20Yw,EN,Time to make some mulled wine (Glühwein in german / vin chaud in french). What ingredients go into this holiday drink?,,21
922,9Mc5FyG63rf6kYt9niCyf1,EN,"Great Expectations by Charles Dickens My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So I called myself Pip, and came to be called Pip. I give Pirrip as my father's family name, on the authority of his tombstone and my sister — Mrs. Joe Gargery, who married the blacksmith. As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. The shape of the letters on my father's gave me an odd idea that he was a square, stout, dark man with curly black hair. From the character and turn of the inscription, ""also Georgiana wife of the above,"" I drew a childish conclusion that my mother was freckled and sickly. To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine—who gave up trying to get a living exceedingly early in that universal struggle — I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trowsers-pockets, and had never taken them out in this state of existence. Read the text carefully and answer the following question. Who is the wife of the blacksmith?",,260
927,3Q2XVF2pxuk80nm3RKCEgR,EN,"Snowflake Geometry! We all know snowflakes look beautiful, but did you know they are also tied to a very interesting mathematical object called a dihedral group ? Put simply, there are two 'transformations' we can apply to a snowflake, and it will still look the same! What could these transformations be? Hint: Could you place a mirror on one half of the snowflake to make its reflexion match?",,68
929,acULs3NPhSo8GoCnzRr550,EN,What gifts will you be getting your family? Hint: Provide a list of simple keywords,,15
930,bFnkviohpp9w8xLXYyFgj,EN,"A tragically beautiful incarnation of the Christmas Spirit was on December 25 1914, when WWI soldiers crossed no man's land to celebrate a Christmas truce. This ceasefire even ended in some shared carols, and even football matches! Which countries were involved in this Christmas truce?",,45
931,3ic4WkJzo38a3N18uRT4dN,EN,Describe the interaction between the girl and the dog in the following picture:,,13
933,qvpFCnVIvh9KSq5Zj8wpy,EN,Can you name some ingredients that go into eggnog?,,9
939,1eCGJjuvqMWa0XbPT8455E,EN,What are some signs of aging? (Give a concise answer),,10
943,2YUaD24fUfP7pWjwIr92iP,EN,"Translate the following sentence to English: ""Tim wohnt in einem blauen Haus.""",,12
944,2UMtJUswomA7LRi0R8WvXz,EN,Write what you hear: (John plays with the cat).,,9
945,5u9DZIU6uoD8WzGcFOR339,EN,"Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",5145.0,33
946,3dJg4CNE4M6745TGO3hpJu,EN,"What are the five phases of Project Management? To test the feedback, write something like : meeting, scoping, realization",,19
947,5qBvawWa1k182LVJCTe121,EN,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",4815.0,34
948,3gKnqzVuNvU5AgcrVVzhqc,EN,"What have you learned about climate change? To test the feedback, write something like : ""Climate change is not a serious threat.""",4815.0,22
954,2HXatST9nZb6pCE7sJuWBr,EN,"This content belongs to Klett und Balmer Verlag. Find more information about the product here: digione.ch Why I love Edinburgh I first visited Edinburgh as a child with my parents and my sister. I thought it was a magical city with a very special atmosphere. It’s small enough to get around easily and not feel lost, but big enough that there’s a lot to do. So after I left school, I decided to go to university there. It was a good decision – I had a wonderful time! The locals were really friendly and after some time I even started to understand the Edinburgh accent. In fact, I loved Edinburgh so much that I stayed after university. At first I lived and worked in the city, but after I met my husband (who is a true Scotsman!) we moved to the countryside nearby. I work from home now as I have my own business. But I love to drive to the city at the weekend in my Mini. Last week my parents came to stay and we visited Edinburgh Castle and the Scottish National Gallery. One day we took the children to the zoo, and another day we took a boat out to Inchcolm Abbey on a nearby island. Most days we had a picnic lunch in the Princes Street Gardens.I love that there are so many different things to do in Edinburgh. This city really has become my home now. I couldn’t imagine moving away! Answer the question in a full sentence: Why did Caroline move to Edinburgh? (""She moved to Edinburgh to study and because she loved the city.”)",,271
955,4XqgBukjnrj5Ky0GUL8Isw,EN,Write what you hear: (John plays with the cat).,,9
956,3786WSi5Nn58r5VZESlFst,EN,"Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",,33
957,7GFPO0ukS7t7ejAs1Y2nix,EN,Translate this sentence into English (write in Present simple): Homer arbeitet in einem Atomkraftwerk.,,14
958,5aAMWr5wtut7HshyySFiwn,EN,"Translate the following sentence to English: ""Tim wohnt in einem blauen Haus.""",,12
961,aqdN5okrn7v96q2pZ6draC,EN,"What should you do in the event of an earthquake if you are in a building? Give a recommendation. To test the feedback, write something like: ""You should run around"" or ""you should scream"".",,34
965,9gUaAflhOOM8boMxbfwUKf,EN,Die Ansprache von Bundespräsident Ogi ist stark strukturiert. Neben der Einleitung und dem Schluss gliedert sich die Rede in drei Hauptteile mit je einem Thema. Halte stichwortartig die Themen der drei Hauptteile fest.,1.0,33
966,7TYOlb7BQz66WlJXyI4XxN,EN,Der vorliegende Text ist mit inhaltlich ähnlichen Geschichten im Sammelband «Business Class» erschienen. Inwiefern trifft dieser Sammeltitel auch auf «Pädagoge Schnüriger» zu?,1.0,22
967,85J5YDDsQFt9lCuygZwIOV,EN,"Wie lautet der Schlusssatz des weinenden Jeno im Text von Martin Suter? Beurteile die drei Varianten im Hinblick auf ihre Plausibilität (Stringenz) und auf die Textwirkung. 1.«Alec hat mich entlassen.» 2.«Alec will nicht teilen.» 3.«Die Schokolade war schlecht, ich habe Bauchweh.»",1.0,41
968,Zqyme9ks3LawmypFAc0Wm,EN,"Zitiere drei Passagen aus dem Text, die das Verhältnis von Gustav Schnüriger zu seiner Familie aufzeigen.",1.0,16
969,5zJ9PCGtPjN5LHnh4fp6LI,EN,Interpretiere den Titel «Pädagoge Schnüriger» in Stichworten.,1.0,7
970,2ZW78UEN6i95yZYthoNKFw,EN,"Das Dreieck $ABC$ ist gegeben. Beschreibe, wie du den Umkreis des Dreiecks $ABC$ konstruierst.",1032.0,14
971,4vYuDvuEtAP6bgwgMyidhX,EN,"Nenne drei Stilmittel im ersten Absatz. Wenn man Alec Schnüriger (6) fragt, was er werden will, sagt er wie aus der Kanone geschossen: «General Manager». Dann lacht Gustav Schnüriger (42, General Manager) stolz, und die, die gefragt haben, lachen mit. Carla Schnüriger (27, Hausfrau und Mutter)schüttelt den Kopf, und Jeno Schnüriger (4) fragt: «Was ist General Manager?» «Der Höchste», antwortet dann jeweils Alec, und die Erwachsenen lachen wieder.",1.0,68
976,1Gs0VtDQxPH9WO8W15Revx,EN,Describe what you see on the image,,7
981,aMnKVp4XSra33C9zSsDIR,EN,"What could the cat say in this situation if it could speak? Write a sentence. To test the feedback, write something like : ""Play with me!""",5145.0,26
982,2hVjXIPswXaaxcD8sqe6WU,EN,Translate this sentence into English (write in Present simple): Homer arbeitet in einem Atomkraftwerk.,5145.0,14
983,4AUaLoTasUk86ezdbK3d7q,EN,The student answer of thi s task is evaluated for grammar and spelling only. What are you're plans for this weekend? Write 3-5 sentences.,5145.0,24
984,8kVrscmjkny6CtVtjsqO30,EN,Put Words in Order Put the words below into the correct order to make sentences. from other communities | never | they | enemies | groom,,26
985,8FV1FHxBMDF8vnTy6FtguO,EN,From Active to Passive The band sang a song from Queen. (A song from Queen was sung by the band.),,20
986,8CHf6OTOwiM7b44ADOwK6P,EN,"Negate the Sentence This sentence about Caroline are not true. Correct it using negative sentences. Example : Caroline studied in Glasgow. Solution : No, she didn't study in Glasgow. She studied in Edinburgh. She understood the Scottish accent from the beginning.",,41
987,6k8QjfUF2b472CVTPitx8q,EN,"The student answer to thi s task is evaluated for grammar and spelling, and additionally for tense and keyword. Write a sentence in P ast simple . Use one of these words: usually or sometimes . To test the feedback, write something like : ""I drink usually a coffee in the morning.""",5145.0,52
996,7YXAOXqXKk65WRBjKEmL0P,EN,How many reindeers does Santa Claus has and can you name one of them?,,14
1104,aRzlzAymuLD5NJdfqyfMNE,EN,Die Behälter der Teilanlage müssen im Wechsel periodisch regeneriert werden. Beschreiben Sie den Regenerationsvorgang. Antworten Sie in einem Satz.,,19
1109,3eFwaoVZANA7mLeCSUdt8J,EN,highlight the keywords that apply to bob,,7
1110,89EvLiSfvcb6YEF5S6wSyI,EN,"In der Kolonne KO3 wird das Gemisch bei Atmosphärendruck getrennt. Beschreiben Sie allgemein den Vorgang, der während des Verfahrens in der Kolonne KO3 abläuft. Antworten Sie in einem Satz.",,29
1136,8kr659BCDps8XfAdE4DYQR,EN,Put the words below into the correct order to make sentences. usually | removes | the pieces of skin | the other hand,,23
1137,PrboJKJLSM6Ok9R2YeF4t,EN,Put the words below into the correct order to make sentences. use | to groom another chimpanzee | they | their lips or teeth | sometimes,,26
1143,3zHah3WHaBL69lxjz0xPdA,EN,"Translate ""Ich habe gestern Abend ferngesehen."" to English.",,8
1144,7dgOqVF3wM07eiRRzsTEYV,EN,"Translate ""Er hat ein Abendessen bestellt."" to English.",,8
1145,9yd745wscDf9ERA8P2pfhW,EN,"Translate ""Ich hatte nichts zum Abendessen."" to English.",,8
1146,6ZsjZ1Fpkk76aNTpKZucfx,EN,"Translate ""Ich will kein Abendessen."" to English.",,7
