aspectId,description,type,groupId,categoryId,word_count
0,9639,word right order,CONCEPT,,,3
1,9937,good answer orang utan strong social bond,CONCEPT,,,7
2,9633,subject verb congruent,CONCEPT,,,3
3,11401,answer mention keyword look correctstat,CONCEPT,55122.0,,5
4,9984,verb conjug expect ten expectedten,CONCEPT,,,5
5,11221,subject verb congruent,CONCEPT,,,3
6,9992,well do use one give adverb,CONCEPT,,,6
7,9996,well do verb conjug past simpl,CONCEPT,,,6
8,10313,word right order,CONCEPT,,,3
9,9981,correctli mention correctstat,CONCEPT,,,3
10,12322,ye cute puppi inde aw super cute,CONCEPT,,,7
11,12714,word right order,CONCEPT,,,3
12,12728,answer mention keyword look,CONCEPT,,,4
13,183,abil convert text one languag anoth,CONCEPT,4126.0,,6
14,184,abil use right input format,CONCEPT,5014.0,,5
15,185,abil correctli match verb subject,CONCEPT,5460.0,,5
16,186,abil answer right languag,CONCEPT,,,4
17,187,correctli spell write text,CONCEPT,6127.0,,4
18,17042,abil convert text one languag anoth,CONCEPT,4126.0,,6
19,19487,correctli spell write text,CONCEPT,6127.0,,4
20,18153,abil correctli match verb subject,CONCEPT,5460.0,,5
21,1375,abil use right input format,CONCEPT,,,5
22,1376,abil correctli match verb subject,CONCEPT,55112.0,,5
23,1377,abil answer right languag,CONCEPT,55115.0,,4
24,124,learner abl use spell strategi correctli,CONCEPT,55114.0,,6
25,1380,abil formul answer correct ten,CONCEPT,,,5
26,15321,correctli spell write text,CONCEPT,2508.0,,4
27,27937,abil correctli match verb subject,CONCEPT,55112.0,,5
28,28070,abil formul answer correct ten,CONCEPT,15136.0,,5
29,1374,abil convert text one languag anoth,CONCEPT,55118.0,,6
30,27838,abil convert text one languag anoth,CONCEPT,55115.0,,6
31,1498,abil convert text one languag anoth,CONCEPT,36344.0,,6
32,1489,abil use right input format,CONCEPT,36094.0,,5
33,1490,abil correctli match verb subject,CONCEPT,36107.0,,5
34,1491,abil answer right languag,CONCEPT,,,4
35,1492,correctli spell write text,CONCEPT,36125.0,,4
36,49014,abil correctli match verb subject,CONCEPT,36107.0,,5
37,49047,correctli spell write text,CONCEPT,36125.0,,4
38,49253,abil convert text one languag anoth,CONCEPT,36344.0,,6
39,6925,abil write correct amount request inform,CONCEPT,,,6
40,27863,abil convert text one languag anoth,CONCEPT,55115.0,,6
41,1531,abil convert text one languag anoth,CONCEPT,36373.0,,6
42,1532,abil use right input format,CONCEPT,36380.0,,5
43,1533,abil correctli match verb subject,CONCEPT,36384.0,,5
44,1534,abil answer right languag,CONCEPT,,,4
45,1535,correctli spell write text,CONCEPT,36390.0,,4
46,49294,correctli spell write text,CONCEPT,36390.0,,4
47,1415,abil convert text one languag anoth,CONCEPT,36657.0,,6
48,1631,abil write correct amount request inform,CONCEPT,37755.0,,6
49,1417,abil correctli match verb subject,CONCEPT,38488.0,,5
50,1416,abil use right input format,CONCEPT,15630.0,,5
51,1418,abil answer right languag,CONCEPT,,,4
52,1419,correctli spell write text,CONCEPT,16178.0,,4
53,1632,abil formul answer correct ten,CONCEPT,39590.0,,5
54,1551,student know word dinner,CONCEPT,45501.0,,4
55,1612,aspect appli student write nonsen,CONCEPT,43903.0,,5
56,1611,aspect help student,CONCEPT,40697.0,,3
57,1623,detector theori,CONCEPT,42296.0,,2
58,30193,correctli spell write text,CONCEPT,16178.0,,4
59,49899,abil convert text one languag anoth,CONCEPT,36657.0,,6
60,54466,aspect help student,CONCEPT,40697.0,,3
61,56064,detector theori,CONCEPT,42296.0,,2
62,58747,student know word dinner,CONCEPT,45501.0,,4
63,51363,abil correctli match verb subject,CONCEPT,38488.0,,5
64,52829,abil formul answer correct ten,CONCEPT,39590.0,,5
65,1571,student know word attorney,CONCEPT,46273.0,,4
66,59492,student know word attorney,CONCEPT,46273.0,,4
67,1576,student know word author,CONCEPT,46476.0,,4
68,59692,student know word author,CONCEPT,46476.0,,4
69,1577,student know word bank,CONCEPT,46489.0,,4
70,59709,student know word bank,CONCEPT,46489.0,,4
71,1579,student know word build,CONCEPT,46537.0,,4
72,59755,student know word build,CONCEPT,46537.0,,4
73,1580,student know word profess,CONCEPT,46573.0,,4
74,59787,student know word profess,CONCEPT,46573.0,,4
75,1581,student know word offic,CONCEPT,46595.0,,4
76,59816,student know word offic,CONCEPT,46595.0,,4
77,1582,student know word comput,CONCEPT,46644.0,,4
78,59860,student know word comput,CONCEPT,46644.0,,4
79,1583,student know word experi,CONCEPT,46681.0,,4
80,59901,student know word experi,CONCEPT,46681.0,,4
81,1586,student know word captain,CONCEPT,46804.0,,4
82,60012,student know word captain,CONCEPT,46804.0,,4
83,1590,student know word dentist,CONCEPT,46893.0,,4
84,60101,student know word dentist,CONCEPT,46893.0,,4
85,1592,student know word chang,CONCEPT,46990.0,,4
86,60198,student know word chang,CONCEPT,46990.0,,4
87,1593,student know word mean,CONCEPT,47038.0,,4
