index,taskId,language,description,context,topic_id,word_count
0,691,aazKG44PsKc5UnpTiDECut,EN,write three short sentenc someon el write present continu use follow verb love fear hate exampl love cat,,,18
1,692,8L1QdQwEG5XaRfdYKcLPed,EN,translat sentenc english homer simpson trabaja en una central nuclear,,,10
2,716,14ambh1obhw7TYMQE8lcC1,EN,write short text sentenc past simpl use word usual sometim never,,,11
3,718,3elDg8Bsg126ktrMA9XnQ7,EN,write sentenc past simpl use one word usual sometim,,,9
4,725,25RGLvb2p0G5zulfX9xQOj,EN,man woman write sentenc posit neg happen pictur use two list verb present progress form drink eat laugh listen read smile wear work,,4815.0,23
5,726,18Ccvc8NMJT5xqLv9nAgTH,EN,anim say write sentenc,,,4
6,739,qVrOCQhZmraLEAc8BIoTm,EN,sind datentrag bedingungslo al aufbewahrungsmedien zugelassen,,,6
7,741,7XyIGD5tZe85NDHIxMFvXA,EN,peopl write sentenc happen pictur use two list verb present progress form ask buy carri sell,,5145.0,16
8,768,5DHsZ2qeOj66KMKq8ScRLz,EN,know concept leadership good leader know write one concept keyword get bonu point give exampl concept,,,16
9,873,3Jr6T26XL13aKRh31JX0xi,EN,one peopl pictur visit london go write day london point view write short text sentenc simpl past experi question like help origin client question,,4815.0,24
10,891,awpv0XE3g4Y5WI6T08ydUf,EN,write english tim wohnt einem grossen hau,,,7
11,917,7olXITeLPhA7lpuJNFI0x0,EN,widespread knowledg christma celebr birth jesu christ bring world virgin mari tell would birth child tell mari,,,17
12,921,3gbjpjewKN1aa5y4aN20Yw,EN,time make mull wine gluhwein german vin chaud french ingredi go holiday drink,,,13
13,927,3Q2XVF2pxuk80nm3RKCEgR,EN,snowflak geometri know snowflak look beauti know also tie interest mathemat object call dihedr group put simpli two transform appli snowflak still look could transform hint could place mirror one half snowflak make reflexion match,,,35
14,929,acULs3NPhSo8GoCnzRr550,EN,gift get famili hint provid list simpl keyword,,,8
15,933,qvpFCnVIvh9KSq5Zj8wpy,EN,name ingredi go eggnog,,,4
16,939,1eCGJjuvqMWa0XbPT8455E,EN,sign age give concis answer,,,5
