taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy,EN,know battl waterloo,4598.0,3
690,8lxRyLzStOK9eUhNRal38O,EN,describ interact girl dog follow pictur,,6
691,aazKG44PsKc5UnpTiDECut,EN,write three short sentenc someon el write present continu use follow verb love fear hate exampl love cat,,18
692,8L1QdQwEG5XaRfdYKcLPed,EN,translat sentenc english homer simpson trabaja en una central nuclear,,10
716,14ambh1obhw7TYMQE8lcC1,EN,write short text sentenc past simpl use word usual sometim never,,11
717,8EmBlP6vc49aUpqCFODjiR,EN,gib not know two write ein,,6
718,3elDg8Bsg126ktrMA9XnQ7,EN,write sentenc past simpl use one word usual sometim,,9
725,25RGLvb2p0G5zulfX9xQOj,EN,man woman write sentenc posit neg happen pictur use two list verb present progress form drink eat laugh listen read smile wear work,4815.0,23
726,18Ccvc8NMJT5xqLv9nAgTH,EN,anim say write sentenc,,4
739,qVrOCQhZmraLEAc8BIoTm,EN,sind datentrag bedingungslo al aufbewahrungsmedien zugelassen,,6
741,7XyIGD5tZe85NDHIxMFvXA,EN,peopl write sentenc happen pictur use two list verb present progress form ask buy carri sell,5145.0,16
743,9i1kt9WgnoJ92e3hMZoWxb,EN,der ausdruck furt geht auf da grundwort fahr althochdeutsch faran steuern sich fortbewegen zuruck erklar den zusammenhang,2025.0,17
768,5DHsZ2qeOj66KMKq8ScRLz,EN,know concept leadership good leader know write one concept keyword get bonu point give exampl concept,,16
774,6b45fXjfGSC5verTq8VEAB,EN,indica aiutandoti con una frase che modo aver tropp informazioni e altrettanto dannoso che avern troppo poch,2145.0,17
775,9GeL4jxQYWm64cuJ0XTNs5,EN,nel ruolo di manag prepararsi per un colloquio non e sempr la cosa miglior da fare perch potrebb non esserci abbastanza spontaneita spiega una frase perch questa affermazion non e pertinent,2145.0,31
776,9ZTbpRNZHbj6RnwtBun1qe,EN,non e necessario annunciar colloqui importanti perch questo potrebb dare al dipendent il tempo di pensar una strategia di risposta che potrebb giocar vostro sfavor quanto manag spiega una frase perch questa affermazion e falsa,2145.0,35
777,d1DXIA990F9MbMQ1WgOFR,EN,qualita di senior manag non sei responsabil solo della gestion dell informazion interno del tuo team lo influenzi anch modo significativo attraverso il tuo stesso comportamento rispetto ad essa fai un esempio del modo cui il tuo comportamento rispetto informazion puo influenzar membri del tuo team,2145.0,46
778,2eRlnm2uhvx7SclvzDQZRZ,EN,rispondi usando una parola chiav esistono dei segnali non verbali essi forniscono dell informazioni importanti sull aspetto relazional della comunicazion alcuni messaggi vengono talvolta percep dal destinatario modo confuso perch non sono autentici affidabili questi sono cosiddetti messaggi,2145.0,38
779,6tDPpGaUD2C9Er9gu05tVC,EN,le emozioni sentimenti non possono esser nascosti lungo sono utili per capir quello che ci tocca e che e important per noi una frase spiega come vederli arrivar e riconoscerli,2145.0,30
780,3uT3ndXGDj59gnX6dAbqeG,EN,durant un colloquio di critica qual e il ruolo del collaborator rispetto all propost di soluzioni possibili scrivi una due frasi per spiegar questo ruolo,2145.0,25
781,8GPZN1lGAPI8RfOfUkzb4D,EN,dai la risposta usando una piu parol chiav durant un colloquio critico che riguarda per esempio un comportamento scorretto una prestazion inadeguata qualita di manag dovro fare una critica affinch questa critica sia la piu costruttiva possibil deve basarsi sugli aspetti importanti che l emozion spesso distorc facendo deviar il discorso nella soggettivita di che cosa si tratta,2145.0,58
847,9TYXjQ0ixmr7vPazqDnrmI,EN,celebr swiss nation day,,4
872,25Y2BLZGCpkay0f4dRrvpf,EN,describ interact girl dog follow pictur,4815.0,6
873,3Jr6T26XL13aKRh31JX0xi,EN,one peopl pictur visit london go write day london point view write short text sentenc simpl past experi question like help origin client question,4815.0,24
891,awpv0XE3g4Y5WI6T08ydUf,EN,write english tim wohnt einem grossen hau,,7
896,3tWq4pujD9E7p5gXhZlj7j,EN,trenn da wort kastani all moglich silben indem du jeweil ein sternchen zwischen den silben einfugst z b da handwerk hand werk,,22
897,9BEPLYwJtle6SNFq4iKN0U,EN,write sentenc english,,3
917,7olXITeLPhA7lpuJNFI0x0,EN,widespread knowledg christma celebr birth jesu christ bring world virgin mari tell would birth child tell mari,,17
921,3gbjpjewKN1aa5y4aN20Yw,EN,time make mull wine gluhwein german vin chaud french ingredi go holiday drink,,13
922,9Mc5FyG63rf6kYt9niCyf1,EN,great expect charl dicken father famili name pirrip christian name philip infant tongu could make name noth long explicit pip call pip come call pip give pirrip father famili name author tombston sister mr joe gargeri marri blacksmith never see father mother never see like either day long day photograph first fanci regard like unreason deriv tombston shape letter father give odd idea squar stout dark man curli black hair charact turn inscript also georgiana wife draw childish conclus mother freckl sickli five littl stone lozeng foot half long arrang neat row besid grave sacr memori five littl brother mine give tri get live exceedingli earli univer struggl indebt belief religi entertain bear back hand trowser pocket never take state exist read text care answer follow question wife blacksmith,,129
927,3Q2XVF2pxuk80nm3RKCEgR,EN,snowflak geometri know snowflak look beauti know also tie interest mathemat object call dihedr group put simpli two transform appli snowflak still look could transform hint could place mirror one half snowflak make reflexion match,,35
929,acULs3NPhSo8GoCnzRr550,EN,gift get famili hint provid list simpl keyword,,8
930,bFnkviohpp9w8xLXYyFgj,EN,tragic beauti incarn christma spirit decemb wwi soldier cross man land celebr christma truce ceasefir even end share carol even footbal match countri involv christma truce,,26
931,3ic4WkJzo38a3N18uRT4dN,EN,describ interact girl dog follow pictur,,6
933,qvpFCnVIvh9KSq5Zj8wpy,EN,name ingredi go eggnog,,4
939,1eCGJjuvqMWa0XbPT8455E,EN,sign age give concis answer,,5
943,2YUaD24fUfP7pWjwIr92iP,EN,translat follow sentenc english tim wohnt einem blauen hau,,9
944,2UMtJUswomA7LRi0R8WvXz,EN,write hear john play cat,,5
945,5u9DZIU6uoD8WzGcFOR339,EN,write sentenc p ast simpl use one word usual sometim test feedback write someth like drink usual coffe morn,5145.0,19
946,3dJg4CNE4M6745TGO3hpJu,EN,five phase project manag test feedback write someth like meet scope realiz,,12
947,5qBvawWa1k182LVJCTe121,EN,event earthquak build give recommend test feedback write someth like run around scream,4815.0,13
948,3gKnqzVuNvU5AgcrVVzhqc,EN,learn climat chang test feedback write someth like climat chang seriou threat,4815.0,12
954,2HXatST9nZb6pCE7sJuWBr,EN,content belong klett und balmer verlag find inform product digion ch love edinburgh first visit edinburgh child parent sister think magic citi special atmospher small enough get around easili feel lose big enough lot leave school decid go univer good decis wonder time local realli friendli time even start understand edinburgh accent fact love edinburgh much stay univer first live work citi meet husband true scotsman move countrysid nearbi work home busi love drive citi weekend mini last week parent come stay visit edinburgh castl scottish nation galleri one day take child zoo anoth day take boat inchcolm abbey nearbi island day picnic lunch princ street garden love mani differ thing edinburgh citi realli becom home imagin move away answer question full sentenc carolin move edinburgh move edinburgh studi love citi,,131
955,4XqgBukjnrj5Ky0GUL8Isw,EN,write hear john play cat,,5
956,3786WSi5Nn58r5VZESlFst,EN,write sentenc p ast simpl use one word usual sometim test feedback write someth like drink usual coffe morn,,19
957,7GFPO0ukS7t7ejAs1Y2nix,EN,translat sentenc english write present simpl homer arbeitet einem atomkraftwerk,,10
958,5aAMWr5wtut7HshyySFiwn,EN,translat follow sentenc english tim wohnt einem blauen hau,,9
961,aqdN5okrn7v96q2pZ6draC,EN,event earthquak build give recommend test feedback write someth like run around scream,,13
965,9gUaAflhOOM8boMxbfwUKf,EN,die ansprach von bundesprasid ogi ist stark strukturiert neben der einleitung und dem schluss gliedert sich die rede drei hauptteil mit je einem thema halt stichwortartig die themen der drei hauptteil f,1.0,32
966,7TYOlb7BQz66WlJXyI4XxN,EN,der vorliegend text ist mit inhaltlich ahnlichen geschichten i m sammelband busi class erschienen inwiefern trifft dieser sammeltitel auch auf padagog schnurig zu,1.0,23
967,85J5YDDsQFt9lCuygZwIOV,EN,wie lautet der schlusssatz de weinenden jeno i m text von martin suter beurteil die drei varianten i m hinblick auf ihr plausibilitat stringenz und auf die textwirkung alec hat mich entlassen alec nicht teilen die schokolad war schlecht ich habe bauchweh,1.0,42
968,Zqyme9ks3LawmypFAc0Wm,EN,zitier drei passagen au dem text die da verhaltni von gustav schnurig zu seiner famili aufzeigen,1.0,16
969,5zJ9PCGtPjN5LHnh4fp6LI,EN,interpreti den titel padagog schnurig stichworten,1.0,6
970,2ZW78UEN6i95yZYthoNKFw,EN,da dreieck abc ist gegeben beschreib wie du den umkrei de dreieck abc konstruierst,1032.0,14
971,4vYuDvuEtAP6bgwgMyidhX,EN,nenn drei stilmittel i m ersten absatz wenn man alec schnurig fragt er werden sagt er wie au der kanon geschossen gener manag dann lacht gustav schnurig gener manag stolz und die die gefragt haben lachen mit carla schnurig hausfrau und mutter schuttelt den kopf und jeno schnurig fragt ist gener manag der hochst antwortet dann jeweil alec und die erwachsenen lachen wieder,1.0,63
976,1Gs0VtDQxPH9WO8W15Revx,EN,describ see imag,,3
981,aMnKVp4XSra33C9zSsDIR,EN,could cat say situat could speak write sentenc test feedback write someth like play,5145.0,14
982,2hVjXIPswXaaxcD8sqe6WU,EN,translat sentenc english write present simpl homer arbeitet einem atomkraftwerk,5145.0,10
983,4AUaLoTasUk86ezdbK3d7q,EN,student answer thi task evalu grammar spell plan weekend write sentenc,5145.0,11
984,8kVrscmjkny6CtVtjsqO30,EN,put word order put word correct order make sentenc commun never enemi groom,,13
985,8FV1FHxBMDF8vnTy6FtguO,EN,activ passiv band sing song queen song queen sung band,,10
986,8CHf6OTOwiM7b44ADOwK6P,EN,negat sentenc sentenc carolin true correct use neg sentenc exampl carolin studi glasgow solut studi glasgow studi edinburgh understand scottish accent begin,,22
987,6k8QjfUF2b472CVTPitx8q,EN,student answer thi task evalu grammar spell addit ten keyword write sentenc p ast simpl use one word usual sometim test feedback write someth like drink usual coffe morn,5145.0,29
996,7YXAOXqXKk65WRBjKEmL0P,EN,mani reindeer santa clau name one,,6
1104,aRzlzAymuLD5NJdfqyfMNE,EN,die behalt der teilanlag mussen i m wechsel periodisch regeneriert werden beschreiben sie den regenerationsvorgang antworten sie einem satz,,19
1109,3eFwaoVZANA7mLeCSUdt8J,EN,highlight keyword appli bob,,4
1110,89EvLiSfvcb6YEF5S6wSyI,EN,der kolonn ko wird da gemisch bei atmospharendruck getrennt beschreiben sie allgemein den vorgang der wahrend de verfahren der kolonn ko ablauft antworten sie einem satz,,26
1136,8kr659BCDps8XfAdE4DYQR,EN,put word correct order make sentenc usual remov piec skin hand,,11
1137,PrboJKJLSM6Ok9R2YeF4t,EN,put word correct order make sentenc use groom anoth chimpanze lip tooth sometim,,13
1143,3zHah3WHaBL69lxjz0xPdA,EN,translat ich habe gestern abend ferngesehen english,,7
1144,7dgOqVF3wM07eiRRzsTEYV,EN,translat er hat ein abendessen bestellt english,,7
1145,9yd745wscDf9ERA8P2pfhW,EN,translat ich hatt nicht zum abendessen english,,7
1146,6ZsjZ1Fpkk76aNTpKZucfx,EN,translat ich kein abendessen english,,5
1147,22BFD78ilPM8TchKxPNRFF,EN,translat tom macht gerad abendessen english,,6
1148,50vh0FAZ3TDaHo84QdFocv,EN,translat da leben ist voller abenteu english,,7
1149,a8fhbpOctnB81BMgXtazcU,EN,translat ich konnt nicht ablehnen english,,6
1150,20A4Hx4UDtf8CLvEdGBbCn,EN,translat da machst du doch mit absicht english,,8
1151,7DSzCegF1Gz9C7jXDbf0ae,EN,translat da war sicher nicht mit absicht english,,8
1152,SsFyvivPiXa3xCGUqNzhy,EN,translat er hatt die absicht sie zu heiraten english,,9
1153,4iiM8cAHjYH75flvADkcFR,EN,translat hast du da mit absicht getan english,,8
1154,4WQPpjZzXl05Tdu6W5xxVt,EN,translat ich habe nicht die absicht mich zu entschuldigen english,,10
1155,7FH3sCf1EL78jEz8orF9ab,EN,translat mein frau wollt ein kind adoptieren english,,8
1156,4YROUyqd8jj7fi3DT8SnHu,EN,translat der aff fiel vom baum english,,7
1157,8IRZQCLrsBh9uuBth2dbc3,EN,translat mein aff ist fortgelaufen english,,6
1158,f5FBKIiyFd7QCzbq4GgKP,EN,translat da war ein albtraum english,,6
1159,50hyowIp3hd7pHJnrWGCla,EN,translat er zeigt mir sein album english,,7
1160,a2EFy1quyXd6bb286NW5Qb,EN,translat es ist mir nicht erlaubt alkohol zu trinken english,,10
1161,6K4ImkCIaj08kpmj1XbVws,EN,translat haben sie getrank ohn alkohol english,,7
1162,8ZITtwQdx9G9AKb7jyIPS3,EN,translat ich kann keinen alkohol trinken english,,7
1163,9Wm7IWwrNhRayy5g2gj6rA,EN,translat ich trink keinen alkohol english,,6
1164,17aU9nWh0eLag81mXI2h3O,EN,translat sie war dem alkohol nicht abgeneigt english,,8
1165,8PqBcI1KZWl8Mtq0B8FxL4,EN,translat ich habe bi zum alter von osaka gelebt english,,10
1166,aAkIziPCaJX7lPIBr9JQwY,EN,translat sie hat i m alter von geheiratet english,,9
1167,3zGud8VQ8yNaycnVTBNazJ,EN,translat welch alter hat ihr sohn english,,7
1168,acmZVlmedq577WAV5BInIC,EN,translat ist die altern english,,5
1169,1oTr9NmVjOc7V9UGrEs4ah,EN,translat jane scheint sich auf der parti zu amusieren english,,10
1170,6hmk7XLEG7361cQCL6t3Wb,EN,translat darf ich dir jetzt etwa zu trinken anbieten english,,10
1171,7EkwqUuuM7L71QhYSquY9C,EN,translat da wird sich nicht andern english,,7
1172,3lriGJFEm9W8W71JHWyfDX,EN,translat die zeiten andern sich english,,6
