taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_RS,EN,waterloo know battl,4598.0,3
690,8lxRyLzStOK9eUhNRal38O_RS,EN,describ interact girl dog follow pictur,,6
691,aazKG44PsKc5UnpTiDECut_RS,EN,write three short sentenc someon el write present continu follow verb love fear hate exampl love cat,,17
692,8L1QdQwEG5XaRfdYKcLPed_RS,EN,translat sentenc english homer simpson trabaja en una central nuclear,,10
716,14ambh1obhw7TYMQE8lcC1_RS,EN,write short text sentenc past simpl word usual sometim never,,10
717,8EmBlP6vc49aUpqCFODjiR_RS,EN,gib not know write two ein,,6
718,3elDg8Bsg126ktrMA9XnQ7_RS,EN,word sentenc past simpl one write usual sometim,,8
725,25RGLvb2p0G5zulfX9xQOj_RS,EN,man woman write posit neg happen sentenc pictur two list verb present progress form drink eat laugh listen read smile wear work,4815.0,22
726,18Ccvc8NMJT5xqLv9nAgTH_RS,EN,anim write sentenc,,3
739,qVrOCQhZmraLEAc8BIoTm_RS,EN,sind zugelassen bedingungslo al aufbewahrungsmedien datentrag,,6
741,7XyIGD5tZe85NDHIxMFvXA_RS,EN,peopl write sentenc happen pictur two ask verb present progress form list buy carri sell,5145.0,15
743,9i1kt9WgnoJ92e3hMZoWxb_RS,EN,der ausdruck furt geht auf da grundwort fahr althochdeutsch erklar steuern sich fortbewegen zuruck faran den zusammenhang,2025.0,17
768,5DHsZ2qeOj66KMKq8ScRLz_RS,EN,know concept good leader know leadership write one concept keyword bonu point give exampl concept,,15
774,6b45fXjfGSC5verTq8VEAB_RS,EN,indica aiutandoti con una frase informazioni modo aver tropp che e altrettanto dannoso che avern troppo poch,2145.0,17
775,9GeL4jxQYWm64cuJ0XTNs5_RS,EN,nel ruolo di manag prepararsi per un colloquio non e sempr la cosa miglior da fare perch potrebb non esserci abbastanza affermazion spiega una frase perch questa spontaneita non e pertinent,2145.0,31
776,9ZTbpRNZHbj6RnwtBun1qe_RS,EN,non e necessario annunciar colloqui importanti perch questo potrebb dare al dipendent il tempo risposta pensar una strategia di di che potrebb giocar vostro sfavor quanto manag spiega una frase perch questa affermazion e falsa,2145.0,35
777,d1DXIA990F9MbMQ1WgOFR_RS,EN,qualita di senior manag non sei responsabil solo della gestion il informazion interno del tuo team lo influenzi anch modo significativo attraverso il tuo stesso comportamento rispetto ad essa fai un esempio del modo cui dell tuo comportamento rispetto informazion puo influenzar membri del tuo team,2145.0,46
778,2eRlnm2uhvx7SclvzDQZRZ_RS,EN,rispondi usando una parola chiav esistono dei segnali non verbali essi forniscono dell informazioni importanti sull aspetto relazional della comunicazion alcuni messaggi vengono talvolta percep messaggi destinatario modo confuso perch non sono autentici affidabili questi sono cosiddetti dal,2145.0,38
779,6tDPpGaUD2C9Er9gu05tVC_RS,EN,le emozioni sentimenti non possono esser nascosti lungo sono utili per capir quello che ci tocca e che e important per noi una frase spiega come vederli arrivar e riconoscerli,2145.0,30
780,3uT3ndXGDj59gnX6dAbqeG_RS,EN,durant un colloquio di critica qual e il ruolo una collaborator rispetto all propost di soluzioni possibili scrivi del due frasi per spiegar questo ruolo,2145.0,25
781,8GPZN1lGAPI8RfOfUkzb4D_RS,EN,dai la risposta usando una piu parol chiav durant un colloquio critico che possibil per esempio un comportamento scorretto una prestazion inadeguata qualita di manag dovro fare una critica affinch questa critica sia la piu costruttiva riguarda deve basarsi sugli aspetti importanti che l emozion spesso distorc facendo deviar il discorso nella soggettivita di che cosa si tratta,2145.0,58
847,9TYXjQ0ixmr7vPazqDnrmI_RS,EN,nation celebr swiss day,,4
872,25Y2BLZGCpkay0f4dRrvpf_RS,EN,describ interact girl pictur follow dog,4815.0,6
873,3Jr6T26XL13aKRh31JX0xi_RS,EN,one peopl pictur visit london go write day london point view write short text sentenc simpl past experi question help origin client question,4815.0,23
891,awpv0XE3g4Y5WI6T08ydUf_RS,EN,tim english write wohnt einem grossen hau,,7
896,3tWq4pujD9E7p5gXhZlj7j_RS,EN,trenn da wort kastani all moglich silben indem du z b ein sternchen zwischen den silben einfugst jeweil da handwerk hand werk,,22
897,9BEPLYwJtle6SNFq4iKN0U_RS,EN,write sentenc english,,3
917,7olXITeLPhA7lpuJNFI0x0_RS,EN,widespread knowledg christma celebr birth jesu christ bring world virgin mari tell would birth child tell mari,,17
921,3gbjpjewKN1aa5y4aN20Yw_RS,EN,time mull wine gluhwein german vin chaud french ingredi go holiday drink,,12
922,9Mc5FyG63rf6kYt9niCyf1_RS,EN,great expect charl dicken father famili name pirrip christian name philip infant tongu name noth long explicit pip call pip come call pip give pirrip father famili name author tombston sister mr joe gargeri marri blacksmith never father mother never either day long day photograph first fanci regard unreason deriv tombston shape letter father give odd idea squar stout dark man curli black hair charact turn inscript also georgiana wife childish conclus mother freckl sickli five littl stone lozeng foot half long arrang neat row besid grave sacr memori five littl brother mine give tri live exceedingli earli univer struggl indebt belief religi entertain bear back draw hand trowser pocket never take state exist read text care answer follow question wife blacksmith,,122
927,3Q2XVF2pxuk80nm3RKCEgR_RS,EN,snowflak geometri know snowflak look beauti know also tie interest mathemat object call dihedr group place put simpli two transform appli snowflak still look transform hint mirror one half snowflak reflexion match,,32
