taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_SR,EN,battl waterloo,4598.0,2
690,8lxRyLzStOK9eUhNRal38O_SR,EN,draw interact miss dog follow pictur,,6
691,aazKG44PsKc5UnpTiDECut_SR,EN,write three short sentenc someon els write present uninterrupt follow verb love fear hate exampl iodin love cat,,18
692,8L1QdQwEG5XaRfdYKcLPed_SR,EN,translat doom english homer mr simpson trabaja en una central nuclear,,11
716,14ambh1obhw7TYMQE8lcC1_SR,EN,save short text sentenc past simpl parol usual sometim never,,10
717,8EmBlP6vc49aUpqCFODjiR_SR,EN,gib nt experi deuc write ein,,6
718,3elDg8Bsg126ktrMA9XnQ7_SR,EN,write sentenc past mere unmatch word usual sometim,,8
725,25RGLvb2p0G5zulfX9xQOj_SR,EN,man woman write sentenc posit neg happen pictur deuc list verb present progress form drink eat laugh heed read smile wear work,4815.0,22
726,18Ccvc8NMJT5xqLv9nAgTH_SR,EN,creatur drop line sentenc,,4
739,qVrOCQhZmraLEAc8BIoTm_SR,EN,sind datentrag bedingungslo aluminum aufbewahrungsmedien zugelassen,,6
741,7XyIGD5tZe85NDHIxMFvXA_SR,EN,peopl write sentenc happen pictur ii list verb present progress form ask buy post sell,5145.0,15
743,9i1kt9WgnoJ92e3hMZoWxb_SR,EN,ausdruck furt geht auf coni grundwort fahr althochdeutsch faran steuern sich fortbewegen zuruck erklar den zusammenhang,2025.0,16
768,5DHsZ2qeOj66KMKq8ScRLz_SR,EN,know concept leadership good leader love write one concept keyword experi bonu point give exampl concept,,16
774,6b45fXjfGSC5verTq8VEAB_SR,EN,indica aiutandoti sting una frase che modo aver tropp informazioni e altrettanto dannoso che avern troppo poch,2145.0,17
775,9GeL4jxQYWm64cuJ0XTNs5_SR,EN,nel ruolo di manag prepararsi per unit nation colloquio non e sempr la cosa miglior da come perch potrebb non esserci abbastanza spontaneita spiega una frase perch questa affermazion non e pertinent,2145.0,32
776,9ZTbpRNZHbj6RnwtBun1qe_SR,EN,non e necessario annunciar colloqui importanti perch questo potrebb dare aluminium dipendent prairi state tempo di pensar una strategia di risposta che potrebb giocar vostro sfavor quanto manag spiega una frase perch questa affermazion e falsa,2145.0,36
777,d1DXIA990F9MbMQ1WgOFR_SR,EN,qualita di senior manag sei responsabil solo della gestion dell informazion interno del tuo squad lo influenzi anch modo significativo attraverso il tuo stesso comportamento rispetto ad essa fai un esempio del modo cui il tuo comportamento rispetto informazion puo influenzar membri del tuo squad,2145.0,45
