taskId,aspectId
17,14ambh1obhw7TYMQE8lcC1,9639
28,25RGLvb2p0G5zulfX9xQOj,9639
57,18Ccvc8NMJT5xqLv9nAgTH,9937
103,3Jr6T26XL13aKRh31JX0xi,9633
133,3gbjpjewKN1aa5y4aN20Yw,11401
143,9Mc5FyG63rf6kYt9niCyf1,9633
164,qvpFCnVIvh9KSq5Zj8wpy,11401
176,2YUaD24fUfP7pWjwIr92iP,9984
179,2YUaD24fUfP7pWjwIr92iP,11221
190,2UMtJUswomA7LRi0R8WvXz,9984
193,2UMtJUswomA7LRi0R8WvXz,11221
206,5u9DZIU6uoD8WzGcFOR339,9992
208,5u9DZIU6uoD8WzGcFOR339,9996
214,5u9DZIU6uoD8WzGcFOR339,10313
222,3dJg4CNE4M6745TGO3hpJu,9981
249,5qBvawWa1k182LVJCTe121,9981
312,1Gs0VtDQxPH9WO8W15Revx,12322
332,2hVjXIPswXaaxcD8sqe6WU,9984
350,4AUaLoTasUk86ezdbK3d7q,10313
357,6k8QjfUF2b472CVTPitx8q,9992
359,6k8QjfUF2b472CVTPitx8q,9996
365,6k8QjfUF2b472CVTPitx8q,10313
392,8kr659BCDps8XfAdE4DYQR,12714
399,8kr659BCDps8XfAdE4DYQR,12728
422,PrboJKJLSM6Ok9R2YeF4t,12714
429,PrboJKJLSM6Ok9R2YeF4t,12728
453,3zHah3WHaBL69lxjz0xPdA,183
454,3zHah3WHaBL69lxjz0xPdA,184
455,3zHah3WHaBL69lxjz0xPdA,185
456,3zHah3WHaBL69lxjz0xPdA,186
457,3zHah3WHaBL69lxjz0xPdA,187
458,3zHah3WHaBL69lxjz0xPdA,17042
465,3zHah3WHaBL69lxjz0xPdA,19487
497,7dgOqVF3wM07eiRRzsTEYV,183
498,7dgOqVF3wM07eiRRzsTEYV,184
499,7dgOqVF3wM07eiRRzsTEYV,185
500,7dgOqVF3wM07eiRRzsTEYV,186
501,7dgOqVF3wM07eiRRzsTEYV,187
503,7dgOqVF3wM07eiRRzsTEYV,17042
508,7dgOqVF3wM07eiRRzsTEYV,18153
514,7dgOqVF3wM07eiRRzsTEYV,19487
546,9yd745wscDf9ERA8P2pfhW,183
547,9yd745wscDf9ERA8P2pfhW,184
548,9yd745wscDf9ERA8P2pfhW,185
549,9yd745wscDf9ERA8P2pfhW,186
550,9yd745wscDf9ERA8P2pfhW,187
552,9yd745wscDf9ERA8P2pfhW,17042
557,9yd745wscDf9ERA8P2pfhW,18153
563,9yd745wscDf9ERA8P2pfhW,19487
595,6ZsjZ1Fpkk76aNTpKZucfx,183
596,6ZsjZ1Fpkk76aNTpKZucfx,184
597,6ZsjZ1Fpkk76aNTpKZucfx,185
598,6ZsjZ1Fpkk76aNTpKZucfx,186
599,6ZsjZ1Fpkk76aNTpKZucfx,187
601,6ZsjZ1Fpkk76aNTpKZucfx,17042
606,6ZsjZ1Fpkk76aNTpKZucfx,18153
612,6ZsjZ1Fpkk76aNTpKZucfx,19487
644,22BFD78ilPM8TchKxPNRFF,183
645,22BFD78ilPM8TchKxPNRFF,184
646,22BFD78ilPM8TchKxPNRFF,185
647,22BFD78ilPM8TchKxPNRFF,186
648,22BFD78ilPM8TchKxPNRFF,187
650,22BFD78ilPM8TchKxPNRFF,17042
655,22BFD78ilPM8TchKxPNRFF,18153
661,22BFD78ilPM8TchKxPNRFF,19487
693,50vh0FAZ3TDaHo84QdFocv,183
694,50vh0FAZ3TDaHo84QdFocv,184
695,50vh0FAZ3TDaHo84QdFocv,185
696,50vh0FAZ3TDaHo84QdFocv,186
697,50vh0FAZ3TDaHo84QdFocv,187
699,50vh0FAZ3TDaHo84QdFocv,17042
704,50vh0FAZ3TDaHo84QdFocv,18153
710,50vh0FAZ3TDaHo84QdFocv,19487
742,a8fhbpOctnB81BMgXtazcU,183
743,a8fhbpOctnB81BMgXtazcU,184
744,a8fhbpOctnB81BMgXtazcU,185
745,a8fhbpOctnB81BMgXtazcU,186
746,a8fhbpOctnB81BMgXtazcU,187
748,a8fhbpOctnB81BMgXtazcU,17042
753,a8fhbpOctnB81BMgXtazcU,18153
759,a8fhbpOctnB81BMgXtazcU,19487
791,20A4Hx4UDtf8CLvEdGBbCn,183
792,20A4Hx4UDtf8CLvEdGBbCn,184
793,20A4Hx4UDtf8CLvEdGBbCn,185
794,20A4Hx4UDtf8CLvEdGBbCn,186
795,20A4Hx4UDtf8CLvEdGBbCn,187
797,20A4Hx4UDtf8CLvEdGBbCn,17042
802,20A4Hx4UDtf8CLvEdGBbCn,18153
808,20A4Hx4UDtf8CLvEdGBbCn,19487
840,7DSzCegF1Gz9C7jXDbf0ae,183
841,7DSzCegF1Gz9C7jXDbf0ae,184
842,7DSzCegF1Gz9C7jXDbf0ae,185
843,7DSzCegF1Gz9C7jXDbf0ae,186
844,7DSzCegF1Gz9C7jXDbf0ae,187
846,7DSzCegF1Gz9C7jXDbf0ae,17042
851,7DSzCegF1Gz9C7jXDbf0ae,18153
857,7DSzCegF1Gz9C7jXDbf0ae,19487
889,SsFyvivPiXa3xCGUqNzhy,183
890,SsFyvivPiXa3xCGUqNzhy,184
891,SsFyvivPiXa3xCGUqNzhy,185
892,SsFyvivPiXa3xCGUqNzhy,186
893,SsFyvivPiXa3xCGUqNzhy,187
895,SsFyvivPiXa3xCGUqNzhy,17042
900,SsFyvivPiXa3xCGUqNzhy,18153
906,SsFyvivPiXa3xCGUqNzhy,19487
938,4iiM8cAHjYH75flvADkcFR,183
939,4iiM8cAHjYH75flvADkcFR,184
940,4iiM8cAHjYH75flvADkcFR,185
941,4iiM8cAHjYH75flvADkcFR,186
942,4iiM8cAHjYH75flvADkcFR,187
944,4iiM8cAHjYH75flvADkcFR,17042
949,4iiM8cAHjYH75flvADkcFR,18153
955,4iiM8cAHjYH75flvADkcFR,19487
987,4WQPpjZzXl05Tdu6W5xxVt,183
988,4WQPpjZzXl05Tdu6W5xxVt,184
989,4WQPpjZzXl05Tdu6W5xxVt,185
990,4WQPpjZzXl05Tdu6W5xxVt,186
991,4WQPpjZzXl05Tdu6W5xxVt,187
993,4WQPpjZzXl05Tdu6W5xxVt,17042
998,4WQPpjZzXl05Tdu6W5xxVt,18153
1004,4WQPpjZzXl05Tdu6W5xxVt,19487
1036,7FH3sCf1EL78jEz8orF9ab,183
1037,7FH3sCf1EL78jEz8orF9ab,184
1038,7FH3sCf1EL78jEz8orF9ab,185
1039,7FH3sCf1EL78jEz8orF9ab,186
1040,7FH3sCf1EL78jEz8orF9ab,187
1042,7FH3sCf1EL78jEz8orF9ab,17042
1047,7FH3sCf1EL78jEz8orF9ab,18153
1053,7FH3sCf1EL78jEz8orF9ab,19487
1085,4YROUyqd8jj7fi3DT8SnHu,183
1086,4YROUyqd8jj7fi3DT8SnHu,184
1087,4YROUyqd8jj7fi3DT8SnHu,185
1088,4YROUyqd8jj7fi3DT8SnHu,186
1089,4YROUyqd8jj7fi3DT8SnHu,187
1091,4YROUyqd8jj7fi3DT8SnHu,17042
1096,4YROUyqd8jj7fi3DT8SnHu,18153
1102,4YROUyqd8jj7fi3DT8SnHu,19487
1134,8IRZQCLrsBh9uuBth2dbc3,183
1135,8IRZQCLrsBh9uuBth2dbc3,184
1136,8IRZQCLrsBh9uuBth2dbc3,185
1137,8IRZQCLrsBh9uuBth2dbc3,186
1138,8IRZQCLrsBh9uuBth2dbc3,187
1140,8IRZQCLrsBh9uuBth2dbc3,17042
1145,8IRZQCLrsBh9uuBth2dbc3,18153
1151,8IRZQCLrsBh9uuBth2dbc3,19487
1183,f5FBKIiyFd7QCzbq4GgKP,183
1184,f5FBKIiyFd7QCzbq4GgKP,184
1185,f5FBKIiyFd7QCzbq4GgKP,185
1186,f5FBKIiyFd7QCzbq4GgKP,186
1187,f5FBKIiyFd7QCzbq4GgKP,187
1189,f5FBKIiyFd7QCzbq4GgKP,17042
1194,f5FBKIiyFd7QCzbq4GgKP,18153
1200,f5FBKIiyFd7QCzbq4GgKP,19487
1232,50hyowIp3hd7pHJnrWGCla,183
1233,50hyowIp3hd7pHJnrWGCla,184
1234,50hyowIp3hd7pHJnrWGCla,185
1235,50hyowIp3hd7pHJnrWGCla,186
1236,50hyowIp3hd7pHJnrWGCla,187
1238,50hyowIp3hd7pHJnrWGCla,17042
1243,50hyowIp3hd7pHJnrWGCla,18153
1249,50hyowIp3hd7pHJnrWGCla,19487
1281,a2EFy1quyXd6bb286NW5Qb,183
1282,a2EFy1quyXd6bb286NW5Qb,184
1283,a2EFy1quyXd6bb286NW5Qb,185
1284,a2EFy1quyXd6bb286NW5Qb,186
1285,a2EFy1quyXd6bb286NW5Qb,187
1287,a2EFy1quyXd6bb286NW5Qb,17042
1292,a2EFy1quyXd6bb286NW5Qb,18153
1298,a2EFy1quyXd6bb286NW5Qb,19487
1330,6K4ImkCIaj08kpmj1XbVws,183
1331,6K4ImkCIaj08kpmj1XbVws,184
1332,6K4ImkCIaj08kpmj1XbVws,185
1333,6K4ImkCIaj08kpmj1XbVws,186
1334,6K4ImkCIaj08kpmj1XbVws,187
1336,6K4ImkCIaj08kpmj1XbVws,17042
1341,6K4ImkCIaj08kpmj1XbVws,18153
1347,6K4ImkCIaj08kpmj1XbVws,19487
1379,8ZITtwQdx9G9AKb7jyIPS3,183
1380,8ZITtwQdx9G9AKb7jyIPS3,184
1381,8ZITtwQdx9G9AKb7jyIPS3,185
1382,8ZITtwQdx9G9AKb7jyIPS3,186
1383,8ZITtwQdx9G9AKb7jyIPS3,187
1385,8ZITtwQdx9G9AKb7jyIPS3,17042
1390,8ZITtwQdx9G9AKb7jyIPS3,18153
1396,8ZITtwQdx9G9AKb7jyIPS3,19487
1428,9Wm7IWwrNhRayy5g2gj6rA,183
1429,9Wm7IWwrNhRayy5g2gj6rA,184
1430,9Wm7IWwrNhRayy5g2gj6rA,185
1431,9Wm7IWwrNhRayy5g2gj6rA,186
1432,9Wm7IWwrNhRayy5g2gj6rA,187
1434,9Wm7IWwrNhRayy5g2gj6rA,17042
1439,9Wm7IWwrNhRayy5g2gj6rA,18153
1445,9Wm7IWwrNhRayy5g2gj6rA,19487
1477,17aU9nWh0eLag81mXI2h3O,183
1478,17aU9nWh0eLag81mXI2h3O,184
1479,17aU9nWh0eLag81mXI2h3O,185
1480,17aU9nWh0eLag81mXI2h3O,186
1481,17aU9nWh0eLag81mXI2h3O,187
1483,17aU9nWh0eLag81mXI2h3O,17042
1488,17aU9nWh0eLag81mXI2h3O,18153
1494,17aU9nWh0eLag81mXI2h3O,19487
1526,8PqBcI1KZWl8Mtq0B8FxL4,183
1527,8PqBcI1KZWl8Mtq0B8FxL4,184
1528,8PqBcI1KZWl8Mtq0B8FxL4,185
1529,8PqBcI1KZWl8Mtq0B8FxL4,186
1530,8PqBcI1KZWl8Mtq0B8FxL4,187
1532,8PqBcI1KZWl8Mtq0B8FxL4,17042
1537,8PqBcI1KZWl8Mtq0B8FxL4,18153
1543,8PqBcI1KZWl8Mtq0B8FxL4,19487
1575,aAkIziPCaJX7lPIBr9JQwY,183
1576,aAkIziPCaJX7lPIBr9JQwY,184
1577,aAkIziPCaJX7lPIBr9JQwY,185
1578,aAkIziPCaJX7lPIBr9JQwY,186
1579,aAkIziPCaJX7lPIBr9JQwY,187
1581,aAkIziPCaJX7lPIBr9JQwY,17042
1586,aAkIziPCaJX7lPIBr9JQwY,18153
1592,aAkIziPCaJX7lPIBr9JQwY,19487
1624,3zGud8VQ8yNaycnVTBNazJ,183
1625,3zGud8VQ8yNaycnVTBNazJ,184
1626,3zGud8VQ8yNaycnVTBNazJ,185
1627,3zGud8VQ8yNaycnVTBNazJ,186
1628,3zGud8VQ8yNaycnVTBNazJ,187
1630,3zGud8VQ8yNaycnVTBNazJ,17042
1635,3zGud8VQ8yNaycnVTBNazJ,18153
1641,3zGud8VQ8yNaycnVTBNazJ,19487
1673,acmZVlmedq577WAV5BInIC,183
1674,acmZVlmedq577WAV5BInIC,184
1675,acmZVlmedq577WAV5BInIC,185
1676,acmZVlmedq577WAV5BInIC,186
1677,acmZVlmedq577WAV5BInIC,187
1679,acmZVlmedq577WAV5BInIC,17042
1684,acmZVlmedq577WAV5BInIC,18153
1690,acmZVlmedq577WAV5BInIC,19487
1722,1oTr9NmVjOc7V9UGrEs4ah,183
1723,1oTr9NmVjOc7V9UGrEs4ah,184
1724,1oTr9NmVjOc7V9UGrEs4ah,185
1725,1oTr9NmVjOc7V9UGrEs4ah,186
1726,1oTr9NmVjOc7V9UGrEs4ah,187
1728,1oTr9NmVjOc7V9UGrEs4ah,17042
1733,1oTr9NmVjOc7V9UGrEs4ah,18153
1739,1oTr9NmVjOc7V9UGrEs4ah,19487
1771,6hmk7XLEG7361cQCL6t3Wb,183
1772,6hmk7XLEG7361cQCL6t3Wb,184
1773,6hmk7XLEG7361cQCL6t3Wb,185
1774,6hmk7XLEG7361cQCL6t3Wb,186
1775,6hmk7XLEG7361cQCL6t3Wb,187
1777,6hmk7XLEG7361cQCL6t3Wb,17042
1782,6hmk7XLEG7361cQCL6t3Wb,18153
1788,6hmk7XLEG7361cQCL6t3Wb,19487
1820,7EkwqUuuM7L71QhYSquY9C,183
1821,7EkwqUuuM7L71QhYSquY9C,184
1822,7EkwqUuuM7L71QhYSquY9C,185
1823,7EkwqUuuM7L71QhYSquY9C,186
1824,7EkwqUuuM7L71QhYSquY9C,187
1826,7EkwqUuuM7L71QhYSquY9C,17042
1831,7EkwqUuuM7L71QhYSquY9C,18153
1837,7EkwqUuuM7L71QhYSquY9C,19487
1869,3lriGJFEm9W8W71JHWyfDX,183
1870,3lriGJFEm9W8W71JHWyfDX,184
1871,3lriGJFEm9W8W71JHWyfDX,185
1872,3lriGJFEm9W8W71JHWyfDX,186
1873,3lriGJFEm9W8W71JHWyfDX,187
1875,3lriGJFEm9W8W71JHWyfDX,17042
1880,3lriGJFEm9W8W71JHWyfDX,18153
1886,3lriGJFEm9W8W71JHWyfDX,19487
1918,5flo6UARSgZ8n2lBBqtBn1,183
1919,5flo6UARSgZ8n2lBBqtBn1,184
1920,5flo6UARSgZ8n2lBBqtBn1,185
1921,5flo6UARSgZ8n2lBBqtBn1,186
1922,5flo6UARSgZ8n2lBBqtBn1,187
1924,5flo6UARSgZ8n2lBBqtBn1,17042
1929,5flo6UARSgZ8n2lBBqtBn1,18153
1935,5flo6UARSgZ8n2lBBqtBn1,19487
1967,2whKClfmekVaHLvKfAiPVa,183
1968,2whKClfmekVaHLvKfAiPVa,184
1969,2whKClfmekVaHLvKfAiPVa,185
1970,2whKClfmekVaHLvKfAiPVa,186
1971,2whKClfmekVaHLvKfAiPVa,187
1973,2whKClfmekVaHLvKfAiPVa,17042
1978,2whKClfmekVaHLvKfAiPVa,18153
1984,2whKClfmekVaHLvKfAiPVa,19487
2016,aKyigEtilsvaz9cxURMjNY,183
2017,aKyigEtilsvaz9cxURMjNY,184
2018,aKyigEtilsvaz9cxURMjNY,185
2019,aKyigEtilsvaz9cxURMjNY,186
2020,aKyigEtilsvaz9cxURMjNY,187
