taskId,language,description,topic_id,word_count,sentence_count
511,7TVZOkAoQvS71zub3YI9Uy,EN,What do you know about the Battle of Waterloo?,4598.0,9,1
690,8lxRyLzStOK9eUhNRal38O,EN,Describe the interaction between the girl and the dog in the following picture:,,13,1
691,aazKG44PsKc5UnpTiDECut,EN,Write three short sentences about yourself or someone else. Write in present continuous and use each of the following verbs once: love - fear - hate Example : I love cats.,,31,2
692,8L1QdQwEG5XaRfdYKcLPed,EN,"Translate This Sentence into English: ""Homer Simpson works at a nuclear power plant.""",,12,1
716,14ambh1obhw7TYMQE8lcC1,EN,"Write a short text (3-5 sentences) in past simple . Use the words usually , sometimes and never .",,19,2
717,8EmBlP6vc49aUpqCFODjiR,EN,"Gib ""I don't know what to write."" a.",,8,2
718,3elDg8Bsg126ktrMA9XnQ7,EN,Write a sentence in past simple . Use one of these words: usually or sometimes .,,16,2
725,25RGLvb2p0G5zulfX9xQOj,EN,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture. Use two of the listed verbs in the present progressive form. drink eat laugh listen to read smile wear work,4815.0,42,4
726,18Ccvc8NMJT5xqLv9nAgTH,EN,What does this animal say? Write a sentence.,,8,2
739,qVrOCQhZmraLEAc8BIoTm,EN,Are data carriers unconditionally approved as a retention media?,,6,1
741,7XyIGD5tZe85NDHIxMFvXA,EN,What are the people doing? Write a sentence on what is happening now in the picture. Use two of the listed verbs in the present progressive form. ask buy carry sell,5145.0,31,4
743,9i1kt9WgnoJ92e3hMZoWxb,EN,"The expression ford goes back to the basic word 'driving' (old high German Faran, 'control', 'move away'). Explain the connection.",2025.0,17,2
768,5DHsZ2qeOj66KMKq8ScRLz,EN,"BE, KNOW, DO concept of leadership What should a good leader be , know and do ? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,35,3
774,6b45fXjfGSC5verTq8VEAB,EN,"It indicates, helping you with a sentence, how to have too many information is equally harmful that they have too few.",2145.0,19,1
775,9GeL4jxQYWm64cuJ0XTNs5,EN,"""In the role of manager, preparing for an interview is not always the best thing to do because there may not be quite spontaneity."" He explains in a sentence why this statement is not relevant.",2145.0,34,2
776,9ZTbpRNZHbj6RnwtBun1qe,EN,"It is not necessary to announce the important interviews, because this could give the employee time to think of a response strategy that could play with your default as manager. He explains in a sentence why this statement is false.",2145.0,40,2
777,d1DXIA990F9MbMQ1WgOFR,EN,"As a senior manager, you are not only responsible for the management of information within your team but also influence it significantly through your own behavior compared to it. Make an example of the way your behavior compared to information can influence your team members.",2145.0,52,2
778,2eRlnm2uhvx7SclvzDQZRZ,EN,Reply using a keyword. There are non -verbal signals. They provide important information on the relational aspect of communication. Some messages are sometimes perceived by the recipient confused because they are not authentic or reliable. These are the so -called messages:,2145.0,40,5
779,6tDPpGaUD2C9Er9gu05tVC,EN,"Emotions or feelings cannot be hidden for a long time. They are useful for understanding what it touches us and that is important for us. In a sentence, he explains how to ""see them arrive"" and recognize them.",2145.0,35,3
780,3uT3ndXGDj59gnX6dAbqeG,EN,"During a criticism interview, what is the role of the collaborator with respect to the proposals of possible solutions? Write one or two sentences to explain this role.",2145.0,28,2
781,8GPZN1lGAPI8RfOfUkzb4D,EN,"Give the answer using one or more keywords. During a critical interview that concerns for example an incorrect behavior or an inadequate performance, as manager I will have to criticize. In order for this criticism to be as constructive as possible, it must be based on the important aspects that the emotion often distorts, making the speech deviate in subjectivity. What is it about ?",2145.0,62,4
847,9TYXjQ0ixmr7vPazqDnrmI,EN,What do you celebrate on Swiss National Day?,,8,1
872,25Y2BLZGCpkay0f4dRrvpf,EN,Describe the interaction between the girl and the dog in the following picture:,4815.0,13,1
873,3Jr6T26XL13aKRh31JX0xi,EN,You are one of the people in the picture visiting London. You are going to write about a day in London from her / his point of view. Write a short text (4-6 sentences) in the simple past about her / his experience. Questions like these below can help you. ORIGINAL CLIENT QUESTION,4815.0,53,5
891,awpv0XE3g4Y5WI6T08ydUf,EN,Write in English: Tim lives in a large house.,,9,1
896,3tWq4pujD9E7p5gXhZlj7j,EN,"Separate the word chestnut into all possible syllables by inserting an asterisk between the syllables, e.g. The craft hand*work.",,22,2
897,9BEPLYwJtle6SNFq4iKN0U,EN,Write a sentence in english,,5,1
917,7olXITeLPhA7lpuJNFI0x0,EN,"It is widespread knowledge that Christmas is the celebration of the birth of Jesus Christ; brought to the world from the Virgin Mary, who was told that she would be birthing a child. Who told this to Mary?",,38,2
921,3gbjpjewKN1aa5y4aN20Yw,EN,Time to make some mulled wine (Glühwein in german / vin chaud in french). What ingredients go into this holiday drink?,,21,2
922,9Mc5FyG63rf6kYt9niCyf1,EN,"Great Expectations by Charles Dickens My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So I called myself Pip, and came to be called Pip. I give Pirrip as my father's family name, on the authority of his tombstone and my sister — Mrs. Joe Gargery, who married the blacksmith. As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. The shape of the letters on my father's gave me an odd idea that he was a square, stout, dark man with curly black hair. From the character and turn of the inscription, ""also Georgiana wife of the above,"" I drew a childish conclusion that my mother was freckled and sickly. To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine—who gave up trying to get a living exceedingly early in that universal struggle — I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trowsers-pockets, and had never taken them out in this state of existence. Read the text carefully and answer the following question. Who is the wife of the blacksmith?",,260,9
927,3Q2XVF2pxuk80nm3RKCEgR,EN,"Snowflake Geometry! We all know snowflakes look beautiful, but did you know they are also tied to a very interesting mathematical object called a dihedral group ? Put simply, there are two 'transformations' we can apply to a snowflake, and it will still look the same! What could these transformations be? Hint: Could you place a mirror on one half of the snowflake to make its reflexion match?",,68,5
929,acULs3NPhSo8GoCnzRr550,EN,What gifts will you be getting your family? Hint: Provide a list of simple keywords,,15,2
